symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,1,2025-11-20,8.81,8.85,8.81,8.85,-1.34,"1,400.00","12,359.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,2,2025-11-19,8.80,8.97,8.80,8.97,1.93,"4,400.00","39,144.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,3,2025-11-18,8.78,9.00,8.78,8.80,-1.12,"1,950.00","17,295.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,4,2025-11-17,8.70,8.92,8.70,8.90,1.71,"2,500.00","22,099.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,5,2025-11-16,8.90,8.92,8.63,8.75,-0.34,"9,655.00","84,663.60"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,6,2025-11-13,8.70,8.87,8.58,8.78,0.80,"10,200.00","89,308.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,7,2025-11-12,8.82,9.10,8.71,8.71,-3.11,"17,825.00","156,730.45"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,8,2025-11-11,8.65,8.99,8.65,8.99,2.63,"11,400.00","101,156.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,9,2025-11-10,8.75,8.92,8.75,8.76,0.23,"53,700.00","473,300.80"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,10,2025-11-09,9.03,9.03,8.71,8.74,-3.21,"59,000.00","522,692.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,11,2025-11-06,8.78,9.15,8.78,9.03,1.35,"3,450.00","30,912.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,12,2025-11-05,8.80,9.00,8.80,8.91,-0.22,"5,670.00","50,381.50"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,13,2025-11-04,9.03,9.20,8.86,8.93,-3.04,"3,400.00","30,531.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,14,2025-11-03,8.88,9.21,8.85,9.21,2.91,"28,600.00","260,441.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,15,2025-11-02,8.88,9.00,8.81,8.95,-1.21,"4,050.00","36,097.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,16,2025-10-30,8.76,9.06,8.76,9.06,1.91,"2,450.00","21,776.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,17,2025-10-29,8.90,9.07,8.80,8.89,-0.89,"6,100.00","54,459.50"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,18,2025-10-28,9.00,9.00,8.80,8.97,1.24,"2,817.00","24,926.66"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,19,2025-10-26,8.71,8.96,8.71,8.86,-0.23,"5,200.00","45,813.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,20,2025-10-19,8.74,9.00,8.74,8.88,-0.22,"11,000.00","97,889.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,21,2025-10-16,8.85,9.02,8.85,8.90,-1.11,"4,210.00","37,915.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,22,2025-10-15,8.87,9.00,8.87,9.00,0.45,"6,900.00","61,636.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,23,2025-10-14,8.82,9.05,8.82,8.96,-0.44,"33,730.00","303,423.70"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,24,2025-10-13,8.83,9.00,8.83,9.00,0.22,"6,420.00","57,425.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,25,2025-10-12,8.97,9.00,8.97,8.98,-1.75,"6,270.00","56,411.20"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,26,2025-10-09,8.95,9.28,8.95,9.14,0.44,"6,755.00","60,976.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,27,2025-10-08,9.00,9.10,8.93,9.10,1.11,"14,150.00","127,385.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,28,2025-10-07,8.79,9.00,8.79,9.00,0.45,"3,280.00","29,371.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,29,2025-09-28,8.82,9.10,8.82,8.96,-0.44,"2,550.00","22,891.50"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,30,2025-09-25,8.84,9.10,8.84,9.00,-0.22,"2,300.00","20,704.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,31,2025-09-24,9.10,9.10,9.00,9.02,-0.88,"2,300.00","20,746.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,32,2025-09-23,8.90,9.20,8.90,9.10,0.89,"7,450.00","67,567.50"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,33,2025-09-21,8.68,9.20,8.68,9.02,2.15,"7,270.00","65,597.90"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,34,2025-09-18,8.83,8.83,8.83,8.83,-2.00,"10,000.00","88,300.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,35,2025-09-08,9.00,9.10,9.00,9.01,-0.99,"2,400.00","21,622.00"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,36,2025-09-07,8.86,9.21,8.86,9.10,0.78,"8,230.00","74,806.80"
mnmf1,Muktinath Mutual Fund 1,Mutual Fund,https://www.sharesansar.com/company/mnmf1,37,2025-09-04,9.11,9.11,9.00,9.03,-0.88,"1,680.00","15,183.00"
