symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,1,2025-11-19,"1,369.00","1,463.00","1,351.10","1,379.00",1.95,"1,504.00","2,062,355.40"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,2,2025-11-18,"1,366.00","1,400.00","1,340.00","1,352.60",0.36,"5,451.00","7,470,815.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,3,2025-11-17,"1,314.10","1,363.00","1,314.10","1,347.80",0.66,"2,515.00","3,359,556.80"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,4,2025-11-16,"1,341.00","1,367.80","1,323.10","1,339.00",-1.33,"1,785.00","2,382,115.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,5,2025-11-13,"1,346.00","1,372.00","1,346.00","1,357.00",-1.17,"1,393.00","1,897,587.90"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,6,2025-11-12,"1,427.00","1,427.00","1,320.00","1,373.00",-1.93,"7,449.00","10,084,739.10"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,7,2025-11-11,"1,421.70","1,421.70","1,399.00","1,400.00",-1.41,"1,184.00","1,661,710.10"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,8,2025-11-10,"1,444.00","1,471.00","1,395.20","1,420.00",0.21,"12,337.00","17,752,839.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,9,2025-11-09,"1,415.00","1,449.80","1,392.00","1,417.00",-1.80,"3,363.00","4,738,557.50"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,10,2025-11-06,"1,410.00","1,488.00","1,410.00","1,443.00",0.84,"4,543.00","6,559,229.70"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,11,2025-11-05,"1,366.00","1,500.00","1,366.00","1,431.00",2.71,"12,092.00","17,048,339.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,12,2025-11-04,"1,371.00","1,402.60","1,362.10","1,393.30",-0.40,"6,234.00","8,574,979.20"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,13,2025-11-03,"1,387.90","1,413.90","1,335.00","1,398.90",0.79,"4,537.00","6,296,617.40"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,14,2025-11-02,"1,355.00","1,389.00","1,348.50","1,387.90",3.57,"2,523.00","3,470,361.60"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,15,2025-10-30,"1,257.20","1,350.00","1,257.20","1,340.00",4.93,"2,411.00","3,208,177.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,16,2025-10-29,"1,269.50","1,365.00","1,269.50","1,277.00",-1.01,"1,693.00","2,206,565.80"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,17,2025-10-28,"1,289.20","1,298.00","1,270.10","1,290.00",2.06,878.00,"1,126,308.20"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,18,2025-10-26,"1,245.30","1,287.00","1,245.10","1,264.00",-0.47,"1,336.00","1,701,285.40"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,19,2025-10-19,"1,257.00","1,270.00","1,248.60","1,270.00",-0.31,630.00,"789,688.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,20,2025-10-16,"1,256.00","1,290.00","1,235.10","1,273.90",-0.32,"3,944.00","4,932,015.30"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,21,2025-10-15,"1,270.00","1,294.00","1,254.20","1,278.00",-0.93,"2,786.00","3,527,843.20"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,22,2025-10-14,"1,310.00","1,310.00","1,265.10","1,290.00",-0.69,"1,221.00","1,559,357.30"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,23,2025-10-13,"1,307.40","1,387.00","1,230.60","1,299.00",-2.62,"8,291.00","10,594,702.50"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,24,2025-10-12,"1,370.00","1,370.00","1,304.10","1,334.00",-4.44,"5,913.00","7,855,037.50"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,25,2025-10-09,"1,414.70","1,470.00","1,390.00","1,396.00",0.65,"2,452.00","3,443,881.80"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,26,2025-10-08,"1,402.00","1,402.00","1,357.00","1,387.00",-1.00,"5,349.00","7,350,263.80"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,27,2025-10-07,"1,434.00","1,440.00","1,401.00","1,401.00",-4.22,"2,327.00","3,303,956.40"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,28,2025-09-28,"1,477.00","1,506.50","1,420.10","1,462.80",0.95,"2,364.00","3,424,603.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,29,2025-09-25,"1,425.00","1,462.90","1,418.10","1,449.00",0.63,"2,520.00","3,645,100.40"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,30,2025-09-24,"1,431.00","1,482.90","1,416.00","1,440.00",-1.03,"1,559.00","2,234,158.10"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,31,2025-09-23,"1,411.50","1,467.00","1,386.00","1,455.00",1.02,"2,826.00","4,084,896.30"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,32,2025-09-21,"1,482.00","1,482.00","1,347.00","1,440.30",-0.96,"4,069.00","5,721,904.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,33,2025-09-18,"1,454.30","1,454.30","1,454.30","1,454.30",-2.00,68.00,"98,892.40"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,34,2025-09-08,"1,419.10","1,528.00","1,419.10","1,483.93",2.48,"3,210.00","4,662,904.40"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,35,2025-09-07,"1,421.00","1,512.00","1,421.00","1,448.05",-0.03,"5,488.00","8,160,513.50"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,36,2025-09-04,"1,430.10","1,479.00","1,430.10","1,448.53",-0.40,"3,283.00","4,743,195.50"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,37,2025-09-03,"1,485.00","1,544.00","1,430.00","1,454.30",-0.19,"2,007.00","2,923,898.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,38,2025-09-02,"1,500.00","1,520.00","1,455.00","1,457.08",-3.33,"2,033.00","2,982,982.80"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,39,2025-09-01,"1,435.10","1,529.00","1,435.10","1,507.20",3.01,"6,301.00","9,437,517.00"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,40,2025-08-31,"1,460.30","1,510.00","1,446.00","1,463.14",-1.45,"5,295.00","7,784,279.80"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,41,2025-08-28,"1,525.00","1,549.00","1,465.00","1,484.71",-3.49,"8,157.00","12,282,847.80"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,42,2025-08-27,"1,531.00","1,566.90","1,530.00","1,538.46",-0.92,"7,815.00","12,080,931.50"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,43,2025-08-26,"1,559.00","1,590.00","1,530.00","1,552.74",-0.41,"9,236.00","14,263,768.80"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,44,2025-08-25,"1,522.00","1,590.00","1,506.00","1,559.07",4.48,"50,331.00","77,601,284.40"
mslb,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/mslb,45,2025-08-24,"1,498.30","1,544.90","1,490.00","1,492.26",-2.32,"3,609.00","5,434,008.20"
