symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,1,2025-11-19,854.00,854.00,818.00,836.80,-0.38,"43,674.00","35,990,181.00"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,2,2025-11-18,810.00,846.00,810.00,840.00,5.58,"30,555.00","25,230,858.50"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,3,2025-11-17,760.00,838.10,760.00,795.60,2.66,"23,482.00","18,695,059.40"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,4,2025-11-16,790.00,795.00,775.00,775.00,-1.90,"5,260.00","4,144,611.00"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,5,2025-11-13,798.90,798.90,775.70,790.00,0.64,"40,460.00","31,883,985.00"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,6,2025-11-12,809.00,809.00,779.00,785.00,-1.13,"16,171.00","12,769,517.90"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,7,2025-11-11,769.30,810.00,769.30,794.00,1.15,"27,189.00","21,534,282.40"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,8,2025-11-10,775.00,800.00,760.00,785.00,-0.01,"9,601.00","7,494,559.10"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,9,2025-11-09,791.00,798.80,785.10,785.10,-1.99,"24,904.00","19,728,656.00"
nabbc,Narayani Development Bank Limited,Development Bank,https://www.sharesansar.com/company/nabbc,10,2025-11-06,765.40,844.50,765.40,801.00,2.56,"51,395.00","41,592,055.50"
