symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,1,2024-12-19,308.30,308.30,308.30,308.30,0.00,"9,712.00","2,994,209.60"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,2,2024-12-17,308.30,308.30,308.30,308.30,0.00,"40,000.00","12,332,000.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,3,2024-10-22,308.30,308.30,308.30,308.30,-1.97,10.00,"3,083.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,4,2024-10-16,320.90,320.90,314.50,314.50,-3.94,20.00,"6,354.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,5,2024-10-09,327.40,327.40,327.40,327.40,-1.98,300.00,"98,220.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,6,2024-08-05,334.00,334.00,334.00,334.00,0.00,"2,000.00","668,000.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,7,2023-06-18,217.00,217.00,217.00,217.00,0.00,"20,000.00","4,340,000.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,8,2023-05-02,217.00,217.00,217.00,217.00,0.00,"28,000.00","6,076,000.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,9,2023-04-27,217.00,217.00,217.00,217.00,0.00,"18,000.00","3,906,000.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,10,2023-01-31,202.00,202.00,202.00,202.00,0.00,"22,814.00","4,608,428.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,11,2022-12-04,202.00,202.00,202.00,202.00,0.00,"75,335.00","15,217,670.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,12,2022-12-01,202.00,202.00,202.00,202.00,0.00,"20,165.00","4,073,330.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,13,2022-06-10,229.00,229.00,229.00,229.00,0.00,200.00,"45,800.00"
nabbcp,Narayani Development Bank Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nabbcp,14,2022-03-10,274.00,274.00,274.00,274.00,0.00,"17,286.00","4,736,364.00"
