symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,1,2025-11-19,511.00,511.00,505.00,507.00,-0.02,"18,121.00","9,178,167.30"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,2,2025-11-18,508.00,510.00,505.60,507.10,-0.18,"24,383.00","12,391,665.50"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,3,2025-11-17,504.00,509.90,504.00,508.00,0.89,"24,130.00","12,232,442.70"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,4,2025-11-16,503.00,506.90,501.00,503.50,0.10,"31,462.00","15,877,157.70"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,5,2025-11-13,505.10,505.10,502.00,503.00,-0.20,"32,775.00","16,502,822.20"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,6,2025-11-12,508.00,508.90,504.00,504.00,-0.77,"29,577.00","14,939,381.30"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,7,2025-11-11,510.00,510.00,505.30,507.90,-0.22,"21,898.00","11,118,916.70"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,8,2025-11-10,509.00,510.00,506.00,509.00,0.10,"49,391.00","25,118,841.20"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,9,2025-11-09,510.00,514.90,507.00,508.50,0.24,"39,600.00","20,165,989.70"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,10,2025-11-06,515.00,517.00,506.70,507.30,-1.13,"46,224.00","23,608,561.10"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,11,2025-11-05,513.00,516.90,508.00,513.10,0.39,"27,044.00","13,853,498.00"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,12,2025-11-04,515.00,517.90,511.10,511.10,-0.39,"27,560.00","14,170,430.60"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,13,2025-11-03,515.00,517.00,510.10,513.10,0.39,"32,079.00","16,515,996.30"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,14,2025-11-02,516.10,516.10,508.00,511.10,1.01,"33,330.00","17,040,192.60"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,15,2025-10-30,503.10,512.00,503.10,506.00,-0.20,"37,178.00","18,886,889.10"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,16,2025-10-29,509.00,516.30,507.00,507.00,-0.39,"51,578.00","26,340,988.30"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,17,2025-10-28,505.30,510.00,505.00,509.00,0.73,"49,884.00","25,341,556.50"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,18,2025-10-26,508.00,508.00,503.00,505.30,-0.51,"32,708.00","16,536,001.60"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,19,2025-10-19,512.00,512.00,506.00,507.90,-0.22,"38,379.00","19,552,540.90"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,20,2025-10-16,517.90,517.90,506.00,509.00,0.06,"37,341.00","18,987,148.50"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,21,2025-10-15,518.00,518.00,507.00,508.70,-0.25,"38,107.00","19,392,773.30"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,22,2025-10-14,518.50,518.50,510.00,510.00,0.00,"31,168.00","15,920,085.60"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,23,2025-10-13,519.90,520.00,506.00,510.00,-0.10,"53,374.00","27,268,268.70"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,24,2025-10-12,530.20,530.20,505.00,510.50,-1.81,"65,413.00","33,410,328.40"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,25,2025-10-09,523.90,544.00,514.00,519.90,1.15,"43,284.00","22,572,450.20"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,26,2025-10-08,523.00,523.00,505.00,514.00,-1.34,"78,401.00","39,999,289.50"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,27,2025-10-07,530.00,530.00,512.60,521.00,-1.14,"48,977.00","25,450,439.70"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,28,2025-09-28,524.00,528.00,521.00,527.00,1.04,"30,997.00","16,269,472.50"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,29,2025-09-25,523.00,524.90,516.00,521.60,-0.08,"28,626.00","14,946,270.30"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,30,2025-09-24,525.00,528.00,515.00,522.00,-0.29,"59,254.00","30,932,259.00"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,31,2025-09-23,516.90,525.00,513.00,523.50,2.61,"55,373.00","28,777,561.90"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,32,2025-09-21,474.00,514.00,474.00,510.18,5.63,"122,490.00","61,735,387.90"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,33,2025-09-18,502.90,502.90,471.00,483.00,-5.88,"16,660.00","8,052,975.00"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,34,2025-09-08,515.00,515.00,510.00,513.15,-0.33,"42,962.00","21,964,392.80"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,35,2025-09-07,507.30,517.80,507.30,514.87,-0.52,"25,831.00","13,310,474.80"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,36,2025-09-04,528.00,528.00,515.00,517.58,-0.44,"40,199.00","20,749,919.00"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,37,2025-09-03,520.00,529.00,519.00,519.88,-0.74,"34,096.00","17,740,832.00"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,38,2025-09-02,538.20,538.20,523.30,523.75,-0.74,"34,983.00","18,405,010.20"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,39,2025-09-01,531.20,531.20,518.00,527.66,1.31,"42,334.00","22,222,760.80"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,40,2025-08-31,535.00,536.90,520.00,520.84,-1.52,"66,938.00","35,271,776.50"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,41,2025-08-28,532.00,538.90,527.00,528.86,-0.94,"83,641.00","44,571,924.60"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,42,2025-08-27,539.90,539.90,526.50,533.87,0.85,"64,476.00","34,175,100.60"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,43,2025-08-26,514.50,533.00,514.50,529.35,1.30,"67,932.00","35,900,524.60"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,44,2025-08-25,512.00,525.00,509.00,522.58,1.76,"81,167.00","41,935,363.20"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,45,2025-08-24,520.00,520.00,513.00,513.56,-0.88,"72,676.00","37,383,957.50"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,46,2025-08-21,524.90,524.90,517.30,518.14,-0.13,"38,427.00","19,925,528.20"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,47,2025-08-20,518.00,521.00,517.00,518.81,0.00,"43,704.00","22,666,843.80"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,48,2025-08-19,525.00,525.00,518.00,518.81,-0.03,"44,459.00","23,102,548.60"
nabil,Nabil Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nabil,49,2025-08-18,520.00,524.00,517.00,518.95,-0.43,"48,703.00","25,313,878.10"
