symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,1,2025-11-10,"1,129.00","1,129.00","1,129.00","1,129.00",-0.96,25.00,"28,225.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,2,2025-11-09,"1,127.00","1,140.00","1,127.00","1,140.00",3.16,105.00,"119,375.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,3,2025-10-30,"1,105.10","1,105.10","1,105.10","1,105.10",-0.80,25.00,"27,627.50"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,4,2025-10-26,"1,114.00","1,114.00","1,114.00","1,114.00",-1.68,25.00,"27,850.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,5,2025-10-13,"1,111.00","1,152.00","1,111.00","1,133.00",1.98,265.00,"303,380.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,6,2025-10-08,"1,128.00","1,128.00","1,111.00","1,111.00",-3.48,65.00,"72,865.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,7,2025-10-07,"1,151.00","1,151.00","1,151.00","1,151.00",0.26,231.00,"265,881.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,8,2025-09-25,"1,148.00","1,148.00","1,148.00","1,148.00",1.59,420.00,"482,160.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,9,2025-09-23,"1,100.00","1,130.00","1,100.00","1,130.00",0.72,203.00,"227,840.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,10,2025-09-21,"1,100.00","1,122.00","1,100.00","1,121.91",1.71,305.00,"338,677.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,11,2025-09-08,"1,103.00","1,103.00","1,103.00","1,103.00",1.94,10.00,"11,030.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,12,2025-09-07,"1,082.00","1,082.00","1,082.00","1,082.00",1.60,25.00,"27,050.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,13,2025-08-31,"1,065.10","1,065.10","1,065.00","1,065.00",-0.47,100.00,"106,502.50"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,14,2025-08-26,"1,070.00","1,070.00","1,070.00","1,070.00",0.94,50.00,"53,500.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,15,2025-08-25,"1,060.00","1,060.00","1,060.00","1,060.00",0.47,25.00,"26,500.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,16,2025-08-20,"1,060.00","1,060.00","1,055.00","1,055.00",-0.47,80.00,"84,675.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,17,2025-08-19,"1,060.00","1,060.00","1,060.00","1,060.00",-1.40,25.00,"26,500.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,18,2025-08-13,"1,070.00","1,075.00","1,070.00","1,075.00",1.34,50.00,"53,625.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,19,2025-08-11,"1,060.80","1,060.80","1,060.80","1,060.80",2.00,25.00,"26,520.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,20,2025-08-04,"1,040.10","1,040.10","1,040.00","1,040.02",-0.20,100.00,"104,002.50"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,21,2025-08-03,"1,042.10","1,042.10","1,042.10","1,042.10",-1.22,25.00,"26,052.50"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,22,2025-07-30,"1,045.50","1,055.00","1,045.10","1,055.00",0.48,50.00,"52,508.50"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,23,2025-07-29,"1,050.00","1,050.00","1,050.00","1,050.00",0.71,50.00,"52,500.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,24,2025-07-28,"1,042.60","1,042.60","1,042.60","1,042.60",-1.60,25.00,"26,065.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,25,2025-07-27,"1,059.50","1,059.50","1,059.50","1,059.50",-1.90,15.00,"15,892.50"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,26,2025-07-16,"1,080.00","1,080.00","1,080.00","1,080.00",0.37,25.00,"27,000.00"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,27,2025-07-10,"1,076.10","1,076.10","1,076.10","1,076.00",0.09,30.00,"32,282.50"
nabild87,9% Nabil Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/nabild87,28,2025-07-06,"1,075.00","1,075.00","1,075.00","1,075.00",-1.83,30.00,"32,250.00"
