symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,1,2024-10-27,301.10,301.10,301.10,301.10,-1.99,"225,000.00","67,747,500.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,2,2023-12-18,307.20,307.20,307.20,307.20,0.00,"100,000.00","30,720,000.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,3,2023-11-05,307.20,307.20,307.20,307.20,4.14,"150,000.00","46,080,000.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,4,2023-10-19,295.00,295.00,295.00,295.00,0.00,"200,000.00","59,000,000.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,5,2023-05-04,474.00,474.00,474.00,474.00,0.00,"150,000.00","45,000,000.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,6,2022-08-07,464.00,474.00,474.00,474.00,0.00,"28,589.00","19,827,870.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,7,2021-02-11,681.00,681.00,681.00,681.00,1.95,26.00,"17,706.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,8,2021-02-01,668.00,668.00,668.00,668.00,1.98,10.00,"6,680.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,9,2021-01-31,655.00,655.00,655.00,655.00,1.87,10.00,"6,550.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,10,2019-07-07,775.00,775.00,768.00,772.00,-2.28,"8,328.00","6,407,221.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,11,2019-07-04,780.00,792.00,777.00,790.00,1.94,"6,757.00","5,277,062.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,12,2019-07-03,777.00,779.00,770.00,775.00,0.13,"7,835.00","6,055,573.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,13,2019-07-02,768.00,775.00,766.00,774.00,0.13,"9,596.00","7,373,063.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,14,2019-07-01,775.00,777.00,771.00,773.00,-0.90,"6,654.00","5,149,458.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,15,2019-06-30,785.00,785.00,780.00,780.00,-1.27,"2,278.00","1,780,540.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,16,2019-06-27,792.00,795.00,785.00,790.00,-1.86,"1,639.00","1,293,745.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,17,2019-06-26,785.00,805.00,785.00,805.00,2.55,"1,183.00","935,495.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,18,2019-06-25,790.00,790.00,785.00,785.00,0.00,"2,814.00","2,209,880.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,19,2019-06-24,786.00,790.00,784.00,785.00,-0.63,"9,352.00","7,349,846.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,20,2019-06-23,790.00,790.00,790.00,790.00,0.00,355.00,"280,450.00"
nabilp,NABIL Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nabilp,21,2019-06-20,795.00,800.00,790.00,790.00,0.38,"3,563.00","2,819,135.00"
