symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,1,2025-11-19,738.00,752.70,727.00,740.00,-1.20,"1,597.00","1,179,994.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,2,2025-11-18,742.50,749.00,735.10,749.00,0.88,870.00,"645,891.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,3,2025-11-17,740.00,754.80,725.00,742.50,1.56,"1,228.00","907,537.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,4,2025-11-16,734.10,754.90,720.00,731.10,-2.39,"1,334.00","985,953.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,5,2025-11-13,737.10,749.00,737.00,749.00,0.27,139.00,"103,138.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,6,2025-11-12,742.00,756.90,742.00,747.00,-1.19,"1,078.00","801,056.20"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,7,2025-11-11,740.00,775.00,740.00,756.00,1.46,742.00,"556,350.80"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,8,2025-11-10,750.10,762.90,740.00,745.10,-2.47,"2,167.00","1,627,969.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,9,2025-11-09,760.00,769.00,745.20,764.00,-0.61,"2,792.00","2,105,970.90"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,10,2025-11-06,740.00,768.70,740.00,768.70,2.90,"3,268.00","2,473,534.20"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,11,2025-11-05,761.00,762.00,734.00,747.00,-0.01,"1,044.00","777,324.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,12,2025-11-04,765.00,765.00,745.80,747.10,-2.34,"1,730.00","1,297,267.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,13,2025-11-03,778.00,778.00,765.00,765.00,-1.92,"2,746.00","2,105,765.30"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,14,2025-11-02,760.00,790.50,760.00,780.00,0.65,"3,880.00","3,022,566.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,15,2025-10-30,745.00,775.00,744.10,775.00,2.11,"2,147.00","1,644,871.20"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,16,2025-10-29,743.00,768.00,738.00,759.00,2.15,"3,610.00","2,709,147.60"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,17,2025-10-28,719.00,743.00,705.00,743.00,5.39,"2,683.00","1,935,167.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,18,2025-10-26,705.00,706.00,696.00,705.00,-1.81,999.00,"702,468.70"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,19,2025-10-19,710.00,718.00,707.00,718.00,1.13,635.00,"451,420.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,20,2025-10-16,736.00,736.00,696.00,710.00,-1.68,"2,505.00","1,781,039.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,21,2025-10-15,759.00,759.00,722.10,722.10,-3.59,"3,060.00","2,240,422.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,22,2025-10-14,784.90,784.90,734.00,749.00,-2.70,"1,242.00","924,939.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,23,2025-10-13,762.00,775.00,733.10,769.80,-0.93,"3,860.00","2,885,303.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,24,2025-10-12,764.50,777.00,747.10,777.00,-0.38,"4,382.00","3,299,625.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,25,2025-10-09,782.30,804.90,775.50,780.00,1.69,"1,286.00","1,007,513.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,26,2025-10-08,785.00,785.00,767.00,767.00,-4.13,"2,562.00","1,975,551.20"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,27,2025-10-07,815.00,815.00,791.00,800.00,-3.26,"1,370.00","1,089,953.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,28,2025-09-28,790.00,833.30,783.00,827.00,5.22,"5,071.00","4,034,927.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,29,2025-09-25,780.10,805.00,780.00,786.00,-0.51,"1,988.00","1,567,546.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,30,2025-09-24,800.00,800.00,784.00,790.00,-1.25,"1,332.00","1,049,844.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,31,2025-09-23,785.00,810.00,785.00,800.00,2.40,"3,148.00","2,503,254.10"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,32,2025-09-21,751.00,803.60,740.00,781.28,4.03,"4,618.00","3,521,611.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,33,2025-09-18,766.20,766.20,751.00,751.00,-3.94,116.00,"88,149.60"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,34,2025-09-08,789.91,790.00,775.60,781.81,-1.03,"2,428.00","1,887,361.80"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,35,2025-09-07,786.10,793.00,780.00,789.91,0.58,"2,561.00","2,006,996.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,36,2025-09-04,778.00,788.00,777.00,785.38,-0.61,"3,269.00","2,547,159.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,37,2025-09-03,792.61,794.00,780.00,790.17,-0.31,"1,685.00","1,323,819.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,38,2025-09-02,796.20,808.00,790.00,792.61,-0.76,"3,548.00","2,819,872.90"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,39,2025-09-01,796.00,817.00,795.00,798.65,-1.59,"5,420.00","4,333,901.10"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,40,2025-08-31,830.19,830.19,804.10,811.59,-2.24,"3,604.00","2,934,521.30"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,41,2025-08-28,828.00,846.00,820.00,830.19,1.67,"11,646.00","9,676,759.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,42,2025-08-27,803.10,825.00,803.10,816.59,0.06,"7,302.00","5,973,368.10"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,43,2025-08-26,830.00,840.00,812.00,816.11,-2.99,"5,013.00","4,118,255.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,44,2025-08-25,867.00,870.00,836.00,841.29,-1.10,"5,597.00","4,731,834.90"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,45,2025-08-24,848.90,883.00,835.80,850.64,0.19,"3,850.00","3,243,518.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,46,2025-08-21,851.00,858.00,840.10,849.04,-0.84,"1,291.00","1,096,557.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,47,2025-08-20,874.00,874.00,854.00,856.27,-1.46,"1,698.00","1,462,410.80"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,48,2025-08-19,853.00,874.00,853.00,869.00,1.40,"2,751.00","2,372,870.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,49,2025-08-18,855.00,868.90,841.00,856.99,0.59,"4,046.00","3,455,029.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,50,2025-08-17,860.00,865.00,840.00,851.96,-1.33,"8,753.00","7,418,404.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,51,2025-08-14,897.70,897.70,861.00,863.45,-2.03,"5,921.00","5,155,009.60"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,52,2025-08-13,910.00,910.00,880.00,881.32,-1.41,"6,714.00","5,979,604.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,53,2025-08-12,923.00,937.90,888.00,893.96,-5.03,"11,864.00","10,772,192.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,54,2025-08-11,970.00,970.00,923.10,941.27,-4.17,"11,128.00","10,526,070.90"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,55,2025-08-07,945.00,998.00,945.00,982.19,4.41,"24,720.00","24,086,097.80"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,56,2025-08-06,912.00,958.60,912.00,940.74,1.14,"5,370.00","5,072,725.60"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,57,2025-08-05,906.10,959.00,906.10,930.14,0.83,"7,726.00","7,286,907.80"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,58,2025-08-04,920.00,957.00,913.00,922.51,0.04,"4,644.00","4,304,652.60"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,59,2025-08-03,945.00,960.00,919.00,922.12,-3.76,"14,013.00","13,090,856.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,60,2025-07-31,965.00,986.00,946.00,958.14,-1.06,"11,424.00","11,119,491.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,61,2025-07-30,"1,044.00","1,046.00",965.00,968.38,-5.42,"14,533.00","14,397,374.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,62,2025-07-29,948.00,"1,023.90",948.00,"1,023.90",9.99,"42,597.00","43,059,413.70"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,63,2025-07-28,950.00,958.90,921.00,930.88,-1.33,"7,496.00","6,984,281.20"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,64,2025-07-27,951.00,964.70,930.20,943.44,1.05,"13,131.00","12,459,550.80"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,65,2025-07-24,950.00,956.00,926.00,933.60,-1.33,"6,729.00","6,332,701.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,66,2025-07-23,968.79,970.00,922.10,946.16,-2.34,"9,230.00","8,696,833.10"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,67,2025-07-22,955.80,975.00,950.00,968.79,3.38,"12,759.00","12,293,273.20"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,68,2025-07-21,910.00,997.00,906.00,937.15,1.90,"10,012.00","9,251,284.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,69,2025-07-20,975.00,975.00,917.00,919.71,-3.93,"23,969.00","22,463,106.10"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,70,2025-07-17,912.40,975.00,905.00,957.35,4.88,"12,547.00","11,817,177.50"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,71,2025-07-16,880.24,939.00,870.00,912.82,3.70,"12,244.00","11,098,151.40"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,72,2025-07-15,860.20,890.00,857.00,880.24,0.67,"3,994.00","3,503,006.20"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,73,2025-07-14,897.00,897.00,865.00,874.38,-2.58,"1,585.00","1,383,017.70"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,74,2025-07-13,891.00,908.00,880.00,897.57,2.68,"16,480.00","14,734,327.00"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,75,2025-07-10,879.00,890.00,854.30,874.11,1.41,"4,719.00","4,100,488.60"
nadep,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nadep,76,2025-07-09,825.00,865.00,825.00,861.97,3.72,"8,807.00","7,536,578.80"
