symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,1,2025-11-19,"1,150.10","1,150.10","1,150.10","1,131.10",-1.65,1.00,"1,131.10"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,2,2025-11-17,"1,150.10","1,150.10","1,150.10","1,150.10",-1.70,25.00,"28,752.50"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,3,2025-11-04,"1,170.00","1,170.00","1,170.00","1,170.00",0.26,85.00,"99,450.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,4,2025-11-03,"1,130.00","1,167.00","1,130.00","1,167.00",3.27,120.00,"140,024.60"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,5,2025-11-02,"1,130.00","1,130.00","1,130.00","1,130.00",0.79,15.00,"16,950.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,6,2025-10-30,"1,121.10","1,121.10","1,121.10","1,121.10",-0.96,10.00,"11,211.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,7,2025-10-16,"1,130.00","1,132.00","1,130.00","1,132.00",-1.68,60.00,"67,900.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,8,2025-10-08,"1,175.00","1,175.00","1,151.40","1,151.40",-2.01,15.00,"17,388.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,9,2025-09-24,"1,138.30","1,175.00","1,138.30","1,175.00",5.29,40.00,"46,126.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,10,2025-09-21,"1,116.00","1,116.00","1,116.00","1,116.00",1.92,75.00,"83,700.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,11,2025-08-21,"1,095.00","1,095.00","1,095.00","1,095.00",1.08,25.00,"27,375.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,12,2025-08-20,"1,083.30","1,083.30","1,083.30","1,083.30",0.03,25.00,"27,082.50"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,13,2025-08-14,"1,083.00","1,083.00","1,083.00","1,083.00",0.00,25.00,"27,075.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,14,2025-08-06,"1,078.60","1,083.00","1,078.60","1,083.00",0.08,125.00,"135,265.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,15,2025-08-03,"1,082.10","1,082.10","1,082.10","1,082.10",0.10,25.00,"27,052.50"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,16,2025-07-30,"1,081.00","1,081.00","1,081.00","1,081.00",0.00,25.00,"27,025.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,17,2025-07-29,"1,081.00","1,081.00","1,081.00","1,081.00",-1.73,10.00,"10,810.00"
nbbd2085,10.25% NBBL Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/nbbd2085,18,2025-07-27,"1,100.00","1,100.00","1,100.00","1,100.00",-0.86,15.00,"16,500.00"
