symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,1,2019-03-12,370.00,370.00,370.00,370.00,0.00,500.00,"185,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,2,2019-03-11,365.00,370.00,365.00,370.00,-50.67,"3,000.00","1,104,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,3,2019-01-13,750.00,750.00,750.00,750.00,0.00,"5,000.00","3,750,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,4,2019-01-08,750.00,750.00,750.00,750.00,0.00,"3,000.00","2,250,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,5,2018-07-11,750.00,750.00,750.00,750.00,0.00,"6,000.00","4,500,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,6,2018-07-04,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,290.00,"377,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,7,2018-06-28,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,200.00,"260,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,8,2018-06-19,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,"4,660.00","6,058,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,9,2018-06-07,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,"8,198.00","10,657,400.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,10,2018-05-31,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,"3,020.00","3,926,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,11,2018-03-28,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,"3,148.00","4,092,400.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,12,2018-03-06,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,100.00,"130,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,13,2018-01-07,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,"10,000.00","13,000,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,14,2018-01-02,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,"6,344.00","8,247,200.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,15,2017-11-28,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,"5,000.00","9,000,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,16,2017-11-23,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,914.00,"1,645,200.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,17,2017-11-22,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,"2,000.00","3,600,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,18,2017-11-21,"1,800.00","1,800.00","1,800.00","1,800.00",0.00,"23,700.00","42,660,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,19,2017-11-16,"1,830.00","1,800.00","1,800.00","1,800.00",0.00,"1,700.00","3,060,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,20,2017-10-31,"1,865.00","1,830.00","1,830.00","1,830.00",0.00,"1,000.00","1,830,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,21,2017-10-23,"1,865.00","1,865.00","1,865.00","1,865.00",0.00,"7,000.00","13,055,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,22,2017-10-17,"1,865.00","1,865.00","1,865.00","1,865.00",0.00,"5,000.00","9,325,000.00"
nbblpo,Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbblpo,23,2017-10-11,"1,865.00","1,865.00","1,865.00","1,865.00",0.00,"9,620.00","17,941,300.00"
