symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,1,2020-07-29,116.00,116.00,116.00,116.00,0.00,"105,018.00","12,182,088.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,2,2020-07-28,116.00,116.00,116.00,116.00,0.00,"105,118.00","12,193,700.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,3,2020-07-27,116.00,116.00,116.00,116.00,1.75,"105,118.00","12,193,700.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,4,2019-12-11,116.00,116.00,114.00,114.00,-8.80,"561,428.00","64,161,648.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,5,2019-10-01,125.00,125.00,125.00,125.00,5.93,"561,000.00","70,125,000.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,6,2019-09-03,118.00,118.00,118.00,118.00,-1.67,"485,000.00","57,230,000.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,7,2019-03-26,120.00,120.00,120.00,120.00,-45.45,"131,929.00","15,831,480.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,8,2014-05-22,220.00,0.00,0.00,220.00,0.00,"694,331.00","180,526,064.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,9,2014-01-26,100.00,0.00,0.00,100.00,0.00,"2,767,500.00","719,550,016.00"
nbbpo,Nepal Bangladesh Bank Promoter Share,Promoter Share,https://www.sharesansar.com/company/nbbpo,10,2013-09-01,100.00,0.00,0.00,220.00,0.00,"2,914,012.00","757,643,136.00"
