symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,1,2018-04-12,16.50,16.65,16.50,16.65,0.60,"283,979.00","4,709,229.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,2,2018-04-11,16.50,16.65,16.50,16.55,0.30,"155,632.00","2,572,839.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,3,2018-04-10,16.51,16.60,16.40,16.50,-0.60,"135,730.00","2,238,212.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,4,2018-04-09,16.60,16.65,16.50,16.60,0.61,"140,317.00","2,326,863.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,5,2018-04-08,16.60,16.80,16.50,16.50,-0.60,"37,078.00","616,158.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,6,2018-04-05,16.60,16.60,16.49,16.60,1.22,"2,997.00","49,544.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,7,2018-04-04,16.20,16.40,16.20,16.40,1.30,"12,698.00","207,008.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,8,2018-04-03,16.35,16.35,16.00,16.19,0.87,"80,677.00","1,306,402.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,9,2018-04-02,15.90,16.05,15.90,16.05,0.88,"52,338.00","836,074.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,10,2018-04-01,15.80,16.04,15.80,15.91,-0.87,"146,775.00","2,328,900.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,11,2018-03-29,15.90,16.10,15.90,16.05,0.31,"93,358.00","1,496,208.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,12,2018-03-28,15.68,16.00,15.68,16.00,0.00,"70,099.00","1,113,224.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,13,2018-03-27,15.78,16.00,15.75,16.00,3.23,"41,988.00","662,966.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,14,2018-03-26,16.00,15.99,15.50,15.50,-3.13,"71,587.00","1,123,292.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,15,2018-03-22,16.00,16.00,16.00,16.00,0.63,"1,500.00","24,000.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,16,2018-03-21,16.10,16.10,15.82,15.90,-1.49,"7,577.00","120,280.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,17,2018-03-19,16.30,16.44,16.14,16.14,0.06,"35,673.00","580,440.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,18,2018-03-18,16.01,16.25,16.01,16.13,-0.74,"81,950.00","1,323,463.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,19,2018-03-15,16.15,16.25,16.15,16.25,1.56,"30,004.00","486,106.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,20,2018-03-14,16.00,16.10,15.98,16.00,1.27,"113,515.00","1,815,422.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,21,2018-03-13,15.80,15.80,15.80,15.80,-1.62,"2,414.00","38,141.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,22,2018-03-12,16.06,16.06,15.75,16.06,1.97,"47,145.00","754,036.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,23,2018-03-11,15.75,15.75,15.75,15.75,0.00,599.00,"9,434.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,24,2018-03-07,15.75,15.75,15.75,15.75,0.00,"3,000.00","47,250.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,25,2018-03-06,15.83,15.83,15.44,15.75,-0.51,"14,111.00","220,859.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,26,2018-03-05,15.83,15.83,15.83,15.83,-0.63,"12,287.00","194,503.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,27,2018-03-04,16.25,16.25,15.93,15.93,-2.57,"82,662.00","1,329,361.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,28,2018-02-28,16.40,16.40,16.35,16.35,-0.97,"15,000.00","245,500.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,29,2018-02-27,16.45,16.60,16.45,16.51,0.49,"41,699.00","688,186.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,30,2018-02-26,16.43,16.43,16.43,16.43,-2.03,"25,000.00","410,750.00"
nbf1,Nabil Balanced Fund-1,Mutual Fund,https://www.sharesansar.com/company/nbf1,31,2018-02-25,16.60,16.77,16.50,16.77,1.02,"5,123.00","85,574.00"
