symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,1,2025-11-19,240.00,240.00,236.10,237.00,-0.42,"25,934.00","6,144,684.00"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,2,2025-11-18,240.80,240.90,236.00,238.00,0.80,"40,600.00","9,673,676.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,3,2025-11-17,235.20,240.00,235.20,236.10,-1.01,"33,513.00","7,947,500.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,4,2025-11-16,242.90,242.90,237.60,238.50,-0.17,"25,095.00","5,986,942.20"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,5,2025-11-13,240.00,240.00,235.60,238.90,0.38,"33,024.00","7,820,025.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,6,2025-11-12,243.90,243.90,236.30,238.00,-1.20,"108,356.00","25,779,896.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,7,2025-11-11,240.90,244.00,239.10,240.90,-0.04,"50,758.00","12,193,840.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,8,2025-11-10,239.80,246.80,239.80,241.00,-1.23,"49,289.00","11,934,297.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,9,2025-11-09,248.00,248.00,242.00,244.00,-1.77,"70,096.00","17,038,904.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,10,2025-11-06,253.80,253.80,246.10,248.40,-0.24,"33,255.00","8,251,135.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,11,2025-11-05,248.00,250.00,246.10,249.00,-0.36,"54,569.00","13,481,837.60"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,12,2025-11-04,250.00,253.00,249.00,249.90,-1.23,"35,576.00","8,890,132.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,13,2025-11-03,257.00,257.00,249.00,253.00,0.40,"45,400.00","11,483,184.20"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,14,2025-11-02,253.00,256.00,251.00,252.00,0.40,"61,730.00","15,605,238.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,15,2025-10-30,253.50,253.50,246.00,251.00,0.84,"27,297.00","6,837,270.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,16,2025-10-29,252.90,252.90,248.70,248.90,0.36,"39,633.00","9,895,509.60"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,17,2025-10-28,243.50,249.80,243.50,248.00,1.89,"35,545.00","8,802,340.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,18,2025-10-26,248.00,248.00,238.80,243.40,-0.08,"29,709.00","7,147,532.60"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,19,2025-10-19,240.10,246.00,240.10,243.60,1.08,"27,420.00","6,669,199.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,20,2025-10-16,245.70,245.70,240.00,241.00,0.00,"27,154.00","6,531,488.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,21,2025-10-15,241.50,243.00,240.00,241.00,-0.41,"24,284.00","5,846,727.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,22,2025-10-14,248.00,248.00,240.60,242.00,-0.62,"37,195.00","8,996,964.00"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,23,2025-10-13,248.80,248.80,239.40,243.50,-0.20,"29,907.00","7,282,908.40"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,24,2025-10-12,250.00,250.00,243.00,244.00,-2.40,"54,565.00","13,331,345.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,25,2025-10-09,253.90,261.80,248.00,250.00,0.40,"54,955.00","13,827,315.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,26,2025-10-08,246.00,249.00,243.00,249.00,-0.20,"51,462.00","12,654,556.00"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,27,2025-10-07,252.00,254.50,248.00,249.50,-0.95,"76,247.00","19,155,922.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,28,2025-09-28,255.00,255.00,250.00,251.90,0.76,"23,772.00","5,966,379.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,29,2025-09-25,250.00,251.00,248.00,250.00,0.40,"56,399.00","14,089,058.00"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,30,2025-09-24,254.00,254.00,245.00,249.00,-0.40,"40,871.00","10,128,817.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,31,2025-09-23,254.00,254.00,249.00,250.00,0.39,"69,210.00","17,364,392.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,32,2025-09-21,225.40,251.30,225.40,249.03,8.27,"125,787.00","30,393,647.40"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,33,2025-09-18,242.00,244.00,225.50,230.00,-6.58,"10,094.00","2,375,472.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,34,2025-09-08,250.00,250.00,245.00,246.21,-1.02,"97,229.00","24,015,758.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,35,2025-09-07,247.20,251.00,247.20,248.75,-0.26,"51,355.00","12,809,281.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,36,2025-09-04,253.80,253.80,248.00,249.39,-0.11,"51,030.00","12,688,514.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,37,2025-09-03,245.70,252.00,245.70,249.66,-0.39,"52,153.00","13,026,443.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,38,2025-09-02,256.60,256.60,250.00,250.64,-0.40,"63,455.00","15,908,196.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,39,2025-09-01,255.30,255.30,249.50,251.65,0.53,"57,926.00","14,537,901.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,40,2025-08-31,255.00,255.00,250.00,250.33,-1.09,"68,942.00","17,281,786.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,41,2025-08-28,257.70,257.70,252.00,253.10,-0.78,"76,661.00","19,433,399.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,42,2025-08-27,256.50,256.50,250.70,255.10,1.41,"65,291.00","16,592,563.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,43,2025-08-26,252.10,256.90,249.90,251.55,-0.95,"121,734.00","30,604,238.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,44,2025-08-25,254.00,257.40,251.00,253.97,-0.17,"79,112.00","19,984,992.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,45,2025-08-24,257.00,259.00,254.00,254.41,-0.47,"63,502.00","16,210,565.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,46,2025-08-21,255.10,257.80,254.70,255.60,-0.23,"78,750.00","20,115,996.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,47,2025-08-20,261.90,261.90,255.00,256.20,-0.57,"50,722.00","12,992,782.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,48,2025-08-19,259.00,263.00,256.00,257.68,0.98,"73,873.00","19,031,701.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,49,2025-08-18,255.00,258.00,254.00,255.17,-0.36,"121,852.00","31,155,661.60"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,50,2025-08-17,265.00,265.00,254.00,256.10,-3.80,"303,542.00","78,432,295.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,51,2025-08-14,282.00,282.00,265.10,266.21,-5.91,"604,541.00","162,756,587.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,52,2025-08-13,282.10,287.00,282.10,282.92,-0.05,"51,029.00","14,498,962.60"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,53,2025-08-12,286.36,292.00,282.10,283.06,-1.15,"81,177.00","23,145,510.88"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,54,2025-08-11,295.00,297.00,285.00,286.36,-1.62,"170,746.00","49,715,615.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,55,2025-08-07,291.90,292.00,284.50,291.08,1.63,"69,186.00","19,979,658.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,56,2025-08-06,290.00,290.00,285.00,286.40,-0.78,"78,848.00","22,620,301.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,57,2025-08-05,293.70,296.90,287.60,288.66,-0.62,"130,957.00","38,240,709.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,58,2025-08-04,289.10,294.00,284.50,290.45,1.67,"175,445.00","50,796,553.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,59,2025-08-03,294.00,295.00,285.10,285.69,-2.74,"211,773.00","61,091,436.60"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,60,2025-07-31,301.90,302.00,293.00,293.73,-1.22,"176,466.00","51,999,828.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,61,2025-07-30,306.00,306.00,296.00,297.35,-1.20,"203,460.00","60,962,704.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,62,2025-07-29,299.00,305.00,299.00,300.97,0.80,"238,261.00","72,026,901.90"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,63,2025-07-28,302.00,305.00,294.10,298.59,-1.07,"328,841.00","97,984,195.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,64,2025-07-27,307.00,313.00,301.00,301.81,-1.65,"356,925.00","109,171,996.40"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,65,2025-07-24,309.00,312.00,305.10,306.87,-0.36,"311,637.00","95,733,211.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,66,2025-07-23,298.60,308.70,298.60,307.98,1.10,"500,647.00","153,450,110.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,67,2025-07-22,300.00,305.00,298.10,304.64,2.38,"465,110.00","140,631,718.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,68,2025-07-21,303.40,303.40,294.40,297.57,0.03,"263,231.00","78,276,633.30"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,69,2025-07-20,305.60,305.90,296.00,297.48,-0.73,"542,284.00","163,395,415.00"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,70,2025-07-17,297.20,302.00,295.00,299.67,2.82,"695,151.00","208,368,076.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,71,2025-07-16,285.00,294.10,285.00,291.44,3.41,"563,881.00","164,043,858.80"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,72,2025-07-15,282.00,283.90,278.50,281.82,1.00,"236,540.00","66,464,132.00"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,73,2025-07-14,290.00,290.00,278.00,279.02,-2.44,"308,795.00","87,004,649.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,74,2025-07-13,276.00,288.50,276.00,286.01,5.69,"482,585.00","136,694,986.20"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,75,2025-07-10,268.00,279.00,267.10,270.62,2.32,"419,163.00","113,965,843.20"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,76,2025-07-09,258.10,266.00,258.10,264.49,1.41,"173,834.00","45,647,298.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,77,2025-07-08,265.00,265.00,258.00,260.80,-0.69,"132,874.00","34,686,215.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,78,2025-07-07,268.80,268.80,261.10,262.60,-0.38,"93,279.00","24,487,748.70"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,79,2025-07-06,263.00,265.90,261.00,263.61,-0.22,"98,430.00","25,943,884.60"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,80,2025-07-03,265.00,265.00,260.20,264.19,0.27,"105,995.00","27,940,113.00"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,81,2025-07-02,264.00,264.00,256.00,263.47,1.66,"143,208.00","37,362,613.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,82,2025-07-01,254.00,260.00,251.50,259.18,2.04,"136,286.00","34,879,962.20"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,83,2025-06-30,253.00,256.00,252.00,254.01,0.13,"49,558.00","12,581,957.50"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,84,2025-06-29,254.00,254.50,249.30,253.68,0.97,"53,614.00","13,486,063.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,85,2025-06-26,251.00,253.00,249.00,251.24,-0.22,"36,629.00","9,196,244.40"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,86,2025-06-25,253.80,253.80,250.00,251.79,0.38,"50,371.00","12,639,988.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,87,2025-06-24,250.00,254.00,250.00,250.84,0.43,"56,057.00","14,098,516.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,88,2025-06-23,248.20,251.90,243.50,249.77,-0.18,"77,761.00","19,243,694.10"
nbl,Nepal Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nbl,89,2025-06-22,253.00,254.00,250.00,250.21,-0.89,"61,740.00","15,484,094.40"
