symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,1,2025-11-13,"1,083.10","1,083.10","1,083.10","1,083.10",0.47,10.00,"10,831.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,2,2025-11-06,"1,078.00","1,078.00","1,078.00","1,078.00",-0.92,25.00,"26,950.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,3,2025-11-03,"1,074.00","1,100.00","1,074.00","1,088.00",1.30,210.00,"230,459.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,4,2025-10-30,"1,075.00","1,075.00","1,071.60","1,074.00",-0.09,26.00,"27,888.90"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,5,2025-10-28,"1,075.00","1,075.00","1,075.00","1,075.00",0.37,49.00,"52,675.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,6,2025-10-15,"1,071.00","1,071.00","1,071.00","1,071.00",-1.66,25.00,"26,775.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,7,2025-10-14,"1,089.10","1,089.10","1,089.10","1,089.10",1.99,10.00,"10,891.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,8,2025-10-08,"1,068.10","1,068.10","1,068.00","1,067.80",-1.49,58.00,"61,944.90"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,9,2025-09-28,"1,084.00","1,084.00","1,084.00","1,084.00",-1.90,25.00,"27,100.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,10,2025-09-24,"1,105.00","1,105.00","1,105.00","1,105.00",1.19,33.00,"36,465.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,11,2025-09-08,"1,092.00","1,092.00","1,092.00","1,092.00",1.77,240.00,"262,080.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,12,2025-09-04,"1,073.00","1,073.00","1,073.00","1,073.00",0.28,25.00,"26,825.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,13,2025-09-03,"1,070.00","1,070.00","1,070.00","1,070.00",-0.04,25.00,"26,750.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,14,2025-09-02,"1,070.40","1,070.40","1,070.40","1,070.40",0.13,10.00,"10,704.00"
nbld82,10% Nabil Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nbld82,15,2025-09-01,"1,069.10","1,069.10","1,069.00","1,069.00",0.37,100.00,"106,901.00"
