symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,1,2022-12-15,119.38,119.38,119.38,119.38,0.00,"1,922,270.00","228,942,357.00"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,2,2022-12-01,119.10,119.10,119.10,119.10,-3.48,"683,116.00","81,359,115.60"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,3,2022-09-05,123.40,123.40,123.40,123.40,0.00,"27,750.00","3,703,300.00"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,4,2022-08-02,123.40,123.40,123.40,123.40,1.98,"1,000.00","123,400.00"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,5,2022-07-27,121.00,121.00,121.00,121.00,0.00,"10,167.00","1,230,207.00"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,6,2022-07-06,121.00,121.00,121.00,121.00,0.00,"5,085.00","615,285.00"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,7,2022-06-24,121.00,121.00,121.00,121.00,0.00,"7,625.00","922,625.00"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,8,2022-06-21,121.00,121.00,121.00,121.00,0.00,"98,322.00","11,896,962.00"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,9,2022-06-07,121.00,121.00,121.00,121.00,-1.63,"25,000.00","3,025,000.00"
nccbpo,Nepal Credit and Commerce Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nccbpo,10,2022-05-30,123.00,123.00,123.00,123.00,1.65,"103,284.00","12,703,932.00"
