symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,1,2023-11-01,9.69,9.90,9.35,9.90,0.20,"6,852.00","66,337.59"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,2,2023-10-31,9.99,9.99,9.81,9.88,-1.20,"99,619.00","991,640.10"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,3,2023-10-30,9.77,10.00,9.77,10.00,0.40,"25,947.00","257,754.07"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,4,2023-10-29,9.97,9.97,9.82,9.96,0.10,"20,600.00","204,968.00"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,5,2023-10-19,9.91,9.99,9.91,9.95,0.40,"47,050.00","467,894.38"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,6,2023-10-18,9.75,9.92,9.75,9.91,1.75,"23,241.00","227,849.03"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,7,2023-10-17,9.68,9.86,9.68,9.74,0.62,"12,439.00","120,847.56"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,8,2023-10-16,9.66,9.70,9.66,9.68,0.21,"7,100.00","68,694.01"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,9,2023-10-12,9.68,9.70,9.62,9.66,0.42,"13,760.00","132,898.14"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,10,2023-10-11,9.62,9.70,9.61,9.62,0.10,"58,454.00","564,366.72"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,11,2023-10-10,9.94,9.98,9.60,9.61,-1.44,"18,447.00","182,455.62"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,12,2023-10-09,9.53,9.75,9.53,9.75,0.31,"43,921.00","425,141.99"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,13,2023-10-08,9.75,9.77,9.60,9.72,-1.32,"75,250.00","732,067.64"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,14,2023-10-05,9.98,9.98,9.85,9.85,0.41,"10,071.00","99,489.05"
nef,Nabil Equity Fund,Mutual Fund,https://www.sharesansar.com/company/nef,15,2023-10-04,9.67,9.85,9.67,9.81,0.10,"12,983.00","127,222.54"
