symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,1,2025-11-19,671.00,677.00,648.00,659.90,-1.57,"23,389.00","15,296,477.90"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,2,2025-11-18,669.00,677.00,658.00,670.40,0.96,"37,683.00","25,012,110.00"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,3,2025-11-17,652.00,666.00,638.00,664.00,3.75,"33,133.00","21,781,142.80"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,4,2025-11-16,650.00,675.00,640.00,640.00,-0.47,"23,019.00","14,983,612.10"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,5,2025-11-13,629.10,653.90,629.10,643.00,0.17,"24,419.00","15,637,957.00"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,6,2025-11-12,644.50,668.00,636.00,641.90,-0.40,"19,196.00","12,497,446.60"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,7,2025-11-11,662.80,662.80,641.00,644.50,-0.85,"18,402.00","11,858,899.20"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,8,2025-11-10,669.00,669.00,640.00,650.00,-1.81,"35,104.00","22,802,762.30"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,9,2025-11-09,695.80,707.00,660.00,662.00,-6.76,"80,662.00","54,277,027.20"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,10,2025-11-06,709.00,725.00,699.00,710.00,1.72,"88,804.00","63,504,562.00"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,11,2025-11-05,651.00,698.00,637.00,698.00,9.23,"88,917.00","60,022,792.50"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,12,2025-11-04,645.00,669.00,639.00,639.00,-1.99,"19,137.00","12,449,942.50"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,13,2025-11-03,662.00,670.00,650.00,652.00,-0.84,"11,026.00","7,287,654.70"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,14,2025-11-02,640.00,665.00,640.00,657.50,3.04,"29,790.00","19,457,651.10"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,15,2025-10-30,640.00,652.00,625.30,638.10,1.45,"16,907.00","10,801,445.60"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,16,2025-10-29,641.00,655.00,621.00,629.00,-0.36,"15,435.00","9,879,149.80"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,17,2025-10-28,616.70,640.50,616.70,631.30,3.66,"11,692.00","7,362,259.50"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,18,2025-10-26,605.00,610.00,600.30,609.00,-0.16,"3,793.00","2,294,575.10"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,19,2025-10-19,619.90,619.90,605.00,610.00,0.16,"6,990.00","4,268,794.70"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,20,2025-10-16,614.90,614.90,606.00,609.00,0.16,"12,968.00","7,877,526.10"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,21,2025-10-15,611.10,619.00,605.20,608.00,-0.98,"10,755.00","6,556,602.40"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,22,2025-10-14,623.00,629.00,614.00,614.00,-1.92,"7,685.00","4,761,072.90"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,23,2025-10-13,608.00,627.40,608.00,626.00,1.77,"13,552.00","8,405,298.70"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,24,2025-10-12,621.00,624.00,608.00,615.10,-2.83,"25,616.00","15,797,280.10"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,25,2025-10-09,638.50,660.90,631.50,633.00,1.12,"19,500.00","12,593,126.60"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,26,2025-10-08,631.10,636.00,605.90,626.00,-2.03,"22,957.00","14,230,954.50"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,27,2025-10-07,660.00,660.00,628.10,639.00,-1.30,"11,647.00","7,409,882.90"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,28,2025-09-28,646.20,660.00,646.20,647.40,0.22,"7,844.00","5,107,201.90"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,29,2025-09-25,650.00,662.40,637.00,646.00,-1.37,"13,732.00","8,887,813.10"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,30,2025-09-24,666.00,672.90,650.00,655.00,-2.38,"7,686.00","5,084,132.50"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,31,2025-09-23,655.00,683.00,650.00,671.00,1.67,"21,574.00","14,498,630.60"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,32,2025-09-21,605.00,664.90,600.00,660.01,9.09,"32,534.00","20,465,566.20"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,33,2025-09-18,633.00,633.00,603.00,605.00,-4.41,515.00,"318,078.50"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,34,2025-09-08,632.40,645.00,631.00,632.92,-1.59,"14,762.00","9,396,681.30"
nfs,Nepal Finance Limited,Finance,https://www.sharesansar.com/company/nfs,35,2025-09-07,635.00,647.70,622.00,643.13,0.53,"12,558.00","8,009,140.90"
