symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,1,2025-11-19,377.00,378.50,370.10,373.10,-1.03,"132,883.00","49,493,658.80"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,2,2025-11-18,371.00,379.00,371.00,377.00,1.89,"134,012.00","50,412,759.50"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,3,2025-11-17,364.20,373.00,364.10,370.00,0.41,"90,392.00","33,387,122.10"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,4,2025-11-16,369.00,375.80,366.00,368.50,-0.32,"67,508.00","24,840,434.90"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,5,2025-11-13,379.00,379.00,368.40,369.70,-0.59,"106,032.00","39,313,830.20"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,6,2025-11-12,380.00,380.00,371.20,371.90,-0.85,"59,508.00","22,252,240.60"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,7,2025-11-11,373.00,379.00,373.00,375.10,0.03,"101,722.00","38,200,982.40"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,8,2025-11-10,370.00,378.90,370.00,375.00,0.27,"111,771.00","41,918,739.30"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,9,2025-11-09,380.00,381.00,372.00,374.00,-2.15,"135,990.00","51,001,766.30"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,10,2025-11-06,392.00,392.00,382.20,382.20,-0.96,"173,339.00","66,935,156.30"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,11,2025-11-05,376.00,387.60,376.00,385.90,0.60,"177,137.00","67,625,040.90"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,12,2025-11-04,394.90,394.90,380.50,383.60,-0.93,"196,638.00","75,685,688.00"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,13,2025-11-03,385.10,397.00,384.00,387.20,-0.97,"403,121.00","156,828,514.70"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,14,2025-11-02,391.00,396.20,385.00,391.00,0.77,"495,502.00","193,506,082.80"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,15,2025-10-30,375.00,393.00,374.00,388.00,2.11,"369,374.00","141,995,538.10"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,16,2025-10-29,375.00,384.90,370.50,380.00,1.06,"259,015.00","97,922,544.10"
ngpl,Ngadi Group Power Limited,Hydropower,https://www.sharesansar.com/company/ngpl,17,2025-10-28,356.00,378.50,356.00,376.00,5.62,"255,731.00","94,525,132.90"
