symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,1,2025-09-03,"1,098.00","1,117.00","1,098.00","1,117.00",1.55,100.00,"110,845.00"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,2,2025-07-31,"1,100.00","1,100.00","1,100.00","1,100.00",0.13,125.00,"137,500.00"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,3,2025-07-27,"1,121.00","1,121.00","1,098.60","1,098.60",-3.88,162.00,"180,213.20"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,4,2025-07-23,"1,165.45","1,165.45","1,143.00","1,143.00",-1.93,100.00,"114,294.40"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,5,2025-07-16,"1,140.00","1,170.00","1,140.00","1,165.45",2.41,340.00,"392,555.00"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,6,2025-07-15,"1,120.00","1,138.00","1,120.00","1,138.00",3.45,635.00,"713,820.00"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,7,2025-07-09,"1,065.10","1,100.00","1,065.00","1,100.00",1.70,801.00,"853,748.90"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,8,2025-07-08,"1,064.60","1,085.70","1,060.90","1,081.56",-0.41,"1,076.00","1,152,351.30"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,9,2025-07-07,"1,107.40","1,107.40","1,086.00","1,086.00",-3.89,35.00,"38,545.00"
nibd2082,10.5% Nepal Investment Bank Debenture 2082,Corporate Debentures,https://www.sharesansar.com/company/nibd2082,10,2025-07-06,"1,130.00","1,130.00","1,130.00","1,130.00",0.90,10.00,"11,300.00"
