symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,1,2025-11-20,8.39,8.50,8.33,8.33,-2.57,"3,100.00","25,973.15"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,2,2025-11-19,8.62,8.62,8.55,8.55,1.06,800.00,"6,854.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,3,2025-11-18,8.35,8.47,8.31,8.46,-0.24,800.00,"6,721.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,4,2025-11-17,8.47,8.64,8.47,8.48,0.24,"2,500.00","21,358.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,5,2025-11-16,8.35,8.62,8.35,8.46,0.00,400.00,"3,394.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,6,2025-11-13,8.62,8.63,8.46,8.46,-1.97,"3,450.00","29,736.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,7,2025-11-12,8.33,8.63,8.33,8.63,1.77,"1,240.00","10,508.60"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,8,2025-11-11,8.77,8.77,8.32,8.48,-1.40,850.00,"7,215.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,9,2025-11-09,8.66,8.66,8.60,8.60,-2.60,400.00,"3,446.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,10,2025-11-06,8.87,8.87,8.70,8.83,1.49,720.00,"6,322.60"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,11,2025-11-05,8.65,8.72,8.55,8.70,0.23,"1,800.00","15,584.30"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,12,2025-11-04,8.42,8.68,8.42,8.68,2.00,"1,700.00","14,635.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,13,2025-11-03,8.50,8.51,8.50,8.51,-0.23,"1,500.00","12,761.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,14,2025-11-02,8.44,8.53,8.33,8.53,1.07,"25,684.00","218,719.96"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,15,2025-10-30,8.43,8.44,8.43,8.44,-0.12,600.00,"5,060.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,16,2025-10-29,8.50,8.58,8.42,8.45,-1.74,"1,400.00","11,895.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,17,2025-10-28,8.72,8.72,8.57,8.60,-1.38,600.00,"5,168.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,18,2025-10-19,8.65,8.72,8.65,8.72,1.99,"2,200.00","19,176.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,19,2025-10-16,8.44,8.55,8.43,8.55,-0.58,"2,400.00","20,258.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,20,2025-10-15,8.51,8.60,8.50,8.60,-0.81,"2,600.00","22,120.00"
niblgf,NIBL Growth Fund,Mutual Fund,https://www.sharesansar.com/company/niblgf,21,2025-10-14,8.35,8.67,8.35,8.67,2.24,"2,260.00","19,190.00"
