symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,1,2024-01-08,9.47,9.48,9.32,9.32,-0.21,"29,109.00","272,885.42"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,2,2024-01-07,9.37,9.37,9.03,9.34,1.52,"79,812.00","735,631.97"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,3,2024-01-04,9.14,9.31,8.96,9.20,-0.76,"40,877.00","375,150.07"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,4,2024-01-03,9.40,9.40,9.12,9.27,0.54,"58,834.00","541,444.82"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,5,2024-01-02,9.30,9.30,9.20,9.22,-0.86,"7,500.00","69,265.00"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,6,2024-01-01,9.38,9.56,9.19,9.30,1.09,"45,613.00","423,114.65"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,7,2023-12-28,9.24,9.25,9.20,9.20,-2.02,"36,930.00","341,087.70"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,8,2023-12-27,9.51,9.70,9.22,9.39,0.64,"9,701.00","91,618.82"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,9,2023-12-24,9.34,9.34,9.06,9.33,1.86,"74,783.00","693,907.42"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,10,2023-12-21,9.12,9.34,9.12,9.16,0.22,"16,809.00","154,138.00"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,11,2023-12-20,9.17,9.35,9.14,9.14,0.00,"162,503.00","1,491,801.64"
niblpf,NIBL Pragati Fund,Mutual Fund,https://www.sharesansar.com/company/niblpf,12,2023-12-19,9.30,9.44,9.08,9.14,-1.30,"104,385.00","953,291.00"
