symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,1,2023-01-10,220.00,242.00,219.60,230.00,4.55,"15,078.00","3,431,965.20"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,2,2023-01-09,211.00,223.90,211.00,220.00,2.42,"33,352.00","7,260,807.40"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,3,2023-01-08,217.00,225.00,214.70,214.80,-2.81,"9,504.00","2,076,823.60"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,4,2023-01-05,219.00,221.00,212.30,221.00,2.31,"8,175.00","1,785,226.80"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,5,2023-01-04,215.00,220.00,214.00,216.00,1.89,"3,955.00","856,732.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,6,2023-01-03,212.00,218.00,211.00,212.00,1.39,"11,378.00","2,450,387.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,7,2023-01-02,219.00,222.00,209.10,209.10,-6.23,"11,385.00","2,494,928.90"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,8,2023-01-01,232.80,232.80,220.00,223.00,-6.11,"5,984.00","1,325,435.60"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,9,2022-12-29,223.00,237.50,223.00,237.50,6.03,"4,500.00","1,025,071.60"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,10,2022-12-28,220.00,224.00,220.00,224.00,0.00,71.00,"15,664.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,11,2022-12-27,216.00,227.80,216.00,224.00,4.23,"20,731.00","4,569,665.50"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,12,2022-12-26,206.00,214.90,206.00,214.90,5.34,"5,795.00","1,215,418.80"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,13,2022-12-22,201.90,204.00,200.00,204.00,-0.97,"4,741.00","958,845.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,14,2022-12-21,205.00,208.00,205.00,206.00,0.98,"6,337.00","1,305,572.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,15,2022-12-20,206.00,206.00,200.00,204.00,-1.45,"5,392.00","1,084,436.70"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,16,2022-12-19,206.90,210.00,201.20,207.00,2.02,"8,783.00","1,798,747.20"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,17,2022-12-18,207.00,207.00,202.90,202.90,-1.98,"1,316.00","267,712.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,18,2022-12-15,211.00,211.00,207.00,207.00,-0.48,"2,825.00","588,635.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,19,2022-12-14,207.60,211.00,207.00,208.00,-1.79,"6,329.00","1,327,295.40"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,20,2022-12-13,216.10,216.10,211.80,211.80,-3.95,120.00,"25,459.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,21,2022-12-12,225.00,225.00,220.50,220.50,-0.50,300.00,"66,600.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,22,2022-12-11,221.60,221.60,221.60,221.60,-1.95,20.00,"4,432.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,23,2022-12-07,222.80,226.00,214.10,226.00,-0.57,142.00,"31,168.40"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,24,2022-12-06,231.00,235.50,227.00,227.30,-1.77,"22,147.00","5,113,748.50"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,25,2022-12-05,231.10,233.80,231.10,231.40,-0.98,"6,837.00","1,583,401.80"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,26,2022-12-04,232.00,236.00,229.20,233.70,0.91,"18,019.00","4,219,456.60"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,27,2022-12-01,231.00,231.60,226.90,231.60,1.98,"5,000.00","1,152,531.50"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,28,2022-11-30,233.30,233.30,226.00,227.10,-0.74,"126,794.00","28,783,739.50"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,29,2022-11-29,227.30,229.00,226.00,228.80,-1.29,"23,185.00","5,261,386.50"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,30,2022-11-28,229.90,231.80,227.50,231.80,0.83,"16,123.00","3,690,449.70"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,31,2022-11-27,230.10,230.10,229.00,229.90,-1.75,"5,730.00","1,315,753.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,32,2022-11-24,230.30,234.00,230.00,234.00,-0.38,"3,601.00","832,895.20"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,33,2022-11-23,237.70,237.70,233.00,234.90,-3.13,"3,586.00","843,148.50"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,34,2022-06-10,233.00,242.50,227.60,242.50,2.75,"50,038.00","11,579,984.30"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,35,2022-06-09,247.70,247.70,236.00,236.00,-6.61,"17,497.00","4,178,426.80"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,36,2022-06-08,240.00,252.70,230.00,252.70,7.08,"61,940.00","14,572,312.20"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,37,2022-06-07,255.30,255.30,234.50,236.00,-9.40,"54,219.00","12,806,590.50"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,38,2022-06-06,283.70,283.70,260.50,260.50,-9.99,"4,467.00","1,164,375.50"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,39,2022-06-03,313.60,313.60,289.40,289.40,-9.56,60.00,"17,964.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,40,2022-06-02,348.40,348.40,320.00,320.00,-9.99,60.00,"19,943.00"
nibpo,Nepal Investment Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nibpo,41,2022-05-31,387.10,387.10,355.50,355.50,-10.00,140.00,"50,957.00"
