symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,1,2022-01-06,12.44,12.51,12.40,12.41,-0.24,"112,990.00","1,406,723.11"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,2,2022-01-05,12.50,12.50,12.38,12.44,-0.48,"41,000.00","509,005.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,3,2022-01-04,12.49,12.53,12.49,12.50,1.30,"11,220.00","140,431.80"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,4,2022-01-03,12.39,12.59,12.34,12.34,1.56,"10,430.00","129,238.70"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,5,2022-01-02,12.24,12.28,12.15,12.15,0.41,"97,000.00","1,182,968.99"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,6,2021-12-29,12.21,12.21,12.06,12.10,-0.98,"38,550.00","465,889.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,7,2021-12-28,12.22,12.25,11.98,12.22,1.92,"78,273.00","952,890.84"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,8,2021-12-27,11.95,12.10,11.95,11.99,0.00,"90,123.00","1,082,589.77"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,9,2021-12-26,12.00,12.00,11.98,11.99,0.08,"32,468.00","389,327.60"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,10,2021-12-23,11.95,12.00,11.95,11.98,0.25,"43,000.00","515,612.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,11,2021-12-22,12.00,12.10,11.95,11.95,-0.25,"11,480.00","137,955.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,12,2021-12-21,12.00,12.00,11.98,11.98,0.25,"4,500.00","53,961.16"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,13,2021-12-20,11.99,12.00,11.91,11.95,-0.42,"31,782.00","379,454.22"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,14,2021-12-16,12.00,12.00,11.96,12.00,0.25,"90,580.00","1,085,660.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,15,2021-12-15,11.96,12.00,11.95,11.97,-0.25,"27,450.00","329,000.50"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,16,2021-12-14,11.84,12.00,11.83,12.00,0.25,"14,100.00","168,343.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,17,2021-12-13,12.00,12.05,11.95,11.97,-0.08,"72,500.00","868,537.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,18,2021-12-12,11.99,12.00,11.98,11.98,-0.99,"33,500.00","401,790.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,19,2021-12-09,11.99,12.10,11.94,12.10,0.83,"45,880.00","550,233.20"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,20,2021-12-08,12.10,12.10,11.95,12.00,-0.08,"67,300.00","805,905.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,21,2021-12-07,12.01,12.04,12.01,12.01,0.42,"38,000.00","456,930.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,22,2021-12-06,11.97,12.00,11.90,11.96,-0.08,"125,940.00","1,505,643.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,23,2021-12-05,12.15,12.15,11.97,11.97,-1.07,"74,416.00","895,694.18"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,24,2021-12-02,12.02,12.11,12.01,12.10,-0.08,"29,900.00","360,192.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,25,2021-12-01,12.00,12.20,11.90,12.11,0.33,"107,610.00","1,298,544.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,26,2021-11-30,12.06,12.12,12.06,12.07,-0.25,"50,400.00","610,124.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,27,2021-11-29,12.10,12.10,12.00,12.10,0.33,"15,700.00","189,616.00"
nibsf1,NIBL Samriddhi Fund 1,Mutual Fund,https://www.sharesansar.com/company/nibsf1,28,2021-11-28,11.80,12.15,11.80,12.06,0.25,"50,400.00","608,935.00"
