symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,1,2025-11-19,311.90,311.90,305.70,306.90,-0.68,"35,247.00","10,805,225.20"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,2,2025-11-18,306.30,309.60,306.30,309.00,0.49,"34,492.00","10,632,873.00"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,3,2025-11-17,308.00,310.00,307.00,307.50,-0.26,"43,796.00","13,479,927.80"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,4,2025-11-16,308.90,312.00,307.20,308.30,-0.19,"25,022.00","7,714,727.80"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,5,2025-11-13,312.00,314.00,308.20,308.90,-0.93,"46,844.00","14,500,379.00"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,6,2025-11-12,312.40,316.40,311.50,311.80,-0.13,"31,341.00","9,803,660.50"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,7,2025-11-11,319.00,319.00,311.50,312.20,-1.17,"42,493.00","13,305,285.50"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,8,2025-11-10,316.00,319.90,311.00,315.90,-0.09,"46,722.00","14,658,851.60"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,9,2025-11-09,320.00,320.00,315.00,316.20,-1.80,"57,077.00","18,076,491.10"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,10,2025-11-06,322.00,326.90,320.50,322.00,-0.16,"31,827.00","10,313,274.60"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,11,2025-11-05,322.00,325.00,319.10,322.50,0.47,"28,471.00","9,159,963.80"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,12,2025-11-04,324.00,328.00,320.00,321.00,-0.93,"38,008.00","12,279,041.40"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,13,2025-11-03,324.00,330.00,321.20,324.00,0.03,"43,294.00","14,103,738.80"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,14,2025-11-02,327.40,327.50,320.20,323.90,0.90,"68,588.00","22,212,479.30"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,15,2025-10-30,316.00,323.90,312.00,321.00,0.63,"30,393.00","9,691,715.80"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,16,2025-10-29,329.70,329.70,317.10,319.00,-1.54,"41,189.00","13,195,625.30"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,17,2025-10-28,316.00,327.00,316.00,324.00,2.53,"39,389.00","12,720,536.90"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,18,2025-10-26,312.10,316.00,312.00,316.00,0.60,"25,544.00","8,010,771.80"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,19,2025-10-19,314.00,320.00,313.60,314.10,0.00,"18,515.00","5,851,907.90"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,20,2025-10-16,319.00,319.00,314.00,314.10,-0.91,"33,027.00","10,410,928.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,21,2025-10-15,316.00,319.00,315.00,317.00,0.09,"28,907.00","9,155,075.20"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,22,2025-10-14,322.00,324.50,316.00,316.70,-1.65,"36,339.00","11,579,222.90"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,23,2025-10-13,327.00,327.00,320.00,322.00,0.31,"43,486.00","14,002,986.30"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,24,2025-10-12,329.00,329.00,318.00,321.00,-2.13,"61,096.00","19,597,769.50"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,25,2025-10-09,327.40,345.00,326.10,328.00,2.18,"35,932.00","11,850,764.00"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,26,2025-10-08,331.50,331.50,318.00,321.00,-2.79,"81,048.00","26,122,021.50"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,27,2025-10-07,332.00,335.00,326.40,330.20,-1.14,"38,679.00","12,774,584.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,28,2025-09-28,335.00,337.00,333.00,334.00,0.85,"31,511.00","10,522,752.90"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,29,2025-09-25,330.10,336.70,330.10,331.20,-0.84,"24,603.00","8,184,953.00"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,30,2025-09-24,337.00,338.40,331.00,334.00,-0.83,"31,306.00","10,432,191.20"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,31,2025-09-23,335.00,338.90,333.00,336.80,1.62,"49,990.00","16,776,510.50"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,32,2025-09-21,310.50,332.40,310.50,331.42,5.55,"108,087.00","35,357,788.50"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,33,2025-09-18,333.00,333.00,308.70,314.00,-7.59,"7,459.00","2,375,434.60"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,34,2025-09-08,341.00,342.00,338.50,339.78,-0.52,"51,679.00","17,561,190.50"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,35,2025-09-07,338.00,344.70,338.00,341.54,-0.77,"33,752.00","11,540,652.00"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,36,2025-09-04,341.30,345.00,341.30,344.18,-0.18,"46,045.00","15,781,524.10"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,37,2025-09-03,346.50,346.80,344.00,344.79,-0.10,"22,544.00","7,786,264.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,38,2025-09-02,357.00,357.00,345.00,345.15,-1.39,"45,243.00","15,760,942.60"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,39,2025-09-01,353.30,353.30,341.00,350.02,1.03,"62,119.00","21,489,767.60"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,40,2025-08-31,352.00,353.00,345.00,346.46,-1.38,"31,039.00","10,759,272.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,41,2025-08-28,352.00,355.00,350.00,351.32,-0.03,"63,594.00","22,397,074.10"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,42,2025-08-27,351.40,352.90,345.20,351.44,2.01,"75,720.00","26,464,709.20"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,43,2025-08-26,349.90,349.90,344.00,344.53,0.06,"34,295.00","11,850,669.80"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,44,2025-08-25,343.00,345.00,337.00,344.34,0.23,"76,387.00","26,129,868.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,45,2025-08-24,348.20,349.50,343.00,343.56,-1.38,"94,633.00","32,680,795.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,46,2025-08-21,350.10,353.90,348.00,348.38,-0.78,"47,481.00","16,616,877.50"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,47,2025-08-20,353.00,356.00,350.00,351.12,0.13,"58,516.00","20,575,102.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,48,2025-08-19,348.50,355.10,348.10,350.65,0.69,"83,058.00","29,263,547.30"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,49,2025-08-18,350.00,351.00,344.50,348.23,-0.12,"103,749.00","36,139,739.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,50,2025-08-17,358.40,358.40,340.00,348.64,-4.65,"256,794.00","90,033,152.60"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,51,2025-08-14,371.80,371.90,363.10,365.66,-1.30,"88,358.00","32,407,300.60"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,52,2025-08-13,380.00,380.00,370.00,370.48,-1.71,"85,556.00","31,991,359.10"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,53,2025-08-12,385.00,385.00,376.10,376.92,-1.14,"59,057.00","22,363,141.30"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,54,2025-08-11,389.00,392.00,381.10,381.26,-0.89,"101,169.00","38,902,186.40"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,55,2025-08-07,392.80,392.80,383.00,384.68,-0.22,"83,056.00","32,003,820.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,56,2025-08-06,391.00,391.00,385.00,385.51,-0.23,"63,156.00","24,412,473.70"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,57,2025-08-05,403.50,403.50,385.90,386.38,-2.37,"168,482.00","66,054,248.80"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,58,2025-08-04,388.70,399.00,385.00,395.76,3.63,"275,662.00","108,183,779.40"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,59,2025-08-03,386.00,388.00,381.00,381.91,-1.17,"146,401.00","56,051,636.60"
nica,NIC Asia Bank Limited,Commercial Bank,https://www.sharesansar.com/company/nica,60,2025-07-31,390.00,396.90,383.50,386.43,-0.97,"170,007.00","66,167,915.90"
