symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,1,2025-11-19,"1,132.10","1,132.10","1,132.10","1,132.10",-4.87,25.00,"28,302.50"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,2,2025-11-18,"1,170.00","1,190.00","1,170.00","1,190.00",2.15,125.00,"147,500.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,3,2025-11-16,"1,155.00","1,165.00","1,155.00","1,165.00",2.37,125.00,"145,035.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,4,2025-11-13,"1,137.00","1,138.00","1,137.00","1,138.00",-0.96,50.00,"56,875.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,5,2025-11-10,"1,147.00","1,149.00","1,147.00","1,149.00",0.44,149.00,"171,128.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,6,2025-10-26,"1,144.00","1,144.00","1,144.00","1,144.00",1.69,14.00,"16,016.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,7,2025-10-15,"1,125.00","1,125.00","1,125.00","1,125.00",-1.32,25.00,"28,125.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,8,2025-10-07,"1,140.00","1,140.00","1,140.00","1,140.00",1.97,60.00,"68,400.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,9,2025-09-28,"1,118.00","1,118.00","1,118.00","1,118.00",-1.06,25.00,"27,950.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,10,2025-09-25,"1,106.00","1,106.00","1,106.00","1,130.00",2.17,5.00,"5,650.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,11,2025-09-23,"1,136.00","1,140.00","1,106.00","1,106.00",-2.64,80.00,"90,230.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,12,2025-09-07,"1,136.00","1,136.00","1,136.00","1,136.00",0.00,"1,060.00","1,204,160.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,13,2025-09-01,"1,135.00","1,136.00","1,135.00","1,136.00",1.43,825.00,"937,175.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,14,2025-08-31,"1,100.00","1,120.00","1,100.00","1,120.00",3.80,400.00,"447,200.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,15,2025-08-26,"1,079.00","1,079.00","1,079.00","1,079.00",-1.91,800.00,"863,200.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,16,2025-08-19,"1,080.00","1,100.00","1,080.00","1,100.00",1.85,71.00,"77,680.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,17,2025-08-14,"1,061.20","1,061.20","1,061.20","1,080.00",1.77,5.00,"5,400.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,18,2025-08-11,"1,061.20","1,061.20","1,061.20","1,061.20",0.11,50.00,"53,060.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,19,2025-08-03,"1,063.10","1,063.10","1,060.00","1,060.00",-0.21,300.00,"318,220.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,20,2025-07-30,"1,067.10","1,067.10","1,062.10","1,062.20",-1.28,175.00,"186,287.50"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,21,2025-07-27,"1,069.00","1,076.10","1,069.00","1,076.00",-5.20,305.00,"327,995.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,22,2025-07-20,"1,135.00","1,135.00","1,135.00","1,135.00",-2.49,90.00,"102,150.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,23,2025-07-16,"1,082.10","1,082.10","1,082.10","1,164.00",-0.51,26.00,"28,216.50"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,24,2025-06-30,"1,165.00","1,170.00","1,165.00","1,170.00",1.30,75.00,"87,500.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,25,2025-06-26,"1,150.00","1,155.00","1,150.00","1,154.94",4.99,100.00,"115,123.50"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,26,2025-06-24,"1,100.00","1,100.00","1,100.00","1,100.00",-5.17,25.00,"27,500.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,27,2025-06-22,"1,160.00","1,160.00","1,160.00","1,160.00",5.45,25.00,"29,000.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,28,2025-06-15,"1,100.00","1,100.00","1,100.00","1,100.00",-0.01,25.00,"27,500.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,29,2025-06-08,"1,100.10","1,100.10","1,100.10","1,100.10",0.82,25.00,"27,502.50"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,30,2025-05-26,"1,091.20","1,091.20","1,091.20","1,091.20",-5.52,25.00,"27,280.00"
nicad85,10% NIC Asia Debenture 2085/86,Corporate Debentures,https://www.sharesansar.com/company/nicad85/86,31,2025-05-04,"1,154.90","1,155.00","1,154.90","1,155.00",0.00,100.00,"115,497.50"
