symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,1,2025-11-12,193.00,193.00,193.00,193.00,0.00,"1,000.00","190,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,2,2025-09-02,193.00,193.00,193.00,193.00,0.00,100.00,"34,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,3,2025-08-31,193.00,193.00,193.00,193.00,0.00,100.00,"19,300.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,4,2024-06-18,220.00,220.00,209.00,209.00,0.00,"2,000.00","429,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,5,2023-10-02,375.10,377.00,375.10,377.00,0.00,"7,000.00","2,629,500.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,6,2023-06-22,396.00,396.00,396.00,396.00,0.00,"1,000.00","396,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,7,2022-11-28,331.30,331.30,331.30,331.30,0.00,"1,000.00","450,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,8,2022-10-23,331.30,331.30,331.30,331.30,-1.98,"69,275.00","22,950,807.50"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,9,2022-10-20,385.20,385.20,385.20,385.20,0.00,"1,000.00","435,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,10,2022-10-17,385.20,385.20,385.20,385.20,0.00,"2,000.00","860,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,11,2022-08-08,385.20,385.20,385.20,385.20,-1.98,"160,336.00","61,761,427.20"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,12,2022-08-07,393.00,393.00,393.00,393.00,0.00,"41,130.00","16,164,090.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,13,2022-04-27,438.00,438.00,438.00,438.00,0.00,"6,708.00","2,938,104.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,14,2021-11-01,505.00,505.00,505.00,505.00,0.00,"1,870.00","944,350.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,15,2021-10-31,505.00,505.00,505.00,505.00,0.00,"5,048.00","2,549,240.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,16,2021-10-27,505.00,505.00,505.00,505.00,0.00,663.00,"334,815.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,17,2021-09-27,505.00,505.00,505.00,505.00,0.20,"18,222.00","9,202,110.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,18,2021-09-15,504.00,504.00,504.00,504.00,0.00,721.00,"363,384.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,19,2021-06-30,504.00,504.00,504.00,504.00,1.82,"25,000.00","12,600,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,20,2021-04-08,495.00,495.00,495.00,495.00,0.00,"15,000.00","7,425,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,21,2021-04-06,495.00,495.00,495.00,495.00,-1.00,"7,000.00","3,465,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,22,2021-03-31,500.00,500.00,500.00,500.00,-1.96,"18,221.00","9,110,500.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,23,2021-03-22,510.00,510.00,510.00,510.00,0.00,"13,921.00","7,099,710.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,24,2021-03-01,510.00,510.00,510.00,510.00,0.99,"3,000.00","1,530,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,25,2020-11-08,335.00,335.00,335.00,335.00,0.00,"25,000.00","8,375,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,26,2020-07-14,245.00,245.00,245.00,245.00,0.00,606.00,"148,470.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,27,2020-07-13,245.00,245.00,245.00,245.00,0.00,"5,520.00","1,352,400.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,28,2020-07-07,245.00,245.00,245.00,245.00,-2.00,"15,562.00","3,812,690.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,29,2020-03-22,250.00,250.00,250.00,250.00,0.00,"34,555.00","8,638,750.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,30,2019-12-03,250.00,250.00,250.00,250.00,1.63,"19,490.00","4,872,500.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,31,2019-11-04,246.00,246.00,246.00,246.00,0.00,"5,000.00","1,230,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,32,2019-09-10,246.00,246.00,246.00,246.00,-9.56,"15,000.00","3,690,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,33,2019-06-27,272.00,272.00,272.00,272.00,0.00,323.00,"87,856.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,34,2019-05-20,272.00,272.00,272.00,272.00,8.80,"2,823.00","767,856.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,35,2019-02-19,250.00,250.00,250.00,250.00,0.00,"3,225.00","806,250.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,36,2019-01-27,250.00,250.00,250.00,250.00,0.00,"30,587.00","7,646,750.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,37,2019-01-21,250.00,250.00,250.00,250.00,0.00,"76,467.00","19,116,750.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,38,2019-01-16,250.00,250.00,250.00,250.00,8.70,"76,467.00","19,116,750.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,39,2018-10-10,230.00,230.00,230.00,230.00,0.00,654.00,"150,420.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,40,2018-10-08,230.00,230.00,230.00,230.00,0.00,"10,546.00","2,425,580.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,41,2018-07-03,175.00,175.00,175.00,175.00,0.00,"11,128.00","1,947,400.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,42,2018-06-26,175.00,175.00,175.00,175.00,0.00,"4,367.00","764,225.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,43,2018-02-26,191.00,191.00,191.00,191.00,0.00,"3,269.00","624,379.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,44,2017-07-20,250.00,250.00,250.00,250.00,0.00,"2,996.00","749,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,45,2017-07-05,250.00,250.00,250.00,250.00,0.00,"7,279.00","1,819,750.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,46,2017-06-18,250.00,250.00,250.00,250.00,0.00,"110,052.00","27,513,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,47,2014-11-18,577.00,577.00,577.00,577.00,0.00,"1,800.00","1,038,600.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,48,2014-11-10,588.00,577.00,577.00,577.00,0.00,"3,686.00","2,126,822.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,49,2014-08-25,623.00,611.00,588.00,588.00,0.00,"44,266.00","26,379,156.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,50,2014-08-24,660.00,647.00,623.00,623.00,0.00,"9,290.00","5,848,870.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,51,2014-08-21,699.00,686.00,660.00,660.00,0.00,"4,371.00","2,941,683.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,52,2014-07-20,686.00,699.00,699.00,699.00,0.00,"7,285.00","5,092,215.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,53,2014-07-16,686.00,686.00,686.00,686.00,0.00,"36,428.00","24,989,608.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,54,2014-07-15,673.00,686.00,686.00,686.00,0.00,"7,286.00","4,998,196.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,55,2014-03-18,673.00,673.00,673.00,673.00,0.00,"5,000.00","3,365,000.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,56,2014-01-20,686.00,673.00,673.00,673.00,0.00,"5,828.00","3,922,244.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,57,2013-11-27,700.00,686.00,686.00,686.00,0.00,"8,571.00","5,879,706.00"
nicap,NICA Bank Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nicap,58,2013-08-07,700.00,700.00,700.00,700.00,0.00,"11,116.00","7,781,200.00"
