symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,1,2025-11-19,8.70,8.76,8.64,8.76,-0.57,"5,100.00","44,376.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,2,2025-11-18,8.55,8.81,8.55,8.81,1.97,"4,000.00","34,460.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,3,2025-11-17,8.81,8.81,8.64,8.64,0.00,700.00,"6,150.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,4,2025-11-16,8.48,8.64,8.48,8.64,1.29,700.00,"5,955.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,5,2025-11-11,8.56,8.56,8.52,8.53,-1.84,"5,400.00","46,132.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,6,2025-11-10,8.71,8.71,8.69,8.69,-1.59,"16,000.00","139,110.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,7,2025-11-06,8.85,9.00,8.83,8.83,-1.89,"10,100.00","89,617.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,8,2025-11-05,9.00,9.00,9.00,9.00,0.00,900.00,"8,100.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,9,2025-11-03,9.01,9.01,9.00,9.00,1.81,"5,000.00","45,010.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,10,2025-11-02,9.00,9.10,8.84,8.84,-1.78,"15,100.00","134,648.88"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,11,2025-10-30,9.00,9.00,9.00,9.00,0.11,"10,000.00","90,000.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,12,2025-10-29,8.82,8.99,8.82,8.99,-0.11,"4,000.00","35,943.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,13,2025-10-28,9.00,9.00,9.00,9.00,-1.21,"1,750.00","15,750.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,14,2025-10-26,9.11,9.11,9.11,9.11,0.00,200.00,"1,822.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,15,2025-10-19,9.11,9.11,9.11,9.11,0.00,100.00,911.00
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,16,2025-10-16,9.11,9.11,9.11,9.11,0.66,"1,076.00","9,802.36"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,17,2025-10-15,8.75,9.05,8.75,9.05,5.23,"7,215.00","63,455.75"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,18,2025-10-14,8.60,8.60,8.60,8.60,0.00,200.00,"1,720.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,19,2025-10-13,8.72,8.72,8.60,8.60,0.58,"31,500.00","272,706.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,20,2025-10-12,8.71,8.71,8.55,8.55,-3.72,600.00,"5,146.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,21,2025-10-09,8.85,9.02,8.85,8.88,0.34,"1,100.00","9,830.00"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,22,2025-10-08,9.20,9.20,8.85,8.85,-3.80,"12,355.00","112,864.90"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,23,2025-10-07,9.20,9.20,9.20,9.20,1.10,553.00,"5,087.60"
nicbf,NIC ASIA Balanced Fund,Mutual Fund,https://www.sharesansar.com/company/nicbf,24,2025-09-24,9.00,9.10,9.00,9.10,1.11,"25,600.00","231,945.00"
