symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,1,2025-11-20,8.53,8.68,8.53,8.56,-1.50,"5,850.00","50,455.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,2,2025-11-19,8.53,8.77,8.53,8.69,-0.11,"16,900.00","146,966.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,3,2025-11-18,8.63,8.70,8.63,8.70,-1.14,"1,000.00","8,686.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,4,2025-11-17,8.60,8.80,8.60,8.80,1.50,"2,500.00","21,746.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,5,2025-11-16,8.88,8.88,8.63,8.67,-0.46,"1,900.00","16,696.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,6,2025-11-13,8.70,9.01,8.70,8.71,-1.47,"1,400.00","12,350.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,7,2025-11-12,8.71,9.02,8.71,8.84,-0.11,"2,650.00","23,809.50"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,8,2025-11-11,8.80,8.97,8.80,8.85,-1.12,"1,500.00","13,395.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,9,2025-11-10,8.71,8.95,8.71,8.95,1.36,"1,400.00","12,360.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,10,2025-11-09,8.82,8.97,8.82,8.83,-1.56,900.00,"7,957.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,11,2025-11-06,8.63,8.97,8.63,8.97,2.16,"2,010.00","17,494.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,12,2025-11-05,8.70,8.78,8.70,8.78,0.00,"2,100.00","18,359.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,13,2025-11-04,8.90,8.90,8.75,8.78,0.57,"1,700.00","15,035.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,14,2025-11-03,8.80,8.91,8.70,8.73,-1.24,"9,425.00","82,475.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,15,2025-11-02,9.03,9.03,8.83,8.84,-4.02,800.00,"7,153.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,16,2025-10-29,8.72,9.21,8.72,9.21,3.72,"5,500.00","49,336.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,17,2025-10-28,8.70,9.00,8.70,8.88,0.68,"2,100.00","18,717.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,18,2025-10-26,8.85,8.90,8.80,8.82,-2.00,400.00,"3,537.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,19,2025-10-19,8.85,9.00,8.85,9.00,0.22,"1,700.00","15,134.00"
nicfc,NIC Asia Flexi Cap Fund,Mutual Fund,https://www.sharesansar.com/company/nicfc,20,2025-10-16,8.85,9.00,8.85,8.98,1.47,"1,700.00","15,245.00"
