symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,1,2025-11-20,8.60,8.61,8.45,8.46,-1.63,"6,910.00","58,620.60"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,2,2025-11-19,8.68,8.70,8.60,8.60,-1.15,"1,600.00","13,842.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,3,2025-11-18,8.60,8.71,8.60,8.70,-0.80,"1,600.00","13,873.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,4,2025-11-17,8.60,8.77,8.60,8.77,0.00,"2,200.00","19,203.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,5,2025-11-16,8.61,8.77,8.47,8.77,-0.11,"1,200.00","10,307.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,6,2025-11-13,8.51,8.78,8.51,8.78,1.97,"1,700.00","14,611.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,7,2025-11-12,8.60,8.69,8.60,8.61,-1.03,"1,010.00","8,698.10"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,8,2025-11-11,8.50,8.86,8.50,8.70,2.11,"2,100.00","18,317.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,9,2025-11-10,8.50,8.74,8.45,8.52,-1.05,"1,500.00","12,837.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,10,2025-11-09,8.73,8.73,8.61,8.61,-3.26,"2,900.00","25,209.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,11,2025-11-06,8.73,8.90,8.39,8.90,0.00,"67,300.00","580,489.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,12,2025-11-05,8.80,9.10,8.80,8.90,-0.78,"6,400.00","58,012.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,13,2025-11-04,8.69,8.97,8.69,8.97,1.93,"31,800.00","284,734.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,14,2025-11-03,8.80,8.95,8.65,8.80,0.00,"1,900.00","16,771.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,15,2025-11-02,8.80,8.87,8.75,8.80,1.15,"21,600.00","191,138.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,16,2025-10-30,8.45,8.70,8.45,8.70,1.52,"2,600.00","22,333.50"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,17,2025-10-29,8.74,8.74,8.57,8.57,0.00,200.00,"1,731.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,18,2025-10-28,8.72,8.73,8.56,8.57,0.23,"4,000.00","34,486.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,19,2025-10-26,8.55,8.70,8.55,8.55,-1.84,"1,300.00","11,130.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,20,2025-10-19,8.53,8.85,8.53,8.71,2.35,"1,850.00","16,079.50"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,21,2025-10-16,8.50,8.67,8.50,8.51,-1.28,"1,620.00","13,896.20"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,22,2025-10-15,8.45,8.62,8.45,8.62,1.65,650.00,"5,541.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,23,2025-10-14,8.50,8.50,8.36,8.48,-2.19,"11,000.00","93,468.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,24,2025-10-13,8.33,8.67,8.33,8.67,2.00,"1,950.00","16,484.50"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,25,2025-10-12,8.41,8.55,8.41,8.50,-0.47,"1,100.00","9,351.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,26,2025-10-09,8.62,8.87,8.54,8.54,-0.93,"11,050.00","95,519.00"
nicgf2,NIC Asia Growth Fund 2,Mutual Fund,https://www.sharesansar.com/company/nicgf2,27,2025-10-08,8.62,8.63,8.62,8.62,-1.82,"1,100.00","9,487.00"
