symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,1,2025-03-09,10.86,10.90,10.82,10.90,0.00,"62,600.00","679,865.02"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,2,2025-03-06,11.02,11.02,10.86,10.90,0.83,"8,820.00","96,570.80"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,3,2025-03-05,10.80,10.90,10.77,10.81,0.28,"9,200.00","99,536.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,4,2025-03-04,10.75,10.89,10.75,10.78,-0.19,"7,635.00","82,205.45"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,5,2025-03-03,10.73,10.90,10.73,10.80,-1.10,"18,815.00","203,480.70"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,6,2025-03-02,10.75,10.93,10.75,10.92,1.87,"18,700.00","203,880.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,7,2025-02-27,11.00,11.00,10.64,10.72,-0.74,"88,321.00","968,030.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,8,2025-02-25,10.80,10.90,10.80,10.80,0.65,"24,820.00","268,568.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,9,2025-02-24,10.70,10.73,10.70,10.73,-0.19,"18,500.00","198,136.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,10,2025-02-23,10.70,10.75,10.70,10.75,0.37,"6,700.00","71,745.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,11,2025-02-20,10.61,10.85,10.61,10.71,-0.83,"11,700.00","126,619.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,12,2025-02-18,10.66,10.81,10.66,10.80,1.31,"10,650.00","114,918.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,13,2025-02-17,10.52,10.66,10.51,10.66,-0.37,"9,600.00","101,996.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,14,2025-02-16,10.50,10.70,10.50,10.70,0.00,"10,200.00","109,069.50"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,15,2025-02-13,10.61,10.80,10.61,10.70,-0.09,"534,680.00","5,770,951.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,16,2025-02-12,10.70,10.71,10.70,10.71,0.09,"20,300.00","217,276.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,17,2025-02-11,10.84,10.86,10.63,10.70,0.47,"712,100.00","7,730,422.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,18,2025-02-10,10.55,10.66,10.55,10.65,0.00,"15,060.00","160,103.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,19,2025-02-09,10.80,10.80,10.63,10.65,-1.66,"12,150.00","129,351.30"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,20,2025-02-05,10.82,10.83,10.80,10.83,2.07,"171,800.00","1,860,297.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,21,2025-02-04,10.51,10.66,10.51,10.61,0.57,"47,940.00","509,269.80"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,22,2025-02-03,10.70,10.72,10.55,10.55,-1.12,"101,695.00","1,088,032.25"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,23,2025-02-02,10.50,10.81,10.50,10.67,0.95,"42,450.00","454,594.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,24,2025-01-28,10.57,10.70,10.56,10.57,0.09,"29,300.00","310,514.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,25,2025-01-27,10.56,10.56,10.56,10.56,-0.09,"3,880.00","40,972.80"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,26,2025-01-26,10.58,10.60,10.56,10.57,0.00,"22,700.00","239,945.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,27,2025-01-23,10.61,10.61,10.56,10.57,-1.21,"50,789.00","538,362.84"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,28,2025-01-22,10.70,10.70,10.70,10.70,1.90,"14,000.00","149,800.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,29,2025-01-21,10.55,10.60,10.40,10.50,-0.94,"82,124.00","863,990.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,30,2025-01-20,10.50,10.60,10.50,10.60,-0.93,"11,000.00","116,050.00"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,31,2025-01-19,10.50,10.70,10.50,10.70,0.75,676.00,"7,133.20"
nicgf,NIC Asia Growth Fund,Mutual Fund,https://www.sharesansar.com/company/nicgf,32,2025-01-16,10.50,10.62,10.42,10.62,1.14,"19,100.00","200,922.00"
