symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,1,2025-11-19,552.00,552.00,543.00,550.00,-0.18,"7,201.00","3,927,130.20"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,2,2025-11-18,555.90,558.70,546.20,551.00,-0.18,"9,451.00","5,223,619.80"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,3,2025-11-17,540.60,552.90,540.60,552.00,0.36,"10,122.00","5,531,123.10"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,4,2025-11-16,545.20,555.00,544.00,550.00,0.55,"6,661.00","3,665,485.20"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,5,2025-11-13,550.00,556.00,542.00,547.00,0.35,"6,909.00","3,777,361.40"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,6,2025-11-12,540.10,551.00,540.10,545.10,-0.53,"2,147.00","1,177,066.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,7,2025-11-11,550.00,554.00,545.00,548.00,0.16,"3,870.00","2,125,432.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,8,2025-11-10,550.00,557.00,547.00,547.10,-0.53,"5,896.00","3,240,082.10"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,9,2025-11-09,543.00,554.00,543.00,550.00,-0.72,"5,838.00","3,209,274.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,10,2025-11-06,559.50,564.40,550.40,554.00,-0.86,"9,727.00","5,393,759.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,11,2025-11-05,553.00,559.90,550.00,558.80,-0.92,"9,935.00","5,530,717.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,12,2025-11-04,565.10,570.00,557.00,564.00,-1.73,"4,239.00","2,386,422.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,13,2025-11-03,564.00,580.00,564.00,573.90,0.68,"9,622.00","5,524,661.10"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,14,2025-11-02,551.00,573.70,551.00,570.00,2.52,"20,861.00","11,818,966.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,15,2025-10-30,542.00,559.80,541.10,556.00,1.28,"4,725.00","2,612,052.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,16,2025-10-29,550.10,567.00,547.00,549.00,-1.61,"12,068.00","6,676,814.80"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,17,2025-10-28,545.00,562.00,536.10,558.00,3.89,"7,717.00","4,227,567.80"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,18,2025-10-26,540.00,545.00,537.10,537.10,-0.90,"3,243.00","1,756,503.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,19,2025-10-19,537.00,547.70,537.00,542.00,0.93,"2,091.00","1,131,726.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,20,2025-10-16,536.00,544.50,536.00,537.00,-0.04,"5,346.00","2,879,183.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,21,2025-10-15,552.00,552.00,537.00,537.20,-2.68,"10,486.00","5,690,842.10"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,22,2025-10-14,563.00,566.00,551.00,552.00,-0.54,"2,586.00","1,438,254.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,23,2025-10-13,550.00,560.00,548.10,555.00,-0.18,"4,420.00","2,443,753.40"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,24,2025-10-12,562.00,569.10,549.20,556.00,-1.07,"7,768.00","4,297,477.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,25,2025-10-09,571.00,582.00,560.00,562.00,0.36,"6,049.00","3,448,812.60"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,26,2025-10-08,557.00,567.00,554.00,560.00,-0.88,"5,376.00","3,006,392.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,27,2025-10-07,565.09,579.90,560.00,565.00,-1.22,"4,193.00","2,363,506.40"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,28,2025-09-28,581.00,581.00,570.00,572.00,-0.17,"3,614.00","2,086,428.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,29,2025-09-25,573.00,574.00,565.50,573.00,-0.17,"2,006.00","1,146,730.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,30,2025-09-24,569.00,584.90,569.00,574.00,-1.14,"2,763.00","1,592,146.40"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,31,2025-09-23,553.00,593.00,553.00,580.60,3.09,"5,655.00","3,296,714.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,32,2025-09-21,542.00,573.00,540.10,563.22,3.92,"8,463.00","4,720,007.40"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,33,2025-09-18,564.00,564.00,535.00,542.00,-5.75,610.00,"331,862.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,34,2025-09-08,571.00,579.00,566.50,575.05,-0.25,"8,069.00","4,603,561.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,35,2025-09-07,580.50,586.00,576.00,576.51,-0.65,"5,719.00","3,310,693.20"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,36,2025-09-04,577.00,593.60,577.00,580.30,-1.18,"13,612.00","7,916,574.10"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,37,2025-09-03,600.00,604.00,585.00,587.23,-2.66,"23,884.00","14,192,220.40"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,38,2025-09-02,601.10,610.00,601.10,603.28,-0.64,"6,260.00","3,787,215.60"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,39,2025-09-01,607.10,609.00,602.00,607.14,0.17,"7,228.00","4,375,951.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,40,2025-08-31,609.10,615.00,604.50,606.08,-1.32,"9,050.00","5,503,350.10"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,41,2025-08-28,620.00,625.80,612.10,614.20,-1.09,"6,918.00","4,261,585.60"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,42,2025-08-27,609.10,624.70,609.10,620.95,1.18,"13,820.00","8,540,981.90"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,43,2025-08-26,612.00,615.00,611.00,613.72,-0.40,"8,517.00","5,220,016.20"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,44,2025-08-25,635.00,639.00,604.90,616.17,-1.05,"32,512.00","19,939,126.60"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,45,2025-08-24,610.80,625.00,610.80,622.72,0.88,"7,953.00","4,943,827.20"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,46,2025-08-21,625.00,635.00,616.00,617.30,-1.53,"9,213.00","5,713,365.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,47,2025-08-20,632.20,640.00,625.10,626.89,-1.95,"8,503.00","5,374,159.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,48,2025-08-19,637.10,649.90,636.40,639.39,-0.32,"8,806.00","5,638,588.80"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,49,2025-08-18,645.00,648.80,636.00,641.47,-0.09,"3,900.00","2,502,706.30"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,50,2025-08-17,658.00,662.00,640.80,642.03,-3.32,"18,467.00","12,009,599.80"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,51,2025-08-14,656.10,683.00,656.10,664.11,-0.71,"12,660.00","8,465,142.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,52,2025-08-13,658.00,683.70,658.00,668.84,-0.22,"7,767.00","5,222,080.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,53,2025-08-12,680.00,688.00,669.80,670.32,-1.90,"13,904.00","9,368,371.60"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,54,2025-08-11,702.00,714.90,680.00,683.30,-2.65,"13,638.00","9,445,518.00"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,55,2025-08-07,717.00,717.00,700.70,701.90,-0.15,"17,030.00","12,035,363.20"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,56,2025-08-06,685.00,709.50,685.00,702.98,1.05,"9,805.00","6,881,656.10"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,57,2025-08-05,680.00,708.50,680.00,695.66,1.83,"23,308.00","16,265,375.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,58,2025-08-04,678.20,700.00,678.20,683.14,-1.03,"12,029.00","8,262,503.40"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,59,2025-08-03,696.00,710.00,688.00,690.22,-2.42,"19,545.00","13,631,278.20"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,60,2025-07-31,700.00,728.20,700.00,707.35,-0.60,"21,567.00","15,417,797.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,61,2025-07-30,742.00,754.00,706.20,711.64,-4.20,"48,483.00","35,428,070.80"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,62,2025-07-29,734.00,754.80,726.00,742.82,2.53,"40,901.00","30,485,003.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,63,2025-07-28,711.00,729.80,711.00,724.48,0.21,"23,855.00","17,120,090.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,64,2025-07-27,735.00,745.90,717.10,722.96,-1.20,"30,845.00","22,612,929.70"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,65,2025-07-24,742.00,755.00,725.00,731.71,-1.43,"23,152.00","17,002,674.80"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,66,2025-07-23,750.00,764.00,730.00,742.31,-1.60,"36,706.00","27,263,589.60"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,67,2025-07-22,706.00,759.70,701.10,754.36,7.80,"72,039.00","53,571,677.30"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,68,2025-07-21,678.00,707.70,678.00,699.80,1.23,"27,540.00","19,266,820.50"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,69,2025-07-20,700.00,707.00,687.60,691.33,-0.46,"35,543.00","24,846,055.60"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,70,2025-07-17,684.20,700.00,680.00,694.53,1.51,"31,488.00","21,767,471.40"
niclbsl,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/niclbsl,71,2025-07-16,675.00,690.00,670.00,684.20,3.07,"16,979.00","11,524,067.40"
