symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,1,2025-11-20,8.32,8.47,8.32,8.35,-0.60,"9,450.00","79,027.97"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,2,2025-11-19,8.23,8.41,8.23,8.40,0.12,"2,100.00","17,445.00"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,3,2025-11-18,8.39,8.55,8.38,8.39,0.00,"22,899.00","193,278.61"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,4,2025-11-17,8.29,8.60,8.29,8.39,-0.59,"44,241.00","370,868.99"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,5,2025-11-16,8.33,8.44,8.33,8.44,-0.59,"10,250.00","86,042.00"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,6,2025-11-13,8.42,8.49,8.30,8.49,2.78,"2,400.00","20,140.00"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,7,2025-11-12,8.39,8.45,8.23,8.26,-3.50,"51,163.00","423,962.39"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,8,2025-11-11,8.52,8.60,8.52,8.56,0.47,"1,500.00","12,853.00"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,9,2025-11-10,8.52,8.52,8.52,8.52,-1.27,100.00,852.00
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,10,2025-11-09,8.62,8.79,8.62,8.63,-0.23,"8,580.00","74,076.83"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,11,2025-11-06,8.60,8.70,8.60,8.65,0.35,"3,210.00","27,831.50"
nicsf,NIC Asia Select-30,Mutual Fund,https://www.sharesansar.com/company/nicsf,12,2025-11-05,8.58,8.80,8.58,8.62,-0.92,"3,350.00","29,030.00"
