symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,1,2025-11-19,277.50,280.00,273.50,275.90,-0.58,"151,522.00","41,703,182.10"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,2,2025-11-18,269.00,280.00,269.00,277.50,3.16,"358,935.00","99,147,478.50"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,3,2025-11-17,264.50,270.90,264.50,269.00,0.86,"144,688.00","38,916,081.80"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,4,2025-11-16,264.20,270.90,263.50,266.70,0.26,"118,284.00","31,677,763.30"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,5,2025-11-13,265.00,269.00,264.10,266.00,0.38,"83,951.00","22,315,995.20"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,6,2025-11-12,267.00,272.00,265.00,265.00,-1.52,"72,264.00","19,290,886.80"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,7,2025-11-11,265.00,271.50,265.00,269.10,0.94,"117,939.00","31,665,716.50"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,8,2025-11-10,263.00,269.80,263.00,266.60,0.60,"113,063.00","30,176,358.00"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,9,2025-11-09,269.00,269.10,264.60,265.00,-1.85,"115,292.00","30,715,351.20"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,10,2025-11-06,278.00,278.00,270.00,270.00,-0.95,"128,643.00","35,106,806.50"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,11,2025-11-05,268.30,272.90,266.00,272.60,1.72,"110,635.00","29,799,380.80"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,12,2025-11-04,270.00,273.00,267.00,268.00,-1.03,"120,815.00","32,516,139.90"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,13,2025-11-03,274.00,278.50,270.00,270.80,-1.85,"151,764.00","41,389,368.90"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,14,2025-11-02,279.90,279.90,272.90,275.90,0.51,"185,152.00","50,952,368.50"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,15,2025-10-30,265.50,275.00,265.10,274.50,2.35,"170,483.00","46,304,622.40"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,16,2025-10-29,272.00,275.00,268.10,268.20,-0.63,"243,688.00","66,123,330.90"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,17,2025-10-28,263.00,271.00,263.00,269.90,3.45,"221,019.00","59,157,524.30"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,18,2025-10-26,261.00,261.00,257.30,260.90,-0.04,"48,268.00","12,522,726.60"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,19,2025-10-19,264.00,265.00,260.20,261.00,-1.29,"121,202.00","31,754,370.40"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,20,2025-10-16,263.00,266.00,260.70,264.40,0.49,"199,625.00","52,523,622.30"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,21,2025-10-15,263.00,267.00,261.00,263.10,-0.30,"109,355.00","28,903,457.40"
nifra,Nepal Infrastructure Bank Limited,Investment,https://www.sharesansar.com/company/nifra,22,2025-10-14,268.50,269.80,262.20,263.90,-1.71,"123,864.00","32,999,490.00"
