symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,1,2025-10-08,436.00,436.00,436.00,436.00,0.00,"600,000.00","138,600,000.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,2,2024-06-23,436.00,436.00,436.00,436.00,0.00,"1,000.00","436,000.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,3,2023-04-06,407.00,407.00,407.00,407.00,2.97,"1,000.00","407,000.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,4,2020-11-25,395.25,395.25,395.25,395.25,295.25,"1,070,205.00","422,998,526.25"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,5,2020-03-02,100.00,100.00,100.00,100.00,0.00,"7,749.00","774,900.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,6,2019-12-11,245.00,245.00,245.00,245.00,-22.69,"5,000.00","1,225,000.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,7,2019-08-01,316.92,316.92,316.92,316.92,-65.17,"235,255.00","74,557,016.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,8,2016-12-20,910.00,910.00,910.00,910.00,0.00,238.00,"216,580.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,9,2016-12-04,249.00,200.00,200.00,200.00,0.00,"3,990.00","798,000.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,10,2016-09-11,249.00,175.00,175.00,175.00,0.00,"26,597.00","4,654,475.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,11,2015-12-15,249.00,0.00,0.00,249.00,0.00,"209,251.00","27,202,630.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,12,2015-09-13,249.00,249.00,249.00,249.00,0.00,30.00,"7,470.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,13,2015-08-06,249.00,249.00,249.00,249.00,0.00,50.00,"12,450.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,14,2015-06-07,254.00,249.00,249.00,249.00,0.00,"15,000.00","3,735,000.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,15,2015-06-03,264.00,259.00,254.00,254.00,0.00,20.00,"5,130.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,16,2015-06-02,279.00,274.00,264.00,264.00,0.00,30.00,"8,070.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,17,2015-06-01,294.00,289.00,279.00,279.00,0.00,30.00,"8,520.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,18,2015-05-28,312.00,306.00,294.00,294.00,0.00,30.00,"9,000.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,19,2015-05-27,330.00,324.00,312.00,312.00,0.00,30.00,"9,540.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,20,2015-05-26,330.00,330.00,330.00,330.00,0.00,10.00,"3,300.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,21,2014-10-15,140.00,140.00,140.00,140.00,0.00,"225,820.00","31,614,800.00"
nilpo,Neco Insurance Company Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nilpo,22,2014-09-14,0.00,140.00,140.00,140.00,0.00,"122,408.00","17,137,120.00"
