symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,1,2025-11-19,"1,425.00","1,425.00","1,425.00","1,396.50",-2.00,1.00,"1,396.50"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,2,2025-11-10,"1,322.00","1,425.00","1,322.00","1,425.00",9.87,"104,402.00","148,755,904.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,3,2025-11-09,"1,224.00","1,297.00","1,224.00","1,297.00",8.08,310.00,"393,940.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,4,2025-11-06,"1,200.00","1,200.00","1,200.00","1,200.00",0.00,25.00,"30,000.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,5,2025-11-05,"1,200.00","1,200.00","1,200.00","1,200.00",-0.83,49.00,"58,800.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,6,2025-11-04,"1,240.00","1,242.00","1,210.00","1,210.00",-4.35,275.00,"337,855.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,7,2025-11-03,"1,241.00","1,287.00","1,241.00","1,265.00",1.93,612.00,"780,912.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,8,2025-11-02,"1,240.00","1,241.00","1,240.00","1,241.00",-1.82,"104,428.00","129,595,123.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,9,2025-10-30,"1,264.00","1,264.00","1,264.00","1,264.00",-0.06,25.00,"31,600.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,10,2025-10-26,"1,240.00","1,264.80","1,240.00","1,264.80",1.02,275.00,"347,200.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,11,2025-10-13,"1,220.00","1,283.00","1,220.00","1,252.00",3.99,898.00,"1,145,221.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,12,2025-10-09,"1,204.00","1,204.00","1,204.00","1,204.00",-1.87,67.00,"80,668.00"
nimbd90,10% NIMB Debenture 2090,Corporate Debentures,https://www.sharesansar.com/company/nimbd90,13,2025-10-08,"1,152.00","1,227.00","1,152.00","1,227.00",6.48,665.00,"797,149.50"
