symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,1,2025-11-20,676.10,691.00,675.30,683.00,-0.15,"10,532.00","7,158,577.20"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,2,2025-11-19,709.90,709.90,684.00,684.00,-1.99,"13,515.00","9,298,911.00"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,3,2025-11-18,690.00,701.90,681.00,697.90,1.59,"52,104.00","36,043,017.90"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,4,2025-11-17,680.00,689.00,674.00,687.00,0.01,"23,788.00","16,123,931.20"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,5,2025-11-16,690.00,690.00,681.00,686.90,-0.88,"11,698.00","7,998,082.00"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,6,2025-11-13,687.00,698.50,685.00,693.00,-0.57,"19,708.00","13,618,812.70"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,7,2025-11-12,705.00,705.00,694.00,697.00,-1.13,"3,940.00","2,744,778.60"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,8,2025-11-11,702.00,705.00,691.00,705.00,1.73,"12,698.00","8,834,078.70"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,9,2025-11-10,693.40,705.00,690.00,693.00,-1.53,"9,473.00","6,577,539.70"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,10,2025-11-09,710.00,717.70,695.00,703.80,-0.89,"27,177.00","18,973,441.50"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,11,2025-11-06,740.00,755.00,709.00,710.10,-2.46,"64,631.00","46,370,319.30"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,12,2025-11-05,734.10,742.00,714.00,728.00,-2.80,"39,251.00","28,456,676.20"
nlg,NLG Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nlg,13,2025-11-04,750.00,765.00,730.10,749.00,0.58,"76,170.00","56,632,701.70"
