symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,1,2025-11-19,818.90,818.90,789.00,799.00,-1.35,"65,155.00","51,883,258.50"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,2,2025-11-18,810.00,819.00,805.70,809.90,0.67,"50,992.00","41,412,215.10"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,3,2025-11-17,798.00,810.00,797.00,804.50,0.83,"34,283.00","27,579,123.10"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,4,2025-11-16,815.00,815.00,792.00,797.90,-0.39,"25,051.00","20,040,545.70"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,5,2025-11-13,782.20,810.90,782.20,801.00,0.38,"42,315.00","33,778,847.90"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,6,2025-11-12,812.00,813.90,793.80,798.00,-1.48,"72,505.00","58,152,496.20"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,7,2025-11-11,819.00,819.00,804.00,810.00,0.67,"34,304.00","27,724,580.50"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,8,2025-11-10,820.00,820.00,803.00,804.60,-0.67,"45,531.00","36,703,251.00"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,9,2025-11-09,823.00,823.00,805.00,810.00,-1.35,"45,570.00","36,914,021.80"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,10,2025-11-06,840.00,840.00,810.00,821.10,-0.95,"108,523.00","89,450,893.60"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,11,2025-11-05,807.00,831.00,802.00,829.00,2.47,"93,429.00","75,926,027.50"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,12,2025-11-04,839.80,839.80,808.00,809.00,-1.83,"69,111.00","56,339,795.30"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,13,2025-11-03,834.00,846.00,819.00,824.10,-1.32,"88,330.00","73,488,360.10"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,14,2025-11-02,798.00,840.00,790.20,835.10,6.11,"188,761.00","154,868,525.50"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,15,2025-10-30,784.90,790.00,770.10,787.00,1.29,"42,327.00","33,144,606.50"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,16,2025-10-29,783.00,795.00,775.00,777.00,-0.38,"42,782.00","33,577,245.20"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,17,2025-10-28,760.00,786.00,760.00,780.00,3.72,"37,032.00","28,747,413.30"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,18,2025-10-26,749.00,753.00,741.60,752.00,0.27,"8,813.00","6,596,334.50"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,19,2025-10-19,747.00,755.00,733.00,750.00,0.70,"14,856.00","11,093,299.10"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,20,2025-10-16,750.00,760.00,744.80,744.80,-0.44,"20,842.00","15,600,917.20"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,21,2025-10-15,748.00,755.00,742.30,748.10,0.01,"24,916.00","18,699,257.70"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,22,2025-10-14,760.00,765.00,748.00,748.00,-1.71,"24,866.00","18,740,536.20"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,23,2025-10-13,763.00,763.00,738.00,761.00,1.60,"33,282.00","24,858,408.40"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,24,2025-10-12,756.60,770.00,743.10,749.00,-2.73,"56,336.00","42,323,506.60"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,25,2025-10-09,773.40,810.90,761.00,770.00,1.54,"36,299.00","28,032,043.80"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,26,2025-10-08,770.00,770.00,747.40,758.30,-1.52,"35,956.00","27,126,127.30"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,27,2025-10-07,775.00,780.00,764.00,770.00,-1.18,"24,049.00","18,502,174.00"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,28,2025-09-28,772.00,785.00,771.20,779.20,1.18,"14,901.00","11,617,438.00"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,29,2025-09-25,769.00,772.20,760.00,770.10,0.14,"20,218.00","15,525,025.00"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,30,2025-09-24,773.00,778.00,766.80,769.00,-1.16,"21,109.00","16,292,332.70"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,31,2025-09-23,752.00,785.00,752.00,778.00,2.44,"31,419.00","24,375,406.10"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,32,2025-09-21,710.00,762.00,705.00,759.45,6.96,"69,030.00","51,159,976.00"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,33,2025-09-18,753.80,755.00,702.00,710.00,-7.69,"6,199.00","4,539,146.10"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,34,2025-09-08,770.00,773.80,768.00,769.14,-0.44,"29,144.00","22,431,647.10"
nlic,Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlic,35,2025-09-07,773.00,785.00,770.00,772.56,-0.06,"25,042.00","19,394,227.60"
