symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,1,2025-11-19,613.90,613.90,597.60,601.90,-0.50,"4,978.00","2,984,228.20"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,2,2025-11-18,602.00,610.00,602.00,604.90,0.50,"16,637.00","10,081,912.50"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,3,2025-11-17,595.00,603.00,590.10,601.90,0.99,"8,730.00","5,227,894.40"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,4,2025-11-16,600.00,600.00,595.00,596.00,0.08,"6,789.00","4,057,045.30"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,5,2025-11-13,608.80,609.00,594.00,595.50,-1.24,"14,606.00","8,737,052.10"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,6,2025-11-12,619.00,619.00,592.70,603.00,-1.63,"37,520.00","22,416,411.90"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,7,2025-11-11,598.60,613.00,598.60,613.00,0.49,"5,319.00","3,227,827.70"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,8,2025-11-10,597.00,615.00,597.00,610.00,1.67,"20,673.00","12,542,940.30"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,9,2025-11-09,610.00,612.00,600.00,600.00,-0.70,"12,985.00","7,814,911.80"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,10,2025-11-06,614.20,622.00,603.60,604.20,-1.90,"26,577.00","16,150,902.10"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,11,2025-11-05,609.00,618.90,606.70,615.90,0.11,"10,679.00","6,531,926.40"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,12,2025-11-04,625.00,625.00,615.00,615.20,-2.04,"13,667.00","8,449,826.80"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,13,2025-11-03,638.60,640.00,621.60,628.00,-1.41,"32,964.00","20,810,241.70"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,14,2025-11-02,620.80,639.00,609.00,637.00,4.10,"77,326.00","48,152,964.40"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,15,2025-10-30,591.00,622.00,591.00,611.90,2.00,"14,664.00","8,903,685.30"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,16,2025-10-29,604.00,617.00,591.50,599.90,-0.84,"13,296.00","7,984,422.50"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,17,2025-10-28,600.00,611.70,591.00,605.00,2.54,"15,517.00","9,294,766.10"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,18,2025-10-26,575.00,590.00,571.10,590.00,1.76,"2,336.00","1,348,323.20"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,19,2025-10-19,578.00,580.00,575.00,579.80,0.31,"3,228.00","1,859,139.50"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,20,2025-10-16,591.00,591.00,571.10,578.00,-0.34,"12,000.00","6,891,731.40"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,21,2025-10-15,580.00,582.00,575.00,580.00,0.00,"10,036.00","5,806,090.70"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,22,2025-10-14,583.00,584.70,573.00,580.00,-0.51,"12,191.00","7,046,663.50"
nlicl,National Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/nlicl,23,2025-10-13,584.00,586.00,555.00,583.00,1.80,"29,917.00","17,299,185.50"
