symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,1,2025-04-13,343.00,343.00,343.00,343.00,0.00,"320,932.00","110,079,676.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,2,2025-02-10,293.50,293.50,293.50,293.50,0.00,"16,187.00","3,653,405.90"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,3,2024-11-28,293.50,293.50,293.50,293.50,0.00,"15,945.00","2,999,892.30"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,4,2022-11-22,293.50,293.50,293.50,293.50,-1.97,"18,257.00","5,358,429.50"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,5,2022-11-17,299.40,299.40,299.40,299.40,-2.00,"13,693.00","4,099,684.20"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,6,2022-11-16,311.70,311.70,305.50,305.50,1.83,"13,693.00","4,225,656.70"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,7,2022-09-14,300.00,300.00,300.00,300.00,0.00,"6,162.00","616,200.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,8,2022-03-07,591.00,591.00,591.00,591.00,0.00,"32,430.00","14,199,873.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,9,2022-03-02,591.00,591.00,591.00,591.00,0.00,"47,942.00","19,308,445.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,10,2022-02-24,591.00,591.00,591.00,591.00,0.00,"5,647.00","3,337,377.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,11,2021-09-21,636.00,636.00,636.00,636.00,0.00,"5,500.00","3,498,000.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,12,2021-07-25,636.00,636.00,636.00,636.00,0.00,"2,680.00","1,539,960.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,13,2021-06-20,636.00,636.00,636.00,636.00,0.00,"78,426.00","36,851,329.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,14,2021-04-19,636.00,636.00,636.00,636.00,0.00,"10,000.00","6,360,000.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,15,2020-10-14,418.00,418.00,418.00,418.00,0.00,814.00,"340,252.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,16,2020-10-01,418.00,418.00,418.00,418.00,0.00,"10,000.00","4,180,000.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,17,2020-07-06,323.00,323.00,323.00,323.00,-69.81,"8,500.00","2,745,500.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,18,2019-03-14,"1,070.00","1,070.00","1,070.00","1,070.00",167.50,"196,262.00","210,000,336.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,19,2018-10-25,400.00,400.00,400.00,400.00,0.00,"1,200.00","480,000.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,20,2018-06-26,700.00,700.00,700.00,700.00,1.45,"1,560.00","1,092,000.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,21,2018-06-24,690.00,690.00,690.00,690.00,-0.72,"30,000.00","20,700,000.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,22,2018-06-17,695.00,695.00,695.00,695.00,0.00,306.00,"212,670.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,23,2018-03-05,715.00,715.00,715.00,715.00,0.00,218.00,"155,870.00"
nliclp,National Life Insurance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/nliclp,24,2017-10-18,"1,172.00","1,175.00","1,175.00","1,175.00",0.00,"37,500.00","44,062,500.00"
