symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,1,2025-11-16,244.33,244.33,244.33,244.33,0.00,8.00,"1,948.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,2,2025-07-06,293.20,293.20,293.20,293.20,1.81,10.00,"2,932.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,3,2025-06-24,288.00,288.00,288.00,288.00,1.98,10.00,"2,880.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,4,2025-05-25,282.40,282.40,282.40,282.40,0.00,1.00,277.90
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,5,2025-04-22,282.40,282.40,282.40,282.40,1.99,32.00,"9,036.80"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,6,2025-03-20,276.90,276.90,276.90,276.90,0.00,1.00,277.30
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,7,2025-03-16,276.90,276.90,276.90,276.90,0.00,2.00,545.40
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,8,2025-02-25,256.80,276.90,256.80,276.90,9.97,60.00,"16,120.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,9,2025-02-06,251.80,251.80,251.80,251.80,0.00,10.00,"2,562.30"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,10,2025-01-02,251.80,251.80,251.80,251.80,0.00,3.00,769.50
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,11,2024-12-31,251.80,251.80,251.80,251.80,1.98,10.00,"2,518.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,12,2024-12-22,246.90,246.90,246.90,246.90,1.98,10.00,"2,469.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,13,2024-12-17,242.10,242.10,242.10,242.10,0.00,3.00,732.60
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,14,2024-11-25,242.10,242.10,242.10,242.10,0.00,10.00,"2,421.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,15,2024-11-19,242.10,242.10,242.10,242.10,0.00,36.00,"8,686.80"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,16,2024-10-23,242.10,242.10,242.10,242.10,0.00,3.00,719.00
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,17,2024-10-20,242.10,242.10,242.10,242.10,1.97,19.00,"4,556.70"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,18,2024-10-01,237.42,237.42,237.42,237.42,0.00,1.00,242.00
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,19,2024-09-10,284.90,284.90,284.90,284.90,1.97,117.00,"33,333.30"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,20,2024-09-08,279.40,279.40,279.40,279.40,1.97,10.00,"2,794.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,21,2024-09-04,274.00,274.00,274.00,274.00,1.97,10.00,"2,740.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,22,2024-07-28,268.70,268.70,268.70,268.70,1.97,10.00,"2,687.00"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,23,2024-07-18,258.40,263.50,258.40,263.50,3.99,172.00,"45,260.80"
nlo,Nepal Lube Oil Limited,Manufacturing and Processing,https://www.sharesansar.com/company/nlo,24,2024-03-26,253.40,253.40,253.40,253.40,0.00,45.00,"11,359.60"
