symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,1,2025-11-19,"1,260.10","1,310.00","1,260.10","1,289.00",0.31,"11,046.00","14,145,025.00"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,2,2025-11-18,"1,275.00","1,300.00","1,256.00","1,285.00",0.78,741.00,"942,012.20"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,3,2025-11-17,"1,274.00","1,275.00","1,265.00","1,275.00",0.08,"3,322.00","4,224,047.20"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,4,2025-11-16,"1,289.00","1,289.00","1,264.00","1,274.00",0.31,"2,676.00","3,389,826.50"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,5,2025-11-13,"1,275.00","1,300.00","1,251.00","1,270.00",1.52,"22,470.00","29,153,990.50"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,6,2025-11-12,"1,232.00","1,270.00","1,232.00","1,251.00",0.00,"2,580.00","3,226,722.00"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,7,2025-11-11,"1,265.00","1,265.00","1,240.00","1,251.00",-0.85,813.00,"1,020,862.00"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,8,2025-11-10,"1,279.90","1,283.00","1,237.00","1,261.70",0.29,"21,358.00","27,361,641.40"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,9,2025-11-09,"1,260.00","1,270.00","1,258.00","1,258.00",-0.16,"1,171.00","1,476,700.00"
nmfbs,National Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmfbs,10,2025-11-06,"1,270.00","1,270.00","1,253.00","1,260.00",-0.21,"2,100.00","2,649,113.00"
