symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,1,2025-11-10,675.00,675.00,675.00,675.00,0.00,"12,754.00","8,608,950.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,2,2025-11-06,675.00,675.00,675.00,675.00,0.00,"5,000.00","3,375,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,3,2025-10-29,675.00,675.00,675.00,675.00,0.00,"4,306.00","2,906,550.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,4,2025-08-07,675.00,675.00,675.00,675.00,0.00,"3,500.00","2,362,500.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,5,2025-07-13,675.00,675.00,675.00,675.00,0.00,"1,000.00","675,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,6,2025-06-16,675.00,675.00,675.00,675.00,0.00,"3,000.00","2,025,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,7,2025-06-08,675.00,675.00,675.00,675.00,0.00,"10,000.00","6,750,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,8,2025-05-27,675.00,675.00,675.00,675.00,0.00,"1,749.00","1,180,575.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,9,2025-05-25,675.00,675.00,675.00,675.00,0.00,"15,000.00","10,125,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,10,2025-05-19,675.00,675.00,675.00,675.00,0.00,"4,079.00","2,753,325.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,11,2025-04-23,675.00,675.00,675.00,675.00,0.00,"5,000.00","3,375,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,12,2024-11-26,755.00,755.00,755.00,755.00,0.00,"1,000.00","755,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,13,2024-11-25,755.00,755.00,755.00,755.00,0.00,"5,580.00","4,212,900.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,14,2024-11-24,755.00,755.00,755.00,755.00,-1.95,"13,316.00","10,053,580.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,15,2024-11-21,770.00,770.00,770.00,770.00,0.00,"5,000.00","3,850,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,16,2024-11-14,770.00,770.00,770.00,770.00,0.00,"15,000.00","11,550,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,17,2024-11-11,785.00,785.00,770.00,770.00,-1.91,"18,000.00","14,100,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,18,2024-10-22,785.00,785.00,785.00,785.00,5.37,"10,000.00","7,850,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,19,2024-07-22,745.00,745.00,745.00,745.00,0.00,"2,312.00","1,722,440.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,20,2024-07-11,745.00,745.00,745.00,745.00,0.00,"5,000.00","3,725,000.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,21,2024-01-30,631.00,631.00,631.00,631.00,0.00,"7,300.00","4,606,300.00"
nmfbsp,National Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,https://www.sharesansar.com/company/nmfbsp,22,2023-01-25,"1,115.00","1,115.00","1,115.00","1,115.00",0.00,"2,534.00","2,825,410.00"
