symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,1,2025-11-20,"1,285.00","1,325.00","1,241.00","1,280.00",1.58,"10,869.00","14,018,575.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,2,2025-11-19,"1,280.10","1,295.00","1,260.10","1,260.10",-2.99,"5,276.00","6,732,145.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,3,2025-11-18,"1,280.00","1,300.00","1,280.00","1,299.00",0.15,"6,023.00","7,765,738.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,4,2025-11-17,"1,315.00","1,315.00","1,265.00","1,297.00",-3.21,"4,899.00","6,284,946.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,5,2025-11-16,"1,289.00","1,367.00","1,240.10","1,340.00",6.01,"6,039.00","7,651,514.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,6,2025-11-13,"1,354.00","1,354.00","1,260.00","1,264.00",-4.82,"6,216.00","7,921,065.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,7,2025-11-12,"1,270.00","1,328.00","1,244.70","1,328.00",3.75,"6,900.00","8,704,144.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,8,2025-11-11,"1,270.60","1,321.00","1,270.60","1,280.00",-1.27,"2,257.00","2,901,499.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,9,2025-11-10,"1,329.50","1,347.00","1,285.10","1,296.50",-4.43,"6,585.00","8,543,737.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,10,2025-11-09,"1,313.00","1,356.60","1,275.00","1,356.60",1.47,"13,620.00","17,665,478.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,11,2025-11-06,"1,335.00","1,369.70","1,325.00","1,337.00",-1.33,"5,358.00","7,163,209.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,12,2025-11-05,"1,360.00","1,361.70","1,335.10","1,355.00",1.50,"4,865.00","6,549,399.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,13,2025-11-04,"1,390.00","1,476.00","1,327.10","1,335.00",-2.13,"11,461.00","15,670,188.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,14,2025-11-03,"1,405.00","1,418.90","1,345.00","1,364.00",-2.92,"16,840.00","23,118,816.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,15,2025-11-02,"1,428.90","1,438.00","1,373.00","1,405.00",-3.64,"57,947.00","81,549,962.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,16,2025-10-30,"1,370.00","1,458.00","1,326.50","1,458.00",8.16,"24,969.00","33,694,040.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,17,2025-10-29,"1,380.00","1,416.70","1,340.00","1,348.00",-1.82,"13,066.00","18,019,252.40"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,18,2025-10-28,"1,340.00","1,386.90","1,291.00","1,373.00",4.33,"18,567.00","25,057,746.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,19,2025-10-26,"1,298.50","1,347.00","1,254.40","1,316.00",-0.68,"6,094.00","7,865,896.60"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,20,2025-10-19,"1,403.40","1,403.40","1,310.00","1,325.00",-3.70,"13,678.00","18,088,282.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,21,2025-10-16,"1,327.90","1,375.90","1,250.00","1,375.90",1.54,"21,789.00","28,328,987.60"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,22,2025-10-15,"1,353.00","1,379.00","1,301.00","1,355.00",0.07,"32,940.00","44,379,875.60"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,23,2025-10-14,"1,300.50","1,377.00","1,300.50","1,354.00",4.14,"34,826.00","46,767,984.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,24,2025-10-13,"1,200.00","1,300.20","1,158.10","1,300.20",10.00,"41,237.00","51,679,359.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,25,2025-10-12,"1,130.00","1,182.00","1,080.10","1,182.00",6.01,"75,415.00","83,809,467.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,26,2025-10-09,"1,122.00","1,165.00","1,113.40","1,115.00",1.36,"10,618.00","12,004,571.40"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,27,2025-10-08,"1,108.00","1,130.00","1,080.00","1,100.00",-2.65,"7,672.00","8,462,461.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,28,2025-10-07,"1,145.00","1,188.00","1,125.00","1,130.00",-1.31,"10,754.00","12,304,220.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,29,2025-09-28,"1,165.00","1,168.00","1,130.10","1,145.00",-0.09,"3,322.00","3,802,230.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,30,2025-09-25,"1,141.10","1,155.00","1,141.10","1,146.00",-1.12,"6,054.00","6,945,147.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,31,2025-09-24,"1,199.00","1,199.00","1,150.00","1,159.00",-2.71,"7,365.00","8,545,686.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,32,2025-09-23,"1,131.00","1,191.30","1,109.00","1,191.30",5.33,"10,937.00","12,676,454.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,33,2025-09-21,"1,058.40","1,140.00","1,036.00","1,131.00",4.72,"16,809.00","18,534,522.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,34,2025-09-18,"1,180.10","1,180.10","1,080.00","1,080.00",-10.00,"2,716.00","2,996,134.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,35,2025-09-08,"1,235.00","1,240.00","1,190.00","1,199.97",-4.44,"29,023.00","35,050,564.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,36,2025-09-07,"1,285.00","1,285.00","1,250.00","1,255.73",-2.37,"8,870.00","11,195,900.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,37,2025-09-04,"1,286.10","1,300.00","1,277.00","1,286.27",-1.12,"8,463.00","10,893,475.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,38,2025-09-03,"1,335.10","1,350.00","1,290.20","1,300.85",-2.95,"12,664.00","16,663,860.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,39,2025-09-02,"1,355.00","1,365.00","1,339.00","1,340.42",-1.14,"5,278.00","7,098,350.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,40,2025-09-01,"1,350.00","1,380.00","1,340.00","1,355.93",-0.48,"7,116.00","9,623,360.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,41,2025-08-31,"1,410.00","1,410.00","1,360.00","1,362.46",-2.95,"12,836.00","17,568,161.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,42,2025-08-28,"1,422.00","1,460.60","1,400.00","1,403.88",-3.24,"13,440.00","19,193,678.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,43,2025-08-27,"1,351.00","1,460.00","1,351.00","1,450.85",5.53,"19,628.00","28,057,058.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,44,2025-08-26,"1,355.00","1,379.90","1,352.00","1,374.83",-0.44,"11,015.00","15,004,672.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,45,2025-08-25,"1,390.00","1,390.00","1,338.40","1,380.89",1.22,"12,715.00","17,259,058.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,46,2025-08-24,"1,396.00","1,420.00","1,350.00","1,364.30",-2.29,"14,832.00","20,293,320.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,47,2025-08-21,"1,400.00","1,430.00","1,382.00","1,396.26",-1.73,"14,599.00","20,458,373.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,48,2025-08-20,"1,436.00","1,450.00","1,416.20","1,420.90",-1.47,"7,580.00","10,863,492.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,49,2025-08-19,"1,445.00","1,465.00","1,435.00","1,442.17",-0.06,"8,594.00","12,417,545.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,50,2025-08-18,"1,480.00","1,482.00","1,439.70","1,443.05",-2.53,"10,713.00","15,629,307.40"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,51,2025-08-17,"1,512.00","1,519.00","1,476.00","1,480.45",-2.25,"12,339.00","18,428,288.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,52,2025-08-14,"1,514.60","1,555.00","1,507.10","1,514.59",-2.00,"9,882.00","15,046,818.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,53,2025-08-13,"1,520.00","1,560.00","1,520.00","1,545.47",0.99,"13,868.00","21,226,197.60"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,54,2025-08-12,"1,540.10","1,555.00","1,525.00","1,530.28",-0.90,"7,915.00","12,141,367.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,55,2025-08-11,"1,545.00","1,570.00","1,540.50","1,544.21",-1.24,"8,007.00","12,435,294.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,56,2025-08-07,"1,555.00","1,589.90","1,550.00","1,563.64",0.09,"6,140.00","9,614,199.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,57,2025-08-06,"1,542.00","1,581.00","1,541.60","1,562.28",0.04,"8,557.00","13,373,798.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,58,2025-08-05,"1,558.10","1,589.00","1,555.00","1,561.61",-1.60,"13,463.00","21,073,329.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,59,2025-08-04,"1,600.00","1,625.00","1,565.00","1,586.95",-0.40,"10,841.00","17,133,138.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,60,2025-08-03,"1,625.00","1,639.00","1,590.00","1,593.31",-3.38,"16,154.00","25,942,779.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,61,2025-07-31,"1,660.00","1,669.00","1,640.00","1,649.06",-1.29,"13,709.00","22,667,228.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,62,2025-07-30,"1,705.00","1,720.00","1,651.00","1,670.64",-1.78,"14,102.00","23,739,621.40"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,63,2025-07-29,"1,687.00","1,724.60","1,656.00","1,700.91",0.81,"21,645.00","36,916,363.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,64,2025-07-28,"1,706.90","1,707.00","1,670.10","1,687.28",-0.54,"15,451.00","26,020,671.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,65,2025-07-27,"1,708.00","1,744.00","1,688.00","1,696.39",-1.30,"25,569.00","43,910,187.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,66,2025-07-24,"1,711.10","1,744.00","1,711.00","1,718.72",-0.96,"22,432.00","38,674,997.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,67,2025-07-23,"1,725.10","1,745.00","1,725.10","1,735.45",-1.15,"16,219.00","28,157,634.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,68,2025-07-22,"1,732.00","1,762.00","1,723.00","1,755.71",-0.19,"19,093.00","33,255,671.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,69,2025-07-21,"1,730.00","1,770.00","1,682.10","1,759.08",1.52,"36,273.00","62,920,133.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,70,2025-07-20,"1,605.00","1,750.00","1,601.00","1,732.81",7.43,"55,287.00","94,039,235.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,71,2025-07-17,"1,545.00","1,624.00","1,545.00","1,612.91",3.43,"20,790.00","33,203,335.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,72,2025-07-16,"1,542.10","1,575.00","1,542.10","1,559.40",0.45,"15,166.00","23,683,016.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,73,2025-07-15,"1,546.00","1,560.00","1,525.10","1,552.39",0.49,"13,423.00","20,637,156.40"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,74,2025-07-14,"1,570.00","1,570.00","1,543.00","1,544.88",-1.11,"10,437.00","16,182,372.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,75,2025-07-13,"1,597.90","1,611.00","1,555.00","1,562.20",-0.28,"12,136.00","19,026,327.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,76,2025-07-10,"1,575.00","1,590.00","1,561.10","1,566.66",-0.72,"12,347.00","19,397,320.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,77,2025-07-09,"1,582.00","1,590.00","1,570.00","1,577.98",-0.27,"12,345.00","19,482,366.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,78,2025-07-08,"1,571.50","1,601.00","1,571.50","1,582.28",-0.26,"6,222.00","9,890,946.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,79,2025-07-07,"1,600.00","1,630.00","1,578.10","1,586.46",0.82,"18,218.00","29,217,877.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,80,2025-07-06,"1,570.00","1,625.00","1,570.00","1,573.58",-0.73,"14,120.00","22,509,141.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,81,2025-07-03,"1,560.00","1,620.00","1,560.00","1,585.18",0.34,"17,321.00","27,655,561.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,82,2025-07-02,"1,585.00","1,620.00","1,572.90","1,579.88",-0.59,"12,221.00","19,456,123.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,83,2025-07-01,"1,613.00","1,634.00","1,585.00","1,589.27",-1.49,"11,319.00","18,125,037.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,84,2025-06-30,"1,510.00","1,649.90","1,510.00","1,613.24",4.77,"25,055.00","39,895,851.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,85,2025-06-29,"1,593.60","1,593.60","1,535.00","1,539.80",-1.45,"12,591.00","19,520,906.60"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,86,2025-06-26,"1,600.00","1,621.00","1,545.50","1,562.40",-2.33,"15,548.00","24,482,280.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,87,2025-06-25,"1,570.00","1,646.00","1,561.30","1,599.75",2.13,"25,556.00","41,222,425.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,88,2025-06-24,"1,580.00","1,614.00","1,560.00","1,566.31",-1.38,"13,256.00","21,018,535.60"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,89,2025-06-23,"1,607.00","1,669.00","1,576.00","1,588.29",-1.35,"15,124.00","24,180,286.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,90,2025-06-22,"1,580.00","1,640.00","1,565.00","1,610.02",1.70,"35,602.00","57,493,418.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,91,2025-06-19,"1,630.10","1,664.00","1,578.00","1,583.13",-4.13,"19,737.00","31,656,926.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,92,2025-06-18,"1,650.00","1,703.40","1,636.00","1,651.26",0.06,"16,159.00","26,832,291.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,93,2025-06-17,"1,680.00","1,700.00","1,646.70","1,650.29",-1.81,"14,120.00","23,442,685.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,94,2025-06-16,"1,756.00","1,756.00","1,680.00","1,680.71",-2.39,"13,065.00","22,190,594.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,95,2025-06-15,"1,650.10","1,800.00","1,650.10","1,721.91",2.69,"32,045.00","56,088,741.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,96,2025-06-12,"1,777.00","1,795.50","1,656.30","1,676.88",-5.58,"29,692.00","50,961,454.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,97,2025-06-11,"1,830.00","1,830.00","1,725.00","1,776.05",-1.03,"37,091.00","65,774,292.70"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,98,2025-06-10,"1,680.00","1,820.00","1,680.00","1,794.47",4.83,"35,039.00","62,835,627.80"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,99,2025-06-09,"1,595.00","1,720.00","1,536.00","1,711.76",7.27,"46,686.00","76,547,474.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,100,2025-06-08,"1,755.00","1,755.00","1,592.80","1,595.79",-9.83,"57,804.00","95,728,132.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,101,2025-06-05,"1,820.10","1,831.00","1,766.30","1,769.73",-2.91,"27,046.00","48,452,119.90"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,102,2025-06-04,"1,801.00","1,835.00","1,801.00","1,822.85",0.80,"23,969.00","43,655,099.40"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,103,2025-06-03,"1,823.00","1,890.00","1,800.00","1,808.45",-0.82,"29,581.00","54,539,213.40"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,104,2025-06-02,"1,822.00","1,854.00","1,766.00","1,823.42",0.06,"67,547.00","122,350,614.60"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,105,2025-05-28,"1,900.00","1,900.00","1,805.00","1,822.27",-4.08,"34,583.00","63,717,963.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,106,2025-05-27,"1,920.00","1,940.00","1,896.70","1,899.79",-2.69,"22,118.00","42,404,383.60"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,107,2025-05-26,"2,032.50","2,073.00","1,936.50","1,952.32",-2.03,"20,489.00","40,318,242.10"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,108,2025-05-25,"1,985.00","2,023.00","1,933.60","1,992.70",0.21,"35,397.00","70,140,995.30"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,109,2025-05-22,"1,890.00","2,055.00","1,872.00","1,988.55",3.91,"74,610.00","147,968,103.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,110,2025-05-21,"2,000.00","2,040.00","1,907.00","1,913.70",-2.64,"27,915.00","54,128,686.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,111,2025-05-20,"1,956.00","1,990.00","1,891.00","1,965.58",0.51,"45,780.00","88,140,469.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,112,2025-05-19,"2,020.00","2,060.00","1,939.00","1,955.69",-3.43,"59,401.00","117,971,125.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,113,2025-05-18,"2,146.30","2,180.00","2,018.00","2,025.07",-7.53,"51,818.00","107,261,698.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,114,2025-05-15,"2,050.00","2,255.00","1,960.00","2,190.06",5.24,"59,233.00","125,400,472.50"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,115,2025-05-14,"2,305.00","2,310.00","2,080.10","2,081.02",-9.71,"145,890.00","310,363,492.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,116,2025-05-13,"2,506.70","2,703.30","2,274.00","2,304.70",-6.22,"217,680.00","512,531,348.20"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,117,2025-05-11,"2,278.80","2,457.60","2,278.80","2,457.60",10.00,"29,180.00","71,697,241.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,118,2025-05-08,"2,071.70","2,234.20","2,071.70","2,234.20",10.00,"15,950.00","35,623,382.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,119,2025-05-07,"1,883.40","2,031.10","1,883.40","2,031.10",10.00,"4,840.00","9,823,949.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,120,2025-05-06,"1,712.00","1,846.50","1,712.00","1,846.50",10.00,"1,540.00","2,840,310.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,121,2025-05-05,"1,556.60","1,678.70","1,556.60","1,678.70",10.00,"1,500.00","2,510,172.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,122,2025-05-04,"1,387.60","1,526.10","1,387.60","1,526.10",10.00,"1,410.00","2,147,703.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,123,2025-04-30,"1,238.50","1,387.40","1,238.50","1,387.40",10.00,810.00,"1,118,666.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,124,2025-04-29,"1,169.60","1,261.30","1,169.60","1,261.30",9.99,840.00,"1,057,242.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,125,2025-04-28,"1,042.00","1,146.70","1,042.00","1,146.70",10.00,850.00,"971,581.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,126,2025-04-27,966.70,"1,042.50",966.70,"1,042.50",9.99,940.00,"978,092.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,127,2025-04-24,878.90,947.80,878.90,947.80,9.99,530.00,"500,643.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,128,2025-04-23,799.00,861.70,799.00,861.70,9.99,650.00,"558,564.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,129,2025-04-22,712.20,783.40,712.20,783.40,10.00,590.00,"459,384.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,130,2025-04-21,660.40,712.20,660.40,712.20,9.99,530.00,"376,195.00"
nmic,Nepal Micro Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/nmic,131,2025-04-20,600.40,647.50,600.40,647.50,9.99,440.00,"283,744.00"
