symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,1,2025-11-19,641.90,641.90,626.20,627.10,-0.65,"3,526.00","2,216,956.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,2,2025-11-18,637.00,637.00,630.00,631.20,0.99,"4,476.00","2,829,579.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,3,2025-11-17,639.90,639.90,621.00,625.00,-0.48,"7,595.00","4,754,557.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,4,2025-11-16,640.00,640.00,626.30,628.00,0.00,"2,807.00","1,782,681.80"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,5,2025-11-13,627.00,635.00,627.00,628.00,-0.63,"1,891.00","1,188,088.60"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,6,2025-11-12,645.90,645.90,625.60,632.00,-0.32,"14,899.00","9,537,968.40"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,7,2025-11-11,641.40,641.40,624.00,634.00,0.81,"18,935.00","12,050,699.60"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,8,2025-11-10,638.00,638.00,624.00,628.90,0.54,"11,649.00","7,292,649.70"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,9,2025-11-09,630.00,631.00,614.00,625.50,-1.01,"7,540.00","4,698,205.10"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,10,2025-11-06,652.80,665.00,631.00,631.90,-1.27,"3,589.00","2,290,210.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,11,2025-11-05,628.00,652.00,628.00,640.00,0.00,"3,802.00","2,419,447.50"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,12,2025-11-04,641.00,663.00,640.00,640.00,-2.14,"14,015.00","9,028,254.50"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,13,2025-11-03,662.00,668.50,651.00,654.00,0.15,"17,519.00","11,522,155.30"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,14,2025-11-02,640.00,665.00,638.00,653.00,2.03,"18,742.00","12,237,937.80"
