symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,1,2025-11-19,732.80,737.00,732.80,736.00,-0.31,"7,820.00","5,754,317.00"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,2,2025-11-18,740.00,749.00,737.00,738.30,0.18,"9,359.00","6,926,385.60"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,3,2025-11-17,748.80,760.00,733.00,737.00,0.29,"3,375.00","2,502,194.60"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,4,2025-11-16,722.00,744.00,722.00,734.90,1.37,"13,629.00","10,002,535.70"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,5,2025-11-13,725.00,735.00,724.00,725.00,0.14,"6,416.00","4,663,288.70"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,6,2025-11-12,745.00,745.00,724.00,724.00,-0.97,"8,832.00","6,416,951.50"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,7,2025-11-11,735.00,740.00,728.10,731.10,-1.07,"4,583.00","3,365,304.50"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,8,2025-11-10,735.10,750.00,728.10,739.00,0.39,"3,510.00","2,577,748.10"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,9,2025-11-09,750.00,750.00,735.10,736.10,-1.85,"10,274.00","7,577,101.30"
nubl,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nubl,10,2025-11-06,750.00,759.90,745.00,750.00,0.00,"4,454.00","3,351,971.20"
