symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,1,2025-11-20,783.00,840.00,783.00,830.20,5.09,"7,178.00","5,867,638.30"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,2,2025-11-19,800.00,808.00,785.00,790.00,-0.25,"1,591.00","1,259,448.60"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,3,2025-11-18,780.00,795.60,780.00,792.00,1.54,761.00,"603,369.20"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,4,2025-11-17,769.00,790.00,762.30,780.00,0.65,745.00,"578,929.30"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,5,2025-11-16,769.00,775.00,755.00,775.00,-0.54,833.00,"639,666.50"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,6,2025-11-13,777.00,788.00,777.00,779.20,-1.12,710.00,"552,577.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,7,2025-11-12,782.00,788.00,781.00,788.00,-0.88,"1,555.00","1,215,900.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,8,2025-11-11,766.50,795.00,766.50,795.00,1.79,242.00,"189,351.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,9,2025-11-10,782.00,782.00,780.00,781.00,-1.14,990.00,"772,497.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,10,2025-11-09,785.10,798.10,785.00,790.00,-1.37,"1,492.00","1,174,633.60"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,11,2025-11-06,790.50,806.00,790.50,801.00,-0.37,938.00,"747,213.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,12,2025-11-05,795.00,804.00,790.40,804.00,-0.85,"1,478.00","1,175,607.60"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,13,2025-11-04,805.00,810.90,795.00,810.90,-0.14,"1,582.00","1,271,030.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,14,2025-11-03,796.30,813.00,796.30,812.00,0.19,482.00,"387,812.60"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,15,2025-11-02,812.00,825.00,796.10,810.50,1.34,"1,731.00","1,406,663.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,16,2025-10-30,777.70,800.00,777.70,799.80,1.24,"1,646.00","1,304,331.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,17,2025-10-29,815.00,815.00,776.50,790.00,-1.25,"1,302.00","1,041,635.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,18,2025-10-28,755.40,805.00,755.00,800.00,4.44,"1,970.00","1,555,202.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,19,2025-10-26,740.20,766.20,740.20,766.00,1.97,"1,154.00","877,762.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,20,2025-10-19,750.00,779.00,750.00,751.20,0.52,775.00,"590,852.50"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,21,2025-10-16,775.20,790.70,745.00,747.30,-1.67,"2,026.00","1,537,577.50"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,22,2025-10-15,785.00,796.00,759.50,760.00,-3.18,900.00,"696,382.90"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,23,2025-10-14,810.00,810.00,779.60,785.00,-1.88,"1,458.00","1,143,158.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,24,2025-10-13,761.10,804.50,761.00,800.00,3.23,932.00,"730,244.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,25,2025-10-12,806.10,806.10,775.00,775.00,-4.91,"2,497.00","1,972,069.70"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,26,2025-10-09,825.60,855.00,805.00,815.00,0.68,"2,333.00","1,925,817.40"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,27,2025-10-08,818.50,818.50,790.00,809.50,-3.05,"1,512.00","1,209,794.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,28,2025-10-07,855.00,855.00,821.20,835.00,-2.57,"2,233.00","1,841,490.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,29,2025-09-28,842.00,857.00,829.50,857.00,2.02,"1,046.00","877,685.50"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,30,2025-09-25,836.00,848.00,836.00,840.00,-1.16,724.00,"608,545.00"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,31,2025-09-24,877.90,877.90,828.00,849.90,-1.29,"1,414.00","1,197,385.10"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,32,2025-09-23,800.00,861.00,800.00,861.00,6.13,"1,720.00","1,444,587.80"
nwcl,Nepal Warehousing Company Limited,Others,https://www.sharesansar.com/company/nwcl,33,2025-09-21,755.00,824.00,753.00,811.27,5.58,"6,014.00","4,743,460.50"
