symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,1,2025-11-19,684.10,709.50,671.00,689.00,-1.29,"5,010.00","3,437,666.80"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,2,2025-11-18,690.00,717.80,677.00,698.00,-0.85,"12,334.00","8,468,968.90"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,3,2025-11-17,691.90,733.00,678.10,704.00,-0.28,"7,464.00","5,115,955.90"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,4,2025-11-16,684.80,711.90,676.20,706.00,1.04,"8,018.00","5,498,439.30"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,5,2025-11-13,705.00,714.00,678.00,698.70,-0.89,"8,942.00","6,144,737.80"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,6,2025-11-12,701.30,715.30,690.00,705.00,-1.48,"5,364.00","3,740,898.00"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,7,2025-11-11,693.70,736.00,693.10,715.60,1.10,"8,862.00","6,317,195.40"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,8,2025-11-10,689.00,729.00,689.00,707.80,0.68,"5,169.00","3,636,407.80"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,9,2025-11-09,696.00,717.00,689.90,703.00,-0.13,"14,739.00","10,225,503.20"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,10,2025-11-06,710.00,720.40,703.90,703.90,-1.83,"6,390.00","4,532,885.60"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,11,2025-11-05,718.00,720.00,692.00,717.00,-0.07,"4,340.00","3,051,500.00"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,12,2025-11-04,710.10,730.00,706.00,717.50,-0.90,"8,983.00","6,447,004.00"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,13,2025-11-03,720.00,731.90,700.00,724.00,2.27,"10,281.00","7,398,401.20"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,14,2025-11-02,696.10,719.80,696.00,707.90,-0.27,"9,114.00","6,445,124.20"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,15,2025-10-30,700.00,709.90,686.10,709.80,2.45,"5,571.00","3,892,108.90"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,16,2025-10-29,700.00,710.00,686.20,692.80,-2.26,"8,902.00","6,198,166.20"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,17,2025-10-28,662.00,735.00,662.00,708.80,5.79,"11,685.00","8,167,951.70"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,18,2025-10-26,660.00,670.00,633.10,670.00,0.60,"5,160.00","3,321,410.80"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,19,2025-10-19,670.00,670.00,642.00,666.00,-0.60,"6,645.00","4,327,300.00"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,20,2025-10-16,661.50,687.00,654.10,670.00,-0.74,"3,984.00","2,639,132.10"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,21,2025-10-15,667.40,682.90,667.40,675.00,-0.88,"4,941.00","3,345,274.80"
ohl,Oriental Hotel Limited,Hotel & Tourism,https://www.sharesansar.com/company/ohl,22,2025-10-14,667.40,681.00,655.10,681.00,0.00,"2,135.00","1,428,536.60"
