symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,1,2025-11-19,"1,089.00","1,089.00","1,089.00","1,089.00",-1.71,100.00,"108,900.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,2,2025-11-18,"1,108.00","1,108.00","1,108.00","1,108.00",-1.95,25.00,"27,700.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,3,2025-11-12,"1,130.00","1,130.00","1,130.00","1,130.00",0.00,125.00,"141,250.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,4,2025-11-06,"1,130.00","1,130.00","1,130.00","1,130.00",0.00,25.00,"28,250.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,5,2025-11-05,"1,130.00","1,130.00","1,130.00","1,130.00",0.00,25.00,"28,250.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,6,2025-11-04,"1,130.00","1,130.00","1,130.00","1,130.00",-0.96,25.00,"28,250.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,7,2025-11-03,"1,132.20","1,141.00","1,132.20","1,141.00",2.79,276.00,"314,036.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,8,2025-10-30,"1,090.00","1,100.00","1,090.00","1,110.00",-0.09,51.00,"55,850.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,9,2025-10-08,"1,111.00","1,111.00","1,111.00","1,111.00",0.00,25.00,"27,775.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,10,2025-09-25,"1,049.00","1,133.20","1,049.00","1,111.00",5.91,265.00,"299,613.40"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,11,2025-09-03,"1,049.00","1,049.00","1,049.00","1,049.00",-1.50,50.00,"52,450.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,12,2025-08-27,"1,065.00","1,065.00","1,065.00","1,065.00",-1.84,25.00,"26,625.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,13,2025-08-26,"1,059.00","1,129.00","1,059.00","1,085.00",3.33,"1,865.00","2,078,134.10"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,14,2025-08-25,"1,050.00","1,050.00","1,050.00","1,050.00",0.77,25.00,"26,250.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,15,2025-08-24,"1,042.00","1,042.00","1,042.00","1,042.00",-1.88,25.00,"26,050.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,16,2025-08-21,"1,062.00","1,062.00","1,062.00","1,062.00",-1.94,100.00,"106,200.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,17,2025-08-20,"1,083.00","1,083.00","1,083.00","1,083.00",0.74,105.00,"113,715.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,18,2025-08-19,"1,070.00","1,075.00","1,070.00","1,075.00",0.47,150.00,"161,000.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,19,2025-08-18,"1,064.00","1,070.00","1,064.00","1,070.00",1.90,885.00,"944,175.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,20,2025-08-17,"1,050.00","1,050.00","1,050.00","1,050.00",0.80,50.00,"52,500.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,21,2025-08-11,"1,021.30","1,041.70","1,021.30","1,041.70",0.65,50.00,"51,575.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,22,2025-08-06,"1,035.00","1,035.00","1,035.00","1,035.00",0.29,25.00,"25,875.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,23,2025-08-05,"1,045.00","1,045.00","1,032.00","1,032.00",-0.97,25.00,"25,930.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,24,2025-08-04,"1,040.00","1,045.00","1,040.00","1,042.07",0.88,255.00,"265,730.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,25,2025-07-31,"1,036.00","1,036.00","1,033.00","1,033.00",-2.06,150.00,"155,035.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,26,2025-07-29,"1,035.00","1,054.70","1,034.00","1,054.70",-0.03,370.00,"383,049.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,27,2025-07-28,"1,055.70","1,055.70","1,055.00","1,055.00",1.93,175.00,"184,730.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,28,2025-07-22,"1,035.00","1,035.00","1,035.00","1,035.00",-1.24,25.00,"25,875.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,29,2025-07-21,"1,048.00","1,048.00","1,048.00","1,048.00",2.00,25.00,"26,200.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,30,2025-07-20,"1,027.50","1,027.50","1,027.50","1,027.50",-1.03,50.00,"51,375.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,31,2025-07-17,"1,038.20","1,038.20","1,038.20","1,038.20",-2.00,50.00,"51,910.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,32,2025-07-16,"1,059.00","1,059.70","1,059.00","1,059.35",1.96,50.00,"52,967.50"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,33,2025-07-15,"1,039.00","1,039.00","1,039.00","1,039.00",-1.98,25.00,"25,975.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,34,2025-07-10,"1,060.00","1,060.00","1,060.00","1,060.00",1.92,25.00,"26,500.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,35,2025-07-09,"1,040.00","1,040.00","1,040.00","1,040.00",0.67,25.00,"26,000.00"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,36,2025-07-03,"1,033.10","1,033.10","1,033.10","1,033.10",-1.14,25.00,"25,827.50"
pbld87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,https://www.sharesansar.com/company/pbld87,37,2025-07-01,"1,045.00","1,045.00","1,045.00","1,045.00",-0.48,25.00,"26,125.00"
