symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,1,2025-11-19,251.00,251.80,245.00,251.80,0.32,"72,945.00","18,047,814.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,2,2025-11-18,250.00,255.00,247.00,251.00,0.80,"59,959.00","15,061,665.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,3,2025-11-17,247.00,251.90,245.00,249.00,0.44,"85,088.00","21,104,722.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,4,2025-11-16,247.00,247.90,242.20,247.90,0.24,"80,809.00","19,761,525.00"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,5,2025-11-13,239.00,247.30,238.50,247.30,2.96,"76,113.00","18,431,245.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,6,2025-11-12,240.00,242.00,238.50,240.20,-0.12,"30,724.00","7,378,472.50"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,7,2025-11-11,243.00,243.00,237.50,240.50,-0.04,"56,842.00","13,631,369.20"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,8,2025-11-10,240.00,243.00,240.00,240.60,0.21,"50,056.00","12,050,255.60"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,9,2025-11-09,243.00,245.00,240.00,240.10,-2.00,"64,122.00","15,489,566.40"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,10,2025-11-06,246.00,261.00,242.40,245.00,0.82,"74,360.00","18,347,233.60"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,11,2025-11-05,239.00,262.00,237.00,243.00,1.67,"95,327.00","23,349,907.70"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,12,2025-11-04,241.00,241.00,238.50,239.00,-0.83,"38,535.00","9,242,517.90"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,13,2025-11-03,238.00,243.90,237.00,241.00,0.00,"45,704.00","10,985,832.70"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,14,2025-11-02,239.00,242.90,235.20,241.00,0.84,"28,877.00","6,939,068.00"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,15,2025-10-30,237.00,240.80,236.00,239.00,-0.08,"55,606.00","13,243,640.50"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,16,2025-10-29,240.00,241.80,238.00,239.20,0.08,"35,141.00","8,425,849.20"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,17,2025-10-28,237.00,241.00,236.00,239.00,0.84,"25,918.00","6,199,538.80"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,18,2025-10-26,236.00,238.00,234.00,237.00,-0.42,"21,105.00","4,993,788.90"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,19,2025-10-19,236.00,238.00,233.00,238.00,2.23,"45,380.00","10,734,142.50"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,20,2025-10-16,235.00,235.00,229.70,232.80,0.34,"26,930.00","6,221,091.50"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,21,2025-10-15,235.00,235.00,231.00,232.00,-0.68,"41,327.00","9,614,133.40"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,22,2025-10-14,238.00,238.00,233.60,233.60,-1.81,"42,759.00","10,071,238.60"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,23,2025-10-13,239.00,239.00,228.00,237.90,1.28,"49,008.00","11,516,205.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,24,2025-10-12,241.00,241.00,232.10,234.90,-3.29,"88,642.00","20,865,566.90"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,25,2025-10-09,244.80,252.90,241.00,242.90,1.21,"82,383.00","20,033,028.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,26,2025-10-08,244.90,249.00,236.00,240.00,-2.44,"106,173.00","25,537,688.90"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,27,2025-10-07,253.00,253.00,244.90,246.00,-2.77,"61,656.00","15,189,689.70"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,28,2025-09-28,251.00,253.00,248.50,253.00,1.65,"22,288.00","5,594,276.70"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,29,2025-09-25,245.00,250.90,245.00,248.90,0.28,"59,963.00","14,873,793.60"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,30,2025-09-24,255.00,256.00,248.00,248.20,-1.23,"43,061.00","10,756,698.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,31,2025-09-23,249.00,251.30,246.00,251.30,2.46,"68,899.00","17,169,582.90"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,32,2025-09-21,234.00,246.00,229.50,245.26,4.81,"85,682.00","20,573,214.50"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,33,2025-09-18,244.00,244.00,226.00,234.00,-5.89,"9,387.00","2,194,213.00"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,34,2025-09-08,254.90,256.00,246.10,248.64,-1.42,"57,987.00","14,458,474.50"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,35,2025-09-07,256.70,256.70,250.00,252.21,0.18,"31,916.00","8,058,345.90"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,36,2025-09-04,255.00,255.00,250.40,251.76,-0.58,"47,924.00","12,072,348.20"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,37,2025-09-03,250.10,257.00,250.10,253.23,-0.31,"43,599.00","11,051,700.40"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,38,2025-09-02,259.10,259.10,252.50,254.03,0.00,"58,899.00","14,972,458.00"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,39,2025-09-01,256.00,256.00,249.00,254.04,1.06,"98,334.00","24,867,453.00"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,40,2025-08-31,258.00,258.00,251.00,251.38,-1.46,"51,024.00","12,926,846.50"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,41,2025-08-28,258.00,261.50,255.00,255.10,-2.09,"59,344.00","15,255,041.00"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,42,2025-08-27,261.30,261.30,255.30,260.54,1.68,"67,388.00","17,452,851.80"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,43,2025-08-26,253.10,258.80,253.10,256.23,-0.59,"25,994.00","6,646,208.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,44,2025-08-25,258.80,259.00,254.10,257.76,0.57,"31,787.00","8,154,253.50"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,45,2025-08-24,257.00,258.80,255.00,256.29,0.62,"44,751.00","11,451,533.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,46,2025-08-21,253.10,257.50,251.00,254.71,-0.08,"88,099.00","22,432,928.70"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,47,2025-08-20,258.00,258.00,254.10,254.91,-0.16,"60,011.00","15,307,940.10"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,48,2025-08-19,257.90,259.50,254.60,255.31,-0.11,"45,727.00","11,746,700.00"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,49,2025-08-18,254.10,258.30,253.20,255.60,0.38,"112,884.00","28,843,134.30"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,50,2025-08-17,253.80,264.10,252.00,254.64,1.56,"143,307.00","36,714,400.10"
pcbl,Prime Commercial Bank Limited,Commercial Bank,https://www.sharesansar.com/company/pcbl,51,2025-08-14,250.00,253.00,249.00,250.74,-0.50,"70,525.00","17,654,432.80"
