symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,1,2025-11-16,100.00,100.00,100.00,100.00,0.00,"21,908.00","2,190,800.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,2,2025-11-13,100.00,100.00,100.00,100.00,0.00,"28,695.00","2,869,500.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,3,2025-11-09,104.00,104.00,100.00,100.00,-3.85,"441,812.00","44,541,220.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,4,2025-10-08,104.00,104.00,104.00,104.00,0.00,"8,788.00","913,952.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,5,2025-09-02,104.00,104.00,104.00,104.00,0.00,"50,398.00","5,241,392.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,6,2025-08-28,104.00,104.00,104.00,104.00,0.00,"201,035.00","20,907,640.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,7,2025-07-17,104.00,104.00,104.00,104.00,0.97,"282,355.00","29,364,920.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,8,2025-07-14,103.00,103.00,103.00,103.00,-1.90,"10,000.00","1,030,000.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,9,2025-06-17,105.00,105.00,105.00,105.00,0.00,"4,175.00","438,375.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,10,2025-06-10,105.00,105.00,105.00,105.00,0.00,"23,849.00","2,504,145.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,11,2025-06-04,105.00,105.00,105.00,105.00,0.00,"12,528.00","1,315,440.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,12,2025-05-25,105.00,105.00,105.00,105.00,0.00,"43,720.00","4,590,600.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,13,2025-05-13,105.00,105.00,105.00,105.00,-0.28,"30,152.00","3,165,960.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,14,2025-04-22,105.30,105.30,105.30,105.30,0.00,"500,000.00","53,500,000.00"
pcblp,Prime Commercial Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pcblp,15,2025-04-13,105.00,105.30,105.00,105.30,0.10,"200,000.00","21,045,000.00"
