symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,1,2015-01-25,126.00,124.00,124.00,124.00,0.00,500.00,"62,000.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,2,2013-09-25,128.00,126.00,126.00,126.00,0.00,"50,000.00","6,300,000.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,3,2013-07-23,130.00,128.00,128.00,128.00,0.00,"18,815.00","2,408,320.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,4,2013-01-02,130.00,130.00,130.00,130.00,0.00,"5,512.00","716,560.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,5,2011-08-18,130.00,130.00,130.00,130.00,0.00,"92,500.00","12,025,000.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,6,2011-07-05,139.00,137.00,130.00,130.00,0.00,"80,400.00","10,453,600.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,7,2011-07-04,141.00,139.00,139.00,139.00,0.00,100.00,"13,900.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,8,2011-06-26,148.00,141.00,141.00,141.00,0.00,100.00,"14,100.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,9,2011-06-23,151.00,148.00,148.00,148.00,0.00,100.00,"14,800.00"
pdblpo,Paschimanchal Bikash Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/pdblpo,10,2011-06-21,165.00,157.00,151.00,151.00,0.00,300.00,"46,200.00"
