symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,1,2025-11-19,340.00,340.00,322.00,323.00,-3.58,"32,172.00","10,485,049.80"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,2,2025-11-18,338.00,343.50,331.40,335.00,-0.89,"25,787.00","8,660,913.30"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,3,2025-11-17,335.00,340.40,330.00,338.00,0.84,"25,497.00","8,508,510.50"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,4,2025-11-16,347.00,348.90,335.20,335.20,-5.23,"18,285.00","6,219,188.00"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,5,2025-11-13,354.00,361.00,346.80,353.70,-2.02,"10,931.00","3,813,970.00"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,6,2025-11-12,352.10,361.00,346.00,361.00,1.12,"11,437.00","4,035,845.60"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,7,2025-11-11,361.80,365.00,356.10,357.00,-3.28,"13,219.00","4,741,096.90"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,8,2025-11-10,360.00,373.00,354.90,369.10,0.85,"31,740.00","11,375,385.90"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,9,2025-11-09,375.00,375.00,362.00,366.00,-4.14,"7,340.00","2,704,709.00"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,10,2025-11-06,393.70,393.70,366.20,381.80,-1.60,"19,053.00","7,164,946.30"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,11,2025-11-05,370.00,395.70,350.20,388.00,4.58,"20,689.00","7,636,395.20"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,12,2025-11-04,374.00,394.00,370.00,371.00,-1.46,"12,375.00","4,623,819.90"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,13,2025-11-03,395.00,395.00,372.10,376.50,-4.68,"33,780.00","12,786,604.30"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,14,2025-11-02,377.40,395.00,373.00,395.00,4.66,"41,814.00","16,117,111.80"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,15,2025-10-30,352.80,377.40,346.00,377.40,9.08,"44,384.00","16,113,322.60"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,16,2025-10-29,344.00,372.00,339.00,346.00,2.06,"20,070.00","7,018,813.00"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,17,2025-10-28,332.60,352.00,332.60,339.00,0.00,"10,618.00","3,663,103.40"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,18,2025-10-26,337.00,348.90,318.00,339.00,-0.88,"5,006.00","1,679,716.80"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,19,2025-10-19,341.10,345.00,335.10,342.00,-1.47,"3,625.00","1,230,100.70"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,20,2025-10-16,347.00,358.00,326.80,347.10,-1.95,"5,860.00","2,012,644.60"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,21,2025-10-15,354.00,381.40,340.10,354.00,-1.67,"14,936.00","5,228,171.60"
phcl,Peoples Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/phcl,22,2025-10-14,381.00,381.00,347.00,360.00,-4.00,"14,639.00","5,267,194.00"
