symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,1,2022-04-26,375.00,375.00,375.00,375.00,-1.32,"1,000.00","375,000.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,2,2022-04-24,380.00,380.00,380.00,380.00,0.00,"84,932.00","32,274,160.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,3,2022-01-02,340.00,340.00,340.00,340.00,0.00,"41,317.00","14,047,780.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,4,2021-12-26,340.00,340.00,340.00,340.00,0.00,"45,449.00","15,452,660.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,5,2021-07-25,520.00,520.00,520.00,520.00,0.00,"21,634.00","11,249,680.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,6,2021-07-18,520.00,520.00,520.00,520.00,0.00,"30,000.00","15,600,000.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,7,2021-07-11,520.00,520.00,520.00,520.00,0.00,"31,000.00","16,120,000.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,8,2020-10-14,353.00,353.00,353.00,353.00,0.00,"95,724.00","33,790,572.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,9,2019-02-27,232.00,232.00,232.00,232.00,-18.60,"24,788.00","5,750,816.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,10,2018-10-15,285.00,285.00,285.00,285.00,0.00,"49,578.00","14,129,730.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,11,2018-10-07,285.00,285.00,285.00,285.00,0.00,"50,422.00","14,370,270.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,12,2018-07-19,285.00,285.00,285.00,285.00,-1.72,"1,073,444.00","305,931,552.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,13,2018-07-16,294.00,294.00,290.00,290.00,-3.33,"178,355.00","52,079,656.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,14,2018-07-11,300.00,300.00,300.00,300.00,0.00,"357,476.00","107,242,800.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,15,2018-03-21,314.00,314.00,314.00,314.00,-1.88,"1,221.00","383,394.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,16,2018-03-20,320.00,320.00,320.00,320.00,-1.84,"4,000.00","1,280,000.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,17,2018-02-27,931.00,931.00,895.00,895.00,-5.79,"57,008.00","52,102,160.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,18,2017-12-12,950.00,950.00,950.00,950.00,0.00,"40,000.00","38,000,000.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,19,2017-12-11,950.00,950.00,950.00,950.00,0.00,"50,000.00","47,500,000.00"
plicpo,Prime Life Insurance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/plicpo,20,2017-12-06,950.00,950.00,950.00,950.00,0.00,"35,000.00","33,250,000.00"
