symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,1,2025-11-19,347.00,347.00,330.00,332.00,-3.18,"117,563.00","39,462,264.40"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,2,2025-11-18,335.00,347.70,335.00,342.90,0.70,"152,899.00","52,167,904.50"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,3,2025-11-17,337.00,354.00,332.30,340.50,0.44,"184,408.00","63,449,743.20"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,4,2025-11-16,342.20,348.90,337.20,339.00,-2.87,"72,064.00","24,581,177.20"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,5,2025-11-13,351.00,363.90,340.00,349.00,-2.43,"230,149.00","79,824,264.20"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,6,2025-11-12,360.10,365.70,344.90,357.70,-2.53,"156,712.00","55,301,096.90"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,7,2025-11-11,362.60,381.00,359.00,367.00,-0.81,"138,859.00","50,713,716.80"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,8,2025-11-10,349.00,370.00,349.00,370.00,5.11,"287,805.00","104,840,625.60"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,9,2025-11-09,340.10,357.00,335.20,352.00,2.53,"327,594.00","112,961,924.10"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,10,2025-11-06,365.00,365.00,343.10,343.30,-4.37,"71,111.00","24,814,043.20"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,11,2025-11-05,342.10,370.40,334.50,359.00,3.10,"242,580.00","86,233,444.80"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,12,2025-11-04,327.40,362.00,327.40,348.20,4.25,"229,176.00","78,784,356.30"
ppl,People's Power Limited,Hydropower,https://www.sharesansar.com/company/ppl,13,2025-11-03,336.00,342.00,328.80,334.00,-2.37,"152,760.00","51,132,488.60"
