symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,1,2025-11-20,664.90,664.90,646.10,648.00,-1.23,"7,730.00","5,023,187.10"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,2,2025-11-19,674.70,674.70,656.10,656.10,-1.00,"6,735.00","4,431,967.90"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,3,2025-11-18,653.00,663.90,653.00,662.70,1.35,"4,426.00","2,922,519.50"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,4,2025-11-17,660.00,660.00,637.30,653.90,0.77,"9,289.00","6,026,247.40"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,5,2025-11-16,662.00,662.00,641.20,648.90,-0.63,"6,350.00","4,095,290.40"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,6,2025-11-13,651.00,654.90,644.00,653.00,-0.31,"2,308.00","1,504,411.50"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,7,2025-11-12,653.00,663.00,648.90,655.00,0.31,"20,910.00","13,662,865.30"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,8,2025-11-11,661.90,661.90,646.30,653.00,0.46,"7,467.00","4,847,145.70"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,9,2025-11-10,655.00,655.00,637.00,650.00,1.04,"10,183.00","6,577,204.20"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,10,2025-11-09,656.00,665.00,643.30,643.30,-3.26,"13,183.00","8,556,550.10"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,11,2025-11-06,664.10,675.00,660.00,665.00,-0.45,"19,384.00","12,864,359.50"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,12,2025-11-05,678.00,678.00,660.40,668.00,0.30,"3,322.00","2,202,916.40"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,13,2025-11-04,675.00,678.50,658.00,666.00,-1.33,"7,822.00","5,198,417.80"
prin,Prabhu Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/prin,14,2025-11-03,690.00,695.00,668.00,675.00,-1.32,"12,244.00","8,252,732.30"
