symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,1,2025-09-28,118.00,118.00,118.00,118.00,0.00,"14,566.00","1,718,788.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,2,2025-08-19,118.00,118.00,118.00,118.00,0.00,"3,933.00","464,094.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,3,2025-07-29,118.00,118.00,118.00,118.00,0.00,"1,028.00","121,304.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,4,2025-06-19,118.00,118.00,118.00,118.00,0.00,"3,933.00","464,094.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,5,2025-05-26,118.00,118.00,118.00,118.00,0.00,"3,433.00","405,094.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,6,2025-04-01,118.00,118.00,118.00,118.00,0.00,100.00,"11,800.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,7,2025-02-13,118.00,118.00,118.00,118.00,-1.67,"3,539.00","417,602.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,8,2025-01-15,120.00,120.00,120.00,120.00,-1.64,"1,716.00","205,920.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,9,2024-12-18,122.00,122.00,122.00,122.00,-1.61,"3,433.00","418,826.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,10,2024-11-20,124.00,124.00,124.00,124.00,-1.59,"3,723.00","461,652.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,11,2024-11-13,126.00,126.00,126.00,126.00,-1.56,"15,000.00","1,890,000.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,12,2024-10-20,128.00,128.00,128.00,128.00,-1.54,"1,060.00","135,680.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,13,2024-09-29,130.00,130.00,130.00,130.00,-1.52,"3,433.00","446,290.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,14,2024-09-12,132.00,132.00,132.00,132.00,-1.49,"3,433.00","453,156.00"
proflp,Progressive Finance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/proflp,15,2024-08-12,134.00,134.00,134.00,134.00,-1.98,"3,433.00","460,022.00"
