symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,1,2025-11-19,189.00,189.00,184.50,185.40,-0.32,"97,336.00","18,060,849.50"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,2,2025-11-18,189.00,189.90,185.30,186.00,-0.80,"158,356.00","29,607,650.20"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,3,2025-11-17,187.00,188.70,185.00,187.50,0.00,"80,731.00","15,098,472.00"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,4,2025-11-16,190.50,190.50,186.50,187.50,-1.06,"91,853.00","17,234,234.10"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,5,2025-11-13,189.00,190.80,188.30,189.50,0.32,"55,877.00","10,595,541.40"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,6,2025-11-12,195.70,195.70,186.30,188.90,-1.56,"84,326.00","15,922,719.20"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,7,2025-11-11,190.00,194.80,184.30,191.90,2.13,"234,498.00","44,131,547.20"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,8,2025-11-10,195.00,196.00,187.90,187.90,-3.89,"196,060.00","37,720,376.30"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,9,2025-11-09,198.00,198.00,195.00,195.50,-2.35,"104,188.00","20,442,271.70"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,10,2025-11-06,202.00,202.90,200.10,200.20,-1.04,"96,885.00","19,518,347.30"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,11,2025-11-05,198.00,203.00,198.00,202.30,1.61,"63,622.00","12,748,871.80"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,12,2025-11-04,202.00,203.00,198.10,199.10,-0.90,"82,907.00","16,551,442.40"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,13,2025-11-03,202.10,204.00,200.10,200.90,-1.03,"89,975.00","18,167,270.00"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,14,2025-11-02,207.00,207.00,201.20,203.00,0.00,"88,708.00","18,031,893.70"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,15,2025-10-30,208.50,208.50,199.10,203.00,-0.73,"84,446.00","17,074,153.80"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,16,2025-10-29,205.00,205.00,199.00,204.50,0.74,"614,059.00","124,305,993.70"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,17,2025-10-28,200.00,204.80,199.00,203.00,1.65,"78,711.00","15,855,017.00"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,18,2025-10-26,199.40,199.80,196.00,199.70,0.15,"35,769.00","7,068,654.50"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,19,2025-10-19,198.00,199.90,196.00,199.40,0.71,"32,874.00","6,505,841.90"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,20,2025-10-16,200.00,200.00,196.20,198.00,0.25,"95,955.00","18,997,118.00"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,21,2025-10-15,200.00,200.00,196.50,197.50,-0.75,"54,580.00","10,797,762.00"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,22,2025-10-14,200.00,202.00,197.90,199.00,-1.44,"130,313.00","25,899,011.90"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,23,2025-10-13,205.00,205.00,196.00,201.90,0.45,"94,040.00","18,796,726.00"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,24,2025-10-12,203.00,204.90,199.20,201.00,-1.86,"204,676.00","41,240,927.60"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,25,2025-10-09,207.00,215.00,203.50,204.80,0.89,"234,309.00","48,111,453.50"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,26,2025-10-08,206.00,208.00,200.10,203.00,-1.22,"202,463.00","41,189,493.70"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,27,2025-10-07,207.90,208.00,205.00,205.50,-1.15,"197,784.00","40,657,324.90"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,28,2025-09-28,206.00,208.90,206.00,207.90,0.97,"50,781.00","10,515,810.90"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,29,2025-09-25,209.00,209.00,205.50,205.90,0.29,"58,870.00","12,169,772.70"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,30,2025-09-24,210.00,210.20,205.00,205.30,-1.35,"72,250.00","14,909,092.70"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,31,2025-09-23,206.80,209.90,205.10,208.10,1.38,"117,131.00","24,380,291.60"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,32,2025-09-21,188.00,206.00,188.00,205.26,9.18,"182,799.00","36,920,439.10"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,33,2025-09-18,201.30,201.30,186.00,188.00,-8.45,"20,382.00","3,905,836.40"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,34,2025-09-08,208.20,209.00,204.70,205.36,-1.29,"106,673.00","21,999,495.20"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,35,2025-09-07,208.00,210.00,206.00,208.04,-0.21,"63,074.00","13,122,454.70"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,36,2025-09-04,209.00,209.90,207.00,208.47,-0.15,"77,590.00","16,103,602.60"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,37,2025-09-03,207.00,212.00,207.00,208.78,-0.26,"73,837.00","15,475,512.00"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,38,2025-09-02,216.70,216.70,208.90,209.33,-1.48,"68,060.00","14,342,503.70"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,39,2025-09-01,213.80,213.80,207.00,212.48,1.33,"105,256.00","22,077,172.30"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,40,2025-08-31,212.33,213.00,209.00,209.70,-1.24,"112,838.00","23,700,081.00"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,41,2025-08-28,213.70,217.00,212.00,212.33,-0.67,"118,331.00","25,287,318.30"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,42,2025-08-27,214.80,214.80,210.60,213.77,1.47,"115,402.00","24,595,754.30"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,43,2025-08-26,210.70,211.90,209.10,210.68,-0.01,"58,734.00","12,359,676.80"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,44,2025-08-25,211.00,212.00,207.50,210.71,0.64,"80,552.00","16,894,741.50"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,45,2025-08-24,212.86,214.90,209.00,209.37,-1.64,"195,488.00","41,229,504.60"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,46,2025-08-21,215.90,216.00,212.10,212.86,-0.63,"83,557.00","17,817,740.40"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,47,2025-08-20,220.00,220.00,214.00,214.20,-0.72,"75,147.00","16,134,467.30"
prvu,Prabhu Bank Limited,Commercial Bank,https://www.sharesansar.com/company/prvu,48,2025-08-19,215.00,219.00,214.90,215.76,0.36,"157,905.00","34,110,933.80"
