symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,1,2025-11-10,100.90,100.90,100.90,100.90,0.00,"207,518.00","20,938,566.20"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,2,2025-11-04,100.90,100.90,100.90,100.90,0.00,"10,827.00","1,092,444.30"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,3,2025-09-25,100.90,100.90,100.90,100.90,0.00,"5,152.00","519,836.80"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,4,2025-09-24,100.90,100.90,100.90,100.90,-1.94,"521,868.00","52,656,481.20"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,5,2025-09-23,102.90,102.90,102.90,102.90,-2.00,"3,378.00","347,596.20"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,6,2025-08-14,105.00,105.00,105.00,105.00,0.00,"51,879.00","5,447,295.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,7,2025-08-12,105.00,105.00,105.00,105.00,0.00,"4,000.00","420,000.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,8,2025-08-05,105.00,105.00,105.00,105.00,1.35,"39,415.00","4,138,575.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,9,2025-07-31,105.70,105.70,103.60,103.60,-3.90,"1,940,422.00","202,439,803.30"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,10,2025-07-30,107.80,107.80,107.80,107.80,-2.00,"9,882.00","1,065,279.60"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,11,2025-07-27,110.00,110.00,110.00,110.00,0.00,"409,181.00","45,009,910.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,12,2025-07-06,110.00,110.00,110.00,110.00,0.00,"23,501.00","1,997,585.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,13,2025-06-17,110.00,110.00,110.00,110.00,0.00,"24,000.00","2,640,000.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,14,2025-06-12,110.00,110.00,110.00,110.00,0.00,"1,000.00","110,000.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,15,2025-06-05,110.00,110.00,110.00,110.00,0.00,"16,247.00","1,787,170.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,16,2025-05-19,110.00,110.00,110.00,110.00,0.00,"43,235.00","4,755,850.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,17,2025-05-18,110.00,110.00,110.00,110.00,0.00,"62,152.00","6,836,720.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,18,2025-05-15,110.00,110.00,110.00,110.00,0.00,"8,532.00","938,520.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,19,2025-04-20,110.00,110.00,110.00,110.00,0.00,"12,389.00","1,362,790.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,20,2025-04-16,110.00,110.00,110.00,110.00,0.00,"26,565.00","2,922,150.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,21,2025-04-15,110.00,110.00,110.00,110.00,0.00,"25,069.00","2,757,590.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,22,2025-04-13,110.00,110.00,110.00,110.00,0.00,"39,407.00","4,334,770.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,23,2025-04-09,110.00,110.00,110.00,110.00,1.29,"86,466.00","9,511,260.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,24,2025-04-07,108.60,108.60,108.60,108.60,0.00,"35,721.00","3,879,300.60"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,25,2025-03-30,108.60,108.60,108.60,108.60,-1.99,"10,000.00","1,086,000.00"
prvupo,Prabhu Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/prvupo,26,2025-03-06,110.80,110.80,110.80,110.80,-1.95,"137,000.00","15,179,600.00"
