symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,1,2025-11-20,10.15,10.22,10.15,10.20,-0.29,"25,000.00","255,155.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,2,2025-11-19,10.10,10.26,10.10,10.23,1.69,"18,610.00","189,639.80"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,3,2025-11-18,10.04,10.15,10.04,10.06,-0.89,"12,650.00","127,215.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,4,2025-11-17,10.40,10.40,10.00,10.15,-0.49,"4,470.00","45,336.50"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,5,2025-11-16,10.10,10.25,10.05,10.20,0.89,"12,400.00","126,400.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,6,2025-11-13,10.10,10.11,9.91,10.11,0.10,"4,380.00","43,921.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,7,2025-11-12,10.04,10.16,10.04,10.10,0.30,"11,900.00","120,380.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,8,2025-11-11,10.16,10.20,10.03,10.07,-1.76,"6,300.00","63,558.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,9,2025-11-10,10.16,10.25,10.16,10.25,-0.97,"1,400.00","14,320.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,10,2025-11-09,10.08,10.35,10.08,10.35,0.78,"16,350.00","166,046.50"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,11,2025-11-06,10.25,10.35,10.20,10.27,-0.29,"29,000.00","298,303.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,12,2025-11-05,10.25,10.35,10.25,10.30,0.49,"97,775.00","1,011,781.25"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,13,2025-11-04,10.18,10.30,10.18,10.25,0.00,"22,100.00","225,710.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,14,2025-11-03,10.18,10.25,10.18,10.25,0.49,"1,000.00","10,208.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,15,2025-11-02,10.16,10.20,10.03,10.20,0.39,"84,700.00","856,325.20"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,16,2025-10-30,10.05,10.20,10.05,10.16,0.10,"85,375.00","861,661.75"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,17,2025-10-29,10.01,10.29,10.01,10.15,1.50,"62,425.00","635,237.25"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,18,2025-10-28,10.00,10.00,10.00,10.00,-0.50,400.00,"4,000.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,19,2025-10-26,10.30,10.48,10.05,10.05,-1.95,"138,065.00","1,407,545.50"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,20,2025-10-19,10.44,10.50,10.25,10.25,-3.76,"117,800.00","1,215,117.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,21,2025-10-16,10.60,10.65,10.40,10.65,2.40,"121,729.00","1,292,777.40"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,22,2025-10-15,10.31,10.40,10.31,10.40,-1.05,500.00,"5,183.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,23,2025-10-14,10.44,10.51,10.42,10.51,-1.13,"12,477.00","130,238.34"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,24,2025-10-13,10.24,10.63,10.21,10.63,3.81,"79,960.00","834,313.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,25,2025-10-12,10.27,10.40,10.20,10.24,-0.29,"20,700.00","212,125.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,26,2025-10-09,10.39,10.39,10.24,10.27,-1.15,"13,300.00","137,836.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,27,2025-10-08,10.39,10.40,10.20,10.39,0.00,"96,100.00","997,138.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,28,2025-10-07,10.20,10.39,10.15,10.39,0.87,"66,200.00","679,977.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,29,2025-09-28,10.20,10.30,10.04,10.30,0.59,"23,156.00","238,277.24"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,30,2025-09-25,10.15,10.40,10.15,10.24,-0.58,"676,700.00","6,923,583.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,31,2025-09-24,10.31,10.63,10.30,10.30,-0.10,"67,710.00","714,222.10"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,32,2025-09-23,10.15,10.40,10.15,10.31,0.19,"7,300.00","75,121.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,33,2025-09-21,10.45,10.59,10.27,10.29,-3.38,"78,500.00","810,096.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,34,2025-09-08,10.45,10.65,10.45,10.65,0.00,"110,990.00","1,166,832.50"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,35,2025-09-07,10.42,10.65,10.42,10.65,0.19,"28,050.00","295,349.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,36,2025-09-04,10.52,10.80,10.40,10.63,-0.93,"31,470.00","337,406.90"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,37,2025-09-03,10.42,10.83,10.42,10.73,1.04,"125,400.00","1,352,874.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,38,2025-09-02,10.41,10.62,10.41,10.62,0.28,"31,905.00","337,405.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,39,2025-09-01,10.35,10.60,10.35,10.59,0.47,"66,800.00","704,336.40"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,40,2025-08-31,10.21,10.55,10.21,10.54,1.35,"129,160.00","1,346,589.80"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,41,2025-08-28,11.33,11.64,11.33,11.60,0.96,"118,440.00","1,371,721.40"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,42,2025-08-27,11.30,11.52,11.08,11.49,1.23,"22,750.00","260,259.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,43,2025-08-26,11.32,11.55,11.32,11.35,-1.73,"245,769.00","2,831,522.15"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,44,2025-08-25,11.30,11.58,11.30,11.55,0.61,"150,600.00","1,736,767.58"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,45,2025-08-24,11.45,11.51,11.24,11.48,2.23,"178,540.00","2,040,985.20"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,46,2025-08-21,11.36,11.42,11.16,11.23,-1.14,"55,065.00","625,112.40"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,47,2025-08-20,11.32,11.43,11.32,11.36,0.53,"78,638.00","894,874.80"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,48,2025-08-19,11.22,11.40,11.22,11.30,0.27,"77,053.00","868,562.25"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,49,2025-08-18,11.22,11.28,11.22,11.27,0.63,"53,050.00","596,750.50"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,50,2025-08-17,11.47,11.47,11.00,11.20,-3.28,"372,400.00","4,154,123.50"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,51,2025-08-14,11.48,11.62,11.48,11.58,-1.03,"56,600.00","655,278.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,52,2025-08-13,11.50,11.70,11.50,11.70,1.65,"57,770.00","673,930.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,53,2025-08-12,11.50,11.84,11.49,11.51,-0.95,"64,000.00","738,376.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,54,2025-08-11,11.65,11.75,11.62,11.62,-0.26,"20,250.00","236,386.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,55,2025-08-07,11.50,11.67,11.50,11.65,-0.17,"24,355.00","283,584.25"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,56,2025-08-06,11.43,11.77,11.43,11.67,1.13,"76,462.00","893,844.90"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,57,2025-08-05,11.60,11.75,11.50,11.54,-1.20,"174,240.00","2,024,357.45"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,58,2025-08-04,11.45,11.80,11.45,11.68,2.46,"249,700.00","2,912,070.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,59,2025-08-03,11.58,11.90,11.40,11.40,-2.73,"226,765.00","2,628,712.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,60,2025-07-31,11.70,11.88,11.70,11.72,-0.34,"156,233.00","1,839,569.26"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,61,2025-07-30,11.70,11.89,11.70,11.76,-0.25,"178,360.00","2,096,373.40"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,62,2025-07-29,11.88,11.88,11.66,11.79,1.20,"118,588.00","1,395,566.72"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,63,2025-07-28,11.40,11.82,11.40,11.65,0.17,"59,370.00","692,842.70"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,64,2025-07-27,11.48,11.77,11.48,11.63,-0.43,"93,885.00","1,098,149.95"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,65,2025-07-24,11.35,11.70,11.35,11.68,1.04,"57,800.00","673,707.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,66,2025-07-23,11.51,11.60,11.51,11.56,-1.53,"1,509,520.00","17,435,970.75"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,67,2025-07-22,11.75,11.75,11.56,11.74,0.86,"70,520.00","824,055.32"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,68,2025-07-21,11.43,11.67,11.43,11.64,0.00,"59,060.00","684,510.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,69,2025-07-20,11.33,11.74,11.33,11.64,0.87,"45,300.00","522,832.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,70,2025-07-17,11.17,11.65,11.17,11.54,2.21,"141,824.00","1,627,592.25"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,71,2025-07-16,11.21,11.39,11.10,11.29,0.80,"507,220.00","5,700,183.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,72,2025-07-15,11.35,11.40,11.12,11.20,-1.23,"1,221,600.00","13,735,725.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,73,2025-07-14,11.30,11.40,11.30,11.34,-0.44,"44,100.00","500,860.00"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,74,2025-07-13,11.05,11.42,11.05,11.39,2.06,"234,530.00","2,669,316.60"
psf,Prabhu Select Fund,Mutual Fund,https://www.sharesansar.com/company/psf,75,2025-07-10,11.15,11.23,11.15,11.16,0.18,"255,960.00","2,859,677.60"
