symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,1,2025-11-19,700.00,719.00,691.10,719.00,1.27,"1,795.00","1,256,667.80"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,2,2025-11-18,700.00,715.00,699.00,710.00,1.28,659.00,"464,384.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,3,2025-11-17,705.00,710.00,692.00,701.00,-0.57,335.00,"235,103.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,4,2025-11-16,713.90,713.90,701.60,705.00,0.71,360.00,"255,128.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,5,2025-11-13,701.10,701.20,700.00,700.00,-1.41,680.00,"476,259.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,6,2025-11-12,704.60,710.00,704.60,710.00,-1.24,159.00,"112,508.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,7,2025-11-11,708.60,718.90,695.00,718.90,-0.57,401.00,"283,787.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,8,2025-11-10,710.00,723.00,702.00,723.00,1.08,481.00,"339,925.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,9,2025-11-09,744.30,789.60,702.40,715.30,-1.99,339.00,"248,861.40"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,10,2025-11-06,739.90,739.90,711.00,729.80,-0.56,"1,598.00","1,144,508.70"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,11,2025-11-05,737.90,737.90,700.00,733.90,-0.69,"1,649.00","1,185,211.10"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,12,2025-11-04,726.30,739.70,715.10,739.00,-0.28,200.00,"145,875.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,13,2025-11-03,715.00,744.50,710.50,741.10,3.49,968.00,"702,964.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,14,2025-11-02,720.00,740.00,715.00,716.10,-2.09,"1,135.00","821,351.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,15,2025-10-30,719.80,731.40,714.00,731.40,-0.35,"1,364.00","985,661.20"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,16,2025-10-29,740.20,741.40,714.00,734.00,-1.01,"1,358.00","989,705.80"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,17,2025-10-28,712.50,741.50,699.00,741.50,1.99,"1,125.00","821,758.80"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,18,2025-10-26,699.80,727.00,686.00,727.00,1.82,"1,244.00","867,889.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,19,2025-10-19,700.10,714.00,694.90,714.00,0.71,810.00,"569,969.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,20,2025-10-16,727.00,786.50,697.00,709.00,-0.84,993.00,"710,079.70"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,21,2025-10-15,701.00,715.00,697.00,715.00,0.56,164.00,"115,376.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,22,2025-10-14,734.90,734.90,698.00,711.00,-1.41,420.00,"297,562.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,23,2025-10-13,714.60,734.40,690.00,721.20,-1.07,620.00,"439,646.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,24,2025-10-12,749.00,749.00,701.00,729.00,-0.74,435.00,"308,618.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,25,2025-10-09,743.50,758.30,720.00,734.40,0.74,"1,301.00","946,403.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,26,2025-10-08,725.00,747.00,704.00,729.00,-0.57,898.00,"645,645.10"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,27,2025-10-07,760.00,760.00,731.20,733.20,-5.42,"1,690.00","1,243,875.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,28,2025-09-28,756.00,799.00,753.10,775.20,2.93,481.00,"370,163.30"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,29,2025-09-25,753.00,769.90,753.00,753.10,-1.94,719.00,"544,315.90"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,30,2025-09-24,765.00,780.00,760.00,768.00,-0.39,"4,075.00","3,148,648.70"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,31,2025-09-23,743.50,788.00,732.00,771.00,1.63,"2,020.00","1,563,553.10"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,32,2025-09-21,763.30,763.30,709.00,758.62,1.37,"3,987.00","2,923,933.20"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,33,2025-09-18,748.40,748.40,748.40,748.40,2.00,10.00,"7,484.00"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,34,2025-09-08,756.00,786.00,703.10,733.76,-1.01,"2,720.00","2,002,295.80"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,35,2025-09-07,719.80,750.00,702.00,741.24,0.92,549.00,"405,069.10"
rawa,Rawa Energy Development Ltd.,Hydropower,https://www.sharesansar.com/company/rawa,36,2025-09-04,741.00,757.00,730.10,734.45,-2.75,"6,066.00","4,466,888.00"
