symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,1,2025-11-18,"1,067.00","1,070.00","1,056.00","1,056.00",-0.94,150.00,"159,785.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,2,2025-11-17,"1,065.10","1,066.00","1,065.10","1,066.00",0.36,50.00,"53,277.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,3,2025-11-16,"1,065.10","1,065.10","1,057.10","1,062.20",-0.26,75.00,"79,610.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,4,2025-11-13,"1,075.10","1,075.10","1,061.10","1,065.00",0.00,150.00,"159,855.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,5,2025-11-12,"1,065.00","1,065.00","1,064.00","1,065.00",-0.19,625.00,"665,525.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,6,2025-11-10,"1,067.00","1,075.00","1,067.00","1,067.00",0.00,415.00,"445,525.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,7,2025-11-06,"1,067.00","1,067.00","1,067.00","1,067.00",0.19,25.00,"26,675.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,8,2025-11-05,"1,073.00","1,073.00","1,065.00","1,065.00",-0.75,200.00,"213,800.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,9,2025-11-03,"1,070.00","1,073.00","1,070.00","1,073.00",2.00,355.00,"380,740.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,10,2025-10-30,"1,055.00","1,055.00","1,052.00","1,052.00",-0.75,400.00,"421,539.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,11,2025-10-29,"1,060.00","1,060.00","1,060.00","1,060.00",0.09,25.00,"26,500.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,12,2025-10-28,"1,059.00","1,059.00","1,059.00","1,059.00",0.66,100.00,"105,900.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,13,2025-10-26,"1,042.00","1,062.80","1,042.00","1,052.10",-0.84,125.00,"132,062.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,14,2025-10-19,"1,068.00","1,070.00","1,061.00","1,061.00",0.95,"1,100.00","1,176,725.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,15,2025-10-15,"1,059.00","1,059.00","1,051.00","1,051.00",-1.59,70.00,"73,930.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,16,2025-10-14,"1,068.00","1,068.00","1,068.00","1,068.00",-0.19,25.00,"26,700.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,17,2025-10-13,"1,037.00","1,080.00","1,037.00","1,070.00",3.18,"1,303.00","1,402,868.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,18,2025-10-12,"1,051.30","1,051.30","1,036.00","1,037.00",-2.90,"1,257.00","1,302,954.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,19,2025-10-07,"1,068.00","1,068.00","1,068.00","1,068.00",1.71,460.00,"491,280.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,20,2025-09-28,"1,045.00","1,050.00","1,045.00","1,050.00",-1.50,125.00,"131,125.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,21,2025-09-25,"1,050.00","1,066.00","1,050.00","1,066.00",2.50,"1,100.00","1,171,000.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,22,2025-09-24,"1,040.00","1,040.00","1,040.00","1,040.00",0.00,25.00,"26,000.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,23,2025-09-23,"1,042.00","1,055.00","1,040.00","1,040.00",-2.16,225.00,"235,700.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,24,2025-09-21,"1,030.00","1,063.00","1,030.00","1,063.00",2.21,659.00,"697,704.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,25,2025-09-08,"1,030.00","1,050.00","1,030.00","1,040.00",-0.95,195.00,"203,650.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,26,2025-09-07,"1,030.00","1,063.00","1,030.00","1,050.00",0.96,"3,460.00","3,659,289.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,27,2025-09-04,"1,025.00","1,040.40","1,020.00","1,040.00",0.20,169.00,"174,587.60"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,28,2025-09-03,"1,029.10","1,037.90","1,021.10","1,037.90",-0.06,570.00,"586,071.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,29,2025-09-02,"1,000.00","1,040.00","1,000.00","1,038.50",3.85,"1,550.00","1,590,513.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,30,2025-09-01,"1,000.10","1,000.10","1,000.00","1,000.00",-0.02,165.00,"165,010.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,31,2025-08-31,"1,000.00","1,000.20","1,000.00","1,000.20",0.32,115.00,"115,011.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,32,2025-08-28,990.10,"1,000.00",990.10,997.05,-0.30,125.00,"124,457.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,33,2025-08-27,"1,001.00","1,002.00","1,000.00","1,000.00",0.04,315.00,"315,380.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,34,2025-08-26,999.60,999.60,999.60,999.60,-2.00,25.00,"24,990.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,35,2025-08-25,985.00,"1,020.00",985.00,"1,020.00",3.03,535.00,"538,867.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,36,2025-08-24,"1,000.00","1,000.00",984.40,990.00,-1.00,115.00,"113,455.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,37,2025-08-21,"1,000.00","1,000.00","1,000.00","1,000.00",0.02,39.00,"39,000.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,38,2025-08-20,985.20,999.90,985.20,999.83,1.50,307.00,"306,238.40"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,39,2025-08-19,981.70,985.10,981.70,985.10,-0.55,90.00,"88,571.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,40,2025-08-18,967.60,990.50,967.60,990.50,1.05,305.00,"299,790.50"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,41,2025-08-17,980.20,980.20,980.10,980.20,-0.59,250.00,"245,035.00"
rbbd2088,7% RBBL Debenture 2088,Corporate Debentures,https://www.sharesansar.com/company/rbbd2088,42,2025-08-14,986.30,988.00,985.50,986.00,-0.01,175.00,"172,615.00"
