symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,1,2025-11-20,"11,900.00","12,088.00","11,900.00","12,088.00",1.58,60.00,"715,880.00"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,2,2025-11-19,"11,962.90","11,962.90","11,900.00","11,900.00",-2.51,50.00,"595,629.00"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,3,2025-11-18,"11,968.00","12,207.00","11,968.00","12,207.00",-0.03,30.00,"361,430.00"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,4,2025-11-17,"11,999.00","12,210.90","11,999.00","12,210.90",1.85,117.00,"1,412,346.90"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,5,2025-11-16,"11,860.00","12,000.00","11,777.00","11,989.00",-0.90,50.00,"594,030.00"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,6,2025-11-13,"11,951.80","12,098.00","11,951.80","12,098.00",3.24,260.00,"3,115,176.00"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,7,2025-11-12,"12,089.00","12,089.00","11,718.00","11,718.00",-1.18,500.00,"5,924,078.00"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,8,2025-11-11,"12,099.00","12,099.00","11,858.00","11,858.00",-1.59,30.00,"358,150.00"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,9,2025-11-10,"11,952.80","12,050.00","11,950.00","12,050.00",-1.14,210.00,"2,511,235.00"
rbclpo,Rastriya Beema Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbclpo,10,2025-11-09,"12,058.30","12,200.00","12,058.30","12,188.80",-0.89,280.00,"3,383,706.00"
