symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,1,2015-04-13,"4,100.00","4,150.00","4,150.00","4,150.00",0.00,50.00,"207,500.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,2,2015-04-12,"4,100.00","4,100.00","4,100.00","4,100.00",0.00,50.00,"205,000.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,3,2015-04-07,"4,146.00","4,100.00","4,100.00","4,100.00",0.00,26.00,"106,600.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,4,2015-03-11,"4,230.00","4,146.00","4,146.00","4,146.00",0.00,150.00,"621,900.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,5,2015-03-10,"4,300.00","4,230.00","4,230.00","4,230.00",0.00,50.00,"211,500.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,6,2015-03-09,"4,150.00","4,317.00","4,233.00","4,300.00",0.00,335.00,"1,433,970.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,7,2015-03-04,"4,230.00","4,155.00","4,075.00","4,150.00",0.00,225.00,"932,375.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,8,2015-03-03,"4,312.00","4,230.00","4,230.00","4,230.00",0.00,20.00,"84,600.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,9,2015-03-01,"4,400.00","4,312.00","4,312.00","4,312.00",0.00,25.00,"107,800.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,10,2015-02-23,"4,505.00","4,475.00","4,400.00","4,400.00",0.00,245.00,"1,094,875.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,11,2015-02-22,"4,499.00","4,505.00","4,505.00","4,505.00",0.00,38.00,"171,190.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,12,2015-02-16,"4,500.00","4,499.00","4,499.00","4,499.00",0.00,38.00,"170,962.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,13,2015-02-15,"4,370.00","4,500.00","4,457.00","4,500.00",0.00,55.00,"246,210.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,14,2015-02-12,"4,370.00","4,370.00","4,370.00","4,370.00",0.00,750.00,"3,277,500.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,15,2015-02-11,"4,459.00","4,370.00","4,370.00","4,370.00",0.00,10.00,"43,700.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,16,2015-02-10,"4,550.00","4,460.00","4,459.00","4,459.00",0.00,113.00,"503,967.00"
rbspo,Rastriya Beema Sansthan Promoter Share,Promoter Share,https://www.sharesansar.com/company/rbspo,17,2015-02-08,"4,705.00","4,640.00","4,550.00","4,550.00",0.00,138.00,"631,320.00"
