symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,1,2025-11-19,260.00,261.20,250.90,254.50,-1.17,"52,879.00","13,421,305.00"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,2,2025-11-18,246.40,260.10,243.00,257.50,4.50,"164,286.00","41,902,528.20"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,3,2025-11-17,247.70,248.00,241.10,246.40,1.40,"37,412.00","9,182,782.70"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,4,2025-11-16,243.10,250.00,243.00,243.00,-2.02,"35,249.00","8,658,867.50"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,5,2025-11-13,240.10,250.00,240.10,248.00,1.22,"59,737.00","14,645,546.60"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,6,2025-11-12,245.00,251.00,242.10,245.00,-1.61,"42,319.00","10,411,981.70"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,7,2025-11-11,244.20,252.00,244.00,249.00,0.04,"28,066.00","6,951,007.20"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,8,2025-11-10,252.40,252.40,241.00,248.90,0.36,"32,013.00","7,831,992.00"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,9,2025-11-09,250.00,254.40,244.10,248.00,-2.63,"31,452.00","7,764,156.60"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,10,2025-11-06,255.00,273.00,250.10,254.70,0.28,"88,803.00","22,780,587.60"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,11,2025-11-05,248.10,256.90,242.00,254.00,2.42,"48,037.00","11,888,733.30"
rhgcl,Rapti Hydro & General Construction Limited,Hydropower,https://www.sharesansar.com/company/rhgcl,12,2025-11-04,253.20,261.00,247.00,248.00,-3.69,"44,340.00","11,134,492.80"
